,feature,divergence
11,INDP,58.33131313131312
16,POVPIP,10.620268516437573
22,PWGTP,10.075758319378538
23,WGTP,9.439313035663401
12,INDP_CAT,5.872588970388481
15,PINCP_DECILE,5.28591980935731
14,PINCP,4.025330583182641
1,AGEP,3.6089790774151522
10,DENSITY,2.469987353070523
13,EDU,1.8991735574831878
6,NOC,1.6058101174271113
0,PUMA,1.4792773619249733
7,NPF,1.3015758953288459
3,MSP,0.9818712045126478
5,RAC1P,0.8884041266048587
17,DVET,0.3526811822982208
2,SEX,0.24177479802807667
9,OWN_RENT,0.21631233103915526
4,HISP,0.1695668042463457
8,HOUSING_TYPE,0.0803620563441699
20,DEYE,0.07836385514790943
21,DEAR,0.07184619889204522
18,DREM,0.0477778527648411
19,DPHY,0.0161907266711461
