,INDP,count_target,count_deidentified
26,1070,2,1.0
36,1090,2,0.0
17,1170,2,1.0
0,1180,1,0.0
37,1190,3,0.0
29,1280,1,0.0
24,1370,7,3.0
20,1790,1,0.0
10,1880,2,1.0
6,1990,9,4.0
18,2070,2,0.0
31,2090,1,0.0
25,2170,2,0.0
22,2180,1,0.0
38,2190,1,1.0
34,2290,1,0.0
7,2370,3,1.0
1,2390,1,0.0
28,2570,1,1.0
23,2590,1,0.0
27,2670,1,0.0
21,2870,5,3.0
14,2880,1,0.0
39,2890,1,0.0
8,2980,4,1.0
33,3080,2,2.0
30,3170,1,0.0
13,3180,3,2.0
9,3291,3,1.0
3,3380,6,4.0
32,3390,1,1.0
19,3490,1,0.0
4,3570,7,4.0
5,3580,59,21.0
16,3590,2,2.0
15,3670,1,0.0
12,3875,4,1.0
11,3895,3,1.0
40,3960,1,0.0
2,3980,2,2.0
35,3990,1,1.0
