,feature,divergence
0,PUMA,0.4219035896199589
1,AGEP,0.3730500268961805
13,PINCP,0.1694747490603389
12,EDU,0.13841310520452121
14,PINCP_DECILE,0.13252491955105578
7,NPF,0.07428069108148351
3,MSP,0.06933453086401335
15,POVPIP,0.050671147505698906
10,DENSITY,0.04219093169731189
11,INDP_CAT,0.037351733984303304
6,NOC,0.03506583306917747
2,SEX,0.02295231321406832
5,RAC1P,0.01617063322868662
9,OWN_RENT,0.012069148302749591
4,HISP,0.005438312779892151
8,HOUSING_TYPE,0.003692983732578075
17,DREM,0.0030386840200790147
18,DPHY,0.0019282989911867734
20,DEAR,0.001343922949195539
16,DVET,0.0011412771821104626
19,DEYE,0.0002508573335649085
