,Target samples,Deid. samples
0,0,0
1,0,0
2,600,14
3,0,0
4,0,0
5,0,0
6,17,1
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,78,12
14,0,0
15,0,0
16,0,0
17,1020,208
18,0,0
19,66,15
20,40,10
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,68,25
28,0,0
29,0,0
30,454,192
31,0,0
32,0,0
33,87,42
34,103,53
35,848,462
36,0,0
37,0,0
38,4611,2885
39,0,0
40,24,16
41,0,0
42,46,33
43,0,0
44,810,627
45,0,0
46,10239,8829
47,2688,2344
48,0,0
49,114,110
50,0,0
51,80,84
52,0,0
53,1940,2150
54,333,384
55,0,0
56,546,726
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,732,1183
63,944,1615
64,0,0
65,35,64
66,0,0
67,0,0
68,43,91
69,227,515
70,51,117
71,59,143
72,26,67
73,0,0
74,0,0
75,1,3
76,0,0
77,99,334
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,2,10
84,15,76
85,0,0
86,0,0
87,14,93
88,32,229
89,18,144
90,16,140
91,7,71
92,8,95
93,4,56
94,46,753
95,10,184
96,33,777
97,14,513
98,0,0
99,5,758
