,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE,DEYE
PUMA,1.0658141036401503e-14,0.03128742218622879,-0.012839485119390627,-0.012539033656974995,-0.03523230134475579,-0.0028262886036393015,-0.0058284230898767025,0.03176826218228931,-0.007727243277910996,-0.029693103143973342,-0.00016687583289906952
AGEP,0.03128742218622879,5.551115123125783e-16,-0.06616017358288079,-0.14635943250913824,0.17087652027019126,0.12661566556863316,0.5474728831170138,0.4884288694898262,0.16014628999566397,-0.575424519225099,0.12468113589580947
SEX,-0.012839485119390627,-0.06616017358288079,-1.0547118733938987e-14,-0.03259834877259793,0.011492565074737528,0.018493793324988433,0.040387218843129055,0.055663106585224366,-0.0236638451401343,0.14459197424653844,0.02919185972289369
MSP,-0.012539033656974995,-0.14635943250913824,-0.03259834877259793,-4.3298697960381105e-15,0.021181704352251113,0.0059233421181408685,0.3017366050203287,0.3107245625565744,-0.025885321032232168,-0.19010867970890463,0.03668068186349157
HISP,-0.03523230134475579,0.17087652027019126,0.011492565074737528,0.021181704352251113,2.220446049250313e-15,-0.18514128194778393,-0.1303449176743775,-0.10476613949418098,-0.06875716344289134,0.10905571498061435,0.00014519784303893175
RAC1P,-0.0028262886036393015,0.12661566556863316,0.018493793324988433,0.0059233421181408685,-0.18514128194778393,0.0,-0.04953170432936317,-0.03723648588204467,-0.038663962365570084,0.0974438221009829,-0.0135230916095184
NOC,-0.0058284230898767025,0.5474728831170138,0.040387218843129055,0.3017366050203287,-0.1303449176743775,-0.04953170432936317,-2.55351295663786e-15,-0.6703760888045484,-0.1126967505153913,0.3346067241141004,-0.08453919089968527
NPF,0.03176826218228931,0.4884288694898262,0.055663106585224366,0.3107245625565744,-0.10476613949418098,-0.03723648588204467,-0.6703760888045484,-4.218847493575595e-15,-0.022144135310482663,0.2968671747099659,-0.07328662694794812
OWN_RENT,-0.007727243277910996,0.16014628999566397,-0.0236638451401343,-0.025885321032232168,-0.06875716344289134,-0.038663962365570084,-0.1126967505153913,-0.022144135310482663,-1.6653345369377348e-14,0.05241782189361595,-0.025787847943473687
PINCP_DECILE,-0.029693103143973342,-0.575424519225099,0.14459197424653844,-0.19010867970890463,0.10905571498061435,0.0974438221009829,0.3346067241141004,0.2968671747099659,0.05241782189361595,-5.662137425588298e-15,-0.00030882183522741016
DEYE,-0.00016687583289906952,0.12468113589580947,0.02919185972289369,0.03668068186349157,0.00014519784303893175,-0.0135230916095184,-0.08453919089968527,-0.07328662694794812,-0.025787847943473687,-0.00030882183522741016,-9.547918011776346e-15
