PUMA,SEX,MSP,HISP,RAC1P,HOUSING_TYPE,OWN_RENT,INDP_CAT,DREM,DPHY,DEYE,DEAR,AGEP,NOC,NPF,EDU,PINCP_DECILE,DVET,POVPIP,PINCP,DENSITY
25-02800,1,1,0,1,1,1,9,2,2,2,2,66,0,3,9,9,N,501,68542.563904,3683.8999999999996
25-00703,2,1,0,1,1,1,13,2,2,2,2,49,2,N,9,7,N,501,79815.058784,2195.3
25-00703,2,1,0,1,1,2,0,2,2,2,2,40,0,N,7,8,N,143,19443.8684016,2195.3
25-00703,1,1,0,1,1,1,4,2,2,2,2,34,0,3,10,7,N,501,74141.9661248,2195.3
25-01000,1,1,0,1,1,1,16,2,2,2,2,70,2,3,10,5,N,501,100374.15823999999,2447.1
25-00503,1,1,0,2,1,2,16,2,2,2,2,41,0,2,10,5,4,402,58472.463544,2872.7
25-01300,2,6,0,1,3,0,12,2,1,1,2,46,N,N,3,0,N,264,156.9621596799998,1457.2
25-00703,2,6,0,1,1,1,6,2,2,2,2,18,1,2,5,4,N,490,263.07711759999984,2195.3
25-00503,2,1,0,1,1,1,10,2,2,2,2,56,0,2,10,9,N,501,93200.307136,2872.7
25-02800,1,2,4,3,1,1,2,1,1,2,1,58,2,6,2,3,1,45,30157.039075200002,3683.8999999999996
25-01300,2,N,0,6,1,1,N,2,2,2,2,5,1,3,9,N,N,501,N,1457.2
25-00703,2,1,0,1,1,1,5,2,2,2,2,38,4,5,8,4,N,501,84779.6298,2195.3
25-01300,2,6,0,1,1,1,17,2,2,2,2,21,4,N,7,0,N,173,41208.75598079999,1457.2
25-01300,2,6,0,1,1,1,11,2,2,2,2,46,0,2,7,9,5,501,29024.483886399998,1457.2
25-00703,2,1,0,1,1,1,13,2,2,2,2,70,2,4,5,9,N,501,192053.075312,2195.3
25-00503,2,N,0,1,1,2,N,2,2,2,2,8,0,3,5,N,N,501,N,2872.7
25-00703,1,4,0,1,1,1,4,2,2,2,2,51,3,4,7,8,N,501,100055.6062784,2195.3
25-00703,1,5,0,8,1,2,15,2,2,2,2,28,0,7,1,7,N,157,409507.99632000003,2195.3
25-00503,1,1,0,1,1,1,16,2,2,2,2,64,2,3,9,6,N,501,129765.937568,2872.7
25-01300,1,4,0,1,1,1,11,2,2,2,2,27,0,4,5,3,N,501,40141.6817248,1457.2
25-02800,1,6,0,6,1,1,5,2,2,2,2,62,2,7,12,5,N,193,172818.34228799999,3683.8999999999996
25-00503,2,3,0,6,1,1,11,2,1,2,2,34,2,6,9,7,N,0,68468.17913599999,2872.7
25-00703,2,6,0,1,1,1,14,2,2,2,2,29,2,5,4,2,N,418,38051.315,2195.3
25-01300,1,3,0,1,1,1,0,2,2,2,2,15,0,3,10,8,N,501,28694.4620304,1457.2
25-00503,1,6,0,1,1,1,9,2,2,2,2,17,2,3,9,4,N,363,50817.140612799994,2872.7
25-00703,1,4,0,1,1,2,6,2,1,2,2,65,0,2,9,9,N,308,2972.75234016,2195.3
25-00503,1,6,0,1,1,2,10,2,2,2,2,40,0,3,8,9,N,501,30944.632211199998,2872.7
25-00703,1,1,0,1,1,1,9,2,2,2,2,67,0,2,7,7,N,367,193955.969008,2195.3
25-00703,1,1,0,1,1,1,10,2,2,2,2,55,0,2,11,7,N,501,98626.23729599999,2195.3
25-00503,2,N,0,1,1,1,N,2,2,2,2,11,1,3,10,N,N,501,N,2872.7
25-01300,2,6,0,8,1,1,3,2,2,1,2,32,5,6,4,0,3,455,485482.10630399996,1457.2
25-00703,1,1,0,1,1,1,0,2,2,2,2,69,0,2,10,8,N,501,100944.35624,2195.3
25-00503,1,3,0,1,3,0,8,2,2,2,2,22,N,N,12,8,5,367,342899.04704,2872.7
25-02800,2,6,0,1,1,1,15,2,2,2,2,37,0,3,5,4,N,75,21922.8215312,3683.8999999999996
25-01000,1,1,0,1,1,1,10,2,2,2,2,39,0,4,5,8,N,501,-97.97252511999977,2447.1
25-02800,2,6,0,1,1,1,12,2,2,2,2,31,0,2,9,2,N,501,264.32744912,3683.8999999999996
25-00703,2,6,0,1,1,1,14,2,2,2,2,18,1,2,4,4,N,112,18611.310696,2195.3
25-02800,1,N,0,5,1,1,N,1,2,2,2,10,0,4,1,N,N,15,N,3683.8999999999996
25-01000,1,6,0,1,1,1,6,2,2,2,2,34,0,5,8,7,N,500,1.6470870399998603,2447.1
25-00703,1,6,0,1,1,1,10,2,2,2,2,19,0,7,11,6,N,463,73.49418799999967,2195.3
25-00503,1,6,0,6,1,1,11,2,2,2,2,49,2,4,9,2,N,379,54689.907936,2872.7
25-00503,2,1,0,1,1,1,14,2,2,2,2,75,0,2,9,8,N,501,47406.370248,2872.7
25-00703,2,6,0,1,1,1,11,2,2,2,2,62,0,4,8,1,N,501,47024.0731776,2195.3
25-02800,1,N,0,1,1,1,N,N,2,2,2,9,3,4,3,N,N,501,N,3683.8999999999996
25-02800,2,1,4,6,3,0,13,2,2,2,2,70,N,N,4,0,N,278,33589.7534848,3683.8999999999996
25-02800,1,6,0,1,1,1,9,2,2,2,2,62,1,3,5,9,N,501,68641.72520480001,3683.8999999999996
25-00703,2,2,0,1,1,1,3,2,2,2,2,76,2,N,5,4,N,412,1041090.24992,2195.3
25-00703,1,6,0,1,1,2,6,2,2,2,2,27,2,5,9,2,N,308,-91.03030560000025,2195.3
25-00503,2,1,4,1,1,1,12,2,2,2,2,87,0,2,5,2,N,501,-11.174597119999817,2872.7
25-00503,2,1,0,6,1,1,8,2,2,2,2,46,0,2,10,5,N,501,319635.143568,2872.7
25-00703,2,3,4,2,1,2,9,2,2,1,2,16,5,7,4,4,N,402,182532.91494400002,2195.3
25-01000,2,N,0,1,1,1,N,2,2,2,2,6,0,2,5,N,N,501,N,2447.1
25-01300,1,4,0,1,1,1,5,2,2,2,2,46,0,N,3,9,N,501,34312.4160384,1457.2
25-00703,1,6,0,1,1,2,6,2,2,2,2,18,0,N,5,6,N,157,13264.429153599998,2195.3
25-00503,2,1,0,1,1,1,8,2,2,2,2,43,2,6,9,2,N,501,-24.958116159999918,2872.7
25-00703,2,1,0,1,1,1,6,2,2,2,2,30,0,3,9,8,N,501,129649.879568,2195.3
25-00703,2,3,0,5,2,0,6,1,1,2,2,24,N,N,3,3,5,358,351201.035728,2195.3
25-02800,2,6,0,6,1,2,11,2,2,2,2,31,0,2,7,7,4,259,2742.589344,3683.8999999999996
25-00703,2,5,2,8,1,1,9,2,1,2,1,47,1,8,5,6,N,38,53350.9915312,2195.3
25-00503,1,6,0,1,1,1,10,2,2,2,2,64,2,4,12,5,N,501,279392.688048,2872.7
25-00703,2,1,0,6,1,2,13,2,2,2,2,75,0,3,3,9,N,341,680164.187104,2195.3
25-02800,2,3,1,5,1,1,18,2,2,2,2,86,4,5,3,0,N,298,488993.3284,3683.8999999999996
25-02800,2,1,0,1,1,1,10,2,2,2,2,60,1,3,10,9,N,501,100631.7518304,3683.8999999999996
25-02800,2,1,0,1,1,1,12,2,2,2,2,66,0,3,8,7,N,501,20126.555870400003,3683.8999999999996
25-00503,2,6,0,2,1,1,11,2,2,2,2,54,1,4,10,0,N,367,37.7409232,2872.7
25-00703,1,1,0,1,1,1,11,2,2,2,2,44,0,2,7,5,N,100,162.4705078400002,2195.3
25-00503,2,1,0,1,1,2,12,2,2,2,2,70,5,6,10,1,N,501,100830.38392000001,2872.7
25-00703,2,1,0,1,1,1,6,2,2,2,2,30,0,4,10,8,N,331,10902.144926399998,2195.3
25-00703,2,4,0,1,1,1,1,2,2,2,2,16,0,2,9,9,N,501,8.132609920000505,2195.3
25-00503,1,N,0,1,1,1,N,2,2,2,2,12,0,5,9,N,N,501,N,2872.7
25-00703,1,6,0,1,1,2,15,2,2,2,2,19,0,N,3,4,N,136,31672.2129328,2195.3
25-02800,2,6,4,1,2,0,3,2,2,2,1,32,N,N,9,4,2,87,54322.1460368,3683.8999999999996
25-00503,2,6,0,1,1,1,8,2,2,2,2,36,0,2,10,3,N,496,66444.295816,2872.7
25-00703,2,N,0,1,1,1,N,2,2,2,2,12,0,2,3,N,N,416,N,2195.3
25-00703,2,3,0,1,1,1,15,2,2,2,2,24,0,N,12,9,N,501,49352.420027199994,2195.3
25-00703,1,N,0,1,1,1,N,2,2,2,2,10,1,N,5,N,N,501,N,2195.3
25-01000,1,2,0,1,1,2,18,1,2,2,2,78,0,N,5,2,N,185,23603.309076800004,2447.1
25-01300,1,6,0,1,1,1,9,2,2,2,2,16,2,4,5,9,N,501,20151.6540016,1457.2
25-00703,2,6,0,1,1,1,15,2,2,2,2,16,2,4,4,4,N,421,19676.891335999997,2195.3
25-02800,1,6,0,8,2,0,17,2,2,1,2,69,N,N,10,3,N,501,140064.15076800002,3683.8999999999996
25-01000,1,5,2,1,1,2,14,1,1,1,2,65,2,3,2,4,3,338,117455.393024,2447.1
25-02800,1,N,0,1,1,1,N,N,2,2,2,5,0,3,1,N,N,213,N,3683.8999999999996
25-00503,2,5,0,9,1,1,15,2,2,2,2,91,2,4,5,3,N,501,14984.084424,2872.7
25-00703,1,6,0,1,1,2,11,2,2,2,2,63,0,2,7,7,N,120,927.9481696000003,2195.3
25-00703,1,1,0,1,1,1,11,2,2,2,2,35,0,2,9,0,N,501,67569.2079968,2195.3
25-01000,2,1,0,1,1,1,18,2,2,2,2,23,3,4,3,2,N,375,397774.96984,2447.1
25-00503,2,N,0,1,1,1,N,2,2,2,2,7,0,3,10,N,N,501,N,2872.7
25-00703,2,N,0,1,1,1,N,2,2,2,2,8,0,3,3,N,N,490,N,2195.3
25-01300,2,1,0,1,1,1,16,2,2,2,2,62,0,3,7,8,N,364,174546.886592,1457.2
