PUMA,SEX,MSP,HISP,RAC1P,HOUSING_TYPE,OWN_RENT,INDP_CAT,DREM,DPHY,DEYE,DEAR,AGEP,NOC,NPF,EDU,PINCP_DECILE,DVET,POVPIP,DENSITY,PINCP
25-00703,1,N,0,1,1,1,N,2,2,2,2,5,0,3,5,N,N,501,2176.05335445,N
25-00703,1,6,0,1,1,2,16,2,2,2,2,83,1,4,9,0,N,360,2174.6673005009998,0.8218305600003077
25-00503,1,6,0,1,1,1,6,2,2,2,2,21,0,2,8,7,N,208,2904.338876498,76273.648152
25-00703,2,1,0,1,1,1,0,2,2,2,2,59,1,4,9,7,N,501,2191.990647962,60216.65044800001
25-02800,2,1,0,6,1,1,9,2,2,2,2,30,0,2,10,5,N,501,1461.85102942248,81290.9936
25-01000,2,3,0,1,1,1,8,2,2,2,2,91,1,4,3,0,N,201,2473.203708342,-4.304232640000009
25-01300,2,3,0,1,1,1,10,2,2,2,2,65,0,7,1,8,N,501,2473.409678092,81496.547456
25-00703,1,4,4,8,1,2,4,2,2,2,2,57,1,N,8,7,6,142,2186.887964509,138800.7602
25-00503,1,1,0,1,1,1,16,1,2,2,2,46,2,3,4,4,N,345,2889.87681627,22614.652352
25-00503,2,5,0,6,1,1,16,2,2,2,2,33,0,4,10,5,N,444,2890.548700728,80918.00673600001
25-02800,2,1,0,6,1,1,5,2,2,2,2,54,0,2,8,5,N,501,1484.5077477925001,212826.01752
25-00503,1,4,0,1,1,1,11,2,2,2,2,43,0,N,9,8,N,501,2898.16303498,24875.133865599997
25-01300,2,6,0,1,1,1,10,2,2,2,2,59,0,3,9,6,N,501,1490.0334619382,60826.902923199996
25-00503,1,1,0,1,1,1,14,2,2,2,2,38,0,2,10,5,N,501,2881.816006401,84206.03416
25-02800,2,1,0,6,1,1,0,2,2,2,2,56,0,2,9,5,N,501,1464.38895750818,63023.37020800001
25-01300,1,N,0,1,1,1,N,2,2,2,2,6,0,2,5,N,N,253,1491.2421057914,N
25-00503,2,N,0,1,1,1,N,2,2,2,2,14,2,4,3,N,N,501,2891.0351456099997,N
25-02800,1,1,0,1,1,1,10,2,2,2,2,48,0,5,12,9,N,501,3580.0022893349997,180253.724208
25-00503,2,N,0,6,3,0,N,2,2,2,2,12,N,N,2,N,N,441,2905.9894401399997,N
25-00703,2,4,0,1,1,1,2,2,2,2,2,47,2,4,8,4,N,450,2194.311760042,19501.4627728
25-02800,2,6,0,1,1,1,6,2,2,2,2,16,2,4,7,1,N,501,2315.419946745,2428.7106512
25-01300,1,3,0,1,1,1,6,2,2,2,2,62,0,N,2,8,N,91,2480.320508746,100432.22088000001
25-01300,1,1,0,1,1,1,5,2,2,2,2,57,0,2,9,5,N,501,1460.05376365904,632840.134816
25-02800,2,1,0,1,1,1,10,2,2,2,2,44,0,4,9,9,N,501,2618.568696432,167464.06532799997
25-00703,2,6,0,1,1,2,13,2,2,2,2,28,0,N,1,2,N,501,2188.461462064,16314.787286400002
25-01300,2,1,0,1,1,1,12,2,2,2,2,88,1,3,9,8,N,501,1526.8756875136,479409.386592
25-01300,1,5,0,9,1,1,12,2,2,2,1,48,0,3,4,8,1,82,1462.15582679858,85574.6519936
25-01300,2,1,0,1,1,1,10,2,2,2,2,26,0,3,9,8,N,501,1464.1084280447,85363.707664
25-02800,1,N,0,1,1,1,N,2,2,2,2,5,0,3,5,N,N,501,3610.85132514,N
25-01000,1,6,0,1,1,1,6,2,2,2,2,16,2,4,5,1,N,209,2478.1998442,51859.889112000004
25-00503,1,1,0,6,1,1,4,2,2,2,2,43,0,2,9,6,N,500,2195.255346434,236925.067632
25-02800,1,1,0,1,1,1,1,2,2,2,2,54,0,2,12,9,N,501,3648.6092543699997,49461.9384112
25-01000,2,1,0,1,1,1,0,2,2,2,2,66,0,5,1,2,N,501,2474.479429306,12874.324912
25-00703,2,1,0,1,1,1,3,2,2,2,2,64,0,2,8,5,N,501,2188.291230849,43938.2584848
25-00503,2,2,3,6,1,2,15,1,2,1,2,17,3,4,10,2,N,436,2880.6867800299997,27888.3588208
25-00703,1,N,0,1,1,1,N,2,2,2,2,5,0,3,5,N,N,501,2166.975811094,N
25-02800,2,6,0,1,1,1,12,2,2,2,2,82,2,4,7,1,N,266,3410.376313662,27.326517440000316
25-00503,1,4,4,9,1,2,13,1,1,1,2,45,3,8,5,7,4,400,3149.2889249600003,100561.98381599999
25-00703,1,1,0,1,1,1,10,2,2,2,2,44,0,4,9,9,N,501,2166.123207664,187781.050976
25-01000,2,1,0,1,1,1,11,2,2,2,2,66,0,2,8,8,N,501,2478.157870905,100936.48448
25-00703,2,6,0,1,2,0,14,2,2,2,2,25,N,N,8,4,N,111,3286.0721221819995,2909.2507849600006
25-00703,1,N,0,1,1,1,N,2,2,2,2,7,0,2,5,N,N,501,2195.932753108,N
25-01000,1,1,1,1,1,1,11,1,2,2,1,78,0,3,10,8,N,143,2066.094610919,509.06288959999983
25-00503,1,1,0,1,1,1,14,2,2,2,2,53,1,4,10,8,N,501,2889.94139057,110818.409408
25-02800,2,6,0,1,1,1,10,2,2,2,2,59,0,3,7,9,N,501,3668.392659991,40758.0943568
25-00503,2,N,0,1,1,1,N,2,2,2,2,14,2,4,3,N,N,501,2899.655925995,N
25-01000,1,1,4,9,1,1,12,2,2,2,2,75,2,3,7,9,6,311,3361.54776644,106196.06483999999
25-00703,2,1,0,1,1,1,7,2,2,2,2,85,0,2,5,3,N,498,2182.324276058,20431.8563632
25-02800,2,1,0,1,1,1,10,2,2,2,2,44,0,4,7,9,N,501,2590.57538111,199331.53336
25-01300,2,N,0,1,1,1,N,2,2,2,2,9,1,4,3,N,N,501,1460.3422110450501,N
25-00703,2,6,0,1,1,2,13,2,2,2,2,16,0,N,4,2,5,501,2231.373155245,26224.291632
25-01000,2,4,0,1,1,1,4,2,2,2,2,52,2,4,5,6,N,320,1464.2861097979,62756.450264
25-01300,1,6,0,1,1,1,12,2,2,2,2,22,2,4,7,1,N,134,1471.86356010042,3359.3666335999997
25-02800,1,3,0,2,1,2,5,1,1,2,1,75,0,2,2,3,N,280,2032.210493946,16346.464056
25-02800,1,N,0,1,1,1,N,2,2,2,2,11,0,2,5,N,N,501,2175.87477311,N
25-02800,2,1,0,1,1,1,9,2,2,2,2,40,0,2,5,3,N,498,1876.935443904,10026.227952
25-01300,1,1,0,1,1,1,4,2,2,2,2,36,0,N,9,8,N,501,2852.561243262,13582.332535999998
25-02800,2,1,0,1,1,2,12,2,2,2,2,68,2,5,11,7,N,389,3483.47651436,77703.1745696
25-00503,1,1,0,1,1,1,10,2,2,2,2,42,0,6,9,9,N,501,2478.1444661709997,130941.023136
25-00703,1,6,0,2,1,1,18,1,1,2,2,16,4,9,3,2,6,157,2165.489600179,107.26296191999973
25-01300,1,1,0,9,1,1,16,2,2,2,2,37,0,2,7,7,N,393,1464.20999584782,100619.878256
25-02800,1,1,0,1,1,1,7,2,2,2,2,54,0,2,5,8,N,501,3583.975189742,0.8351519999996526
25-00703,1,N,0,1,1,1,N,2,2,2,2,8,2,3,1,N,N,501,2184.543917419,N
25-01300,1,4,0,1,1,1,8,1,1,2,2,50,0,2,1,7,N,291,1476.0637384404001,76210.088736
25-01000,1,1,0,1,1,1,10,2,2,2,2,78,1,5,3,0,N,501,2478.284147062,3.2034080000003087
25-02800,1,1,2,2,1,1,10,2,2,2,2,42,3,5,10,9,N,501,3363.6911878599994,110869.125072
25-01300,1,N,0,1,1,1,N,2,2,2,2,9,2,4,5,N,N,289,1461.6125966131801,N
25-01000,1,1,0,1,1,1,16,2,2,2,2,83,0,2,5,6,N,47,2472.809114835,59173.897912
