PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
25-00703,58,2,4,0,6,0,2,1,1,2167.3435728659997,7890,11,11,3835.3170603199997,4,103.80931421999999,N,2,2,2,2,74,0
25-00703,67,1,6,0,8,N,N,2,0,2004.306558362,8670,14,7,-9.188626080000176,2,56.36964426,6,1,2,2,2,94,157
25-01000,51,2,4,0,1,1,3,1,1,2456.4590802109997,7860,11,10,94033.75832000001,8,382.1398542,6,2,1,2,2,59,78
25-00703,31,2,1,0,1,1,5,1,2,2178.797584064,1180,4,9,85619.1348384,9,145.2981663,N,2,2,2,2,62,86
25-02800,89,1,2,0,1,2,4,1,1,1913.429386879,4585,5,10,66665.5837728,5,223.7793654,4,2,1,2,2,552,64
25-01300,5,2,N,0,1,0,2,1,1,1487.6850839167,N,N,8,N,N,430.54329285,N,2,2,2,2,132,131
25-00703,8,1,N,0,1,0,4,1,1,2166.28660291,N,N,3,N,N,N,N,2,2,2,2,88,104
25-01300,47,2,3,0,1,5,6,1,1,1481.3898511981001,6890,9,10,40416.994176,8,58.867354709999994,6,2,2,2,2,75,26
25-00703,82,2,2,0,7,0,3,1,2,2199.411927324,3580,4,8,31780.378988800003,4,368.6451186,1,2,2,2,1,200,419
25-00503,44,2,5,0,1,0,3,1,1,2871.7105737909997,4585,5,11,26028.147556800002,2,172.03151627999998,2,1,2,2,2,76,83
25-00503,43,1,1,0,1,0,2,1,1,2901.901575212,6090,7,7,35362.590904000004,4,452.2938822,N,2,2,2,2,57,60
25-00703,37,2,1,0,1,2,4,1,1,2145.657518896,7860,11,5,49132.727952,5,378.9467808,N,2,2,2,2,88,112
25-01300,49,1,2,0,1,0,N,1,2,2167.74954481,570,2,5,61452.012168,6,272.8563735,N,2,2,2,2,528,292
25-00503,75,2,1,0,1,0,2,1,1,2109.268698428,8090,12,7,44376.8446944,9,N,N,2,2,2,2,86,86
25-01000,32,1,5,0,8,N,N,3,0,3329.5719091,8990,15,7,28088.89628,5,338.38012944,4,1,1,2,2,439,71
25-02800,53,2,1,0,6,2,N,1,1,3250.84381322,4770,6,2,139676.7982784,8,193.75081317,N,2,2,2,2,99,95
25-02800,49,2,2,0,1,0,N,1,1,2193.191262335,6180,7,9,5.1363624000005075,4,501.0,N,2,2,2,2,100,100
25-00703,85,1,6,0,1,0,N,1,2,2183.34601962,7390,10,9,91318.21641600001,8,278.1220338,1,2,2,2,2,531,122
25-00703,70,2,6,0,1,0,3,1,2,2191.685122455,7870,11,9,6992.592935999999,2,501.0,N,2,2,2,2,60,55
25-01000,6,2,N,0,1,0,2,1,1,2475.53025357,N,N,8,N,N,N,N,2,2,2,2,86,90
25-00703,23,2,2,0,1,3,2,1,1,2189.95976396,6970,9,10,69815.1947072,4,227.89882287,5,2,2,2,2,44,46
25-00503,59,1,4,0,1,0,2,1,1,2889.40564655,4380,5,10,70260.827824,5,450.42172035,N,2,2,2,2,73,61
25-00503,19,1,6,0,9,1,3,1,2,2926.9985773099997,1691,4,7,325158.145312,1,405.18687123,4,2,2,2,2,126,124
25-00703,67,2,6,0,1,1,5,1,1,2174.7787245689997,5070,6,7,974.0901392000005,4,228.86658452999998,N,2,2,2,2,92,89
25-01300,78,2,1,0,1,2,4,1,1,1463.45649548671,4265,5,9,44918.900815999994,9,295.828977,N,2,2,2,2,62,61
25-00703,69,1,4,0,1,2,4,1,2,2179.23953948,7860,11,10,34223.9697504,8,457.49779925999997,N,2,2,2,2,63,56
25-02800,65,1,1,0,1,2,4,1,1,2178.89106093,9180,15,9,102929.358448,7,N,N,2,2,2,2,103,95
25-00703,81,1,2,0,1,1,N,1,2,2169.2006183989997,5570,6,7,-2.4621062400001392,0,484.1200575,1,2,2,2,2,86,156
25-02800,41,2,6,0,1,0,N,1,1,2256.94869744,3370,4,6,77636.700584,2,465.5818551,N,2,2,2,2,107,104
25-00703,16,1,6,0,6,3,4,1,1,2185.465125476,180,0,3,106.89399839999987,1,5.3136313005,N,2,2,2,2,11,30
25-00703,57,2,6,0,1,0,3,1,2,2195.282757111,4795,6,9,235381.13964799998,7,249.94617957,N,2,2,2,2,180,244
25-02800,15,1,1,0,6,3,2,1,1,2639.38509045,8770,15,2,100931.021344,6,64.71748662,3,2,2,1,2,46,48
25-01300,4,2,N,0,1,2,3,1,1,1458.7339819355911,N,N,1,N,N,501.0,N,N,N,2,2,137,134
25-00703,2,1,N,0,1,2,3,1,1,2190.07978309,N,N,N,N,N,454.8011868,N,N,N,2,2,59,61
25-00703,17,2,6,0,1,0,5,1,1,2195.1968064909997,8191,12,5,93022.903232,8,111.14000133,N,2,2,2,2,85,61
25-01000,66,2,1,0,1,0,4,1,1,2181.189171199,9480,16,9,48425.59765919999,5,N,N,2,2,2,2,93,92
25-01300,45,1,6,0,1,0,4,1,1,1457.9961224719561,2480,4,9,124540.232688,5,N,N,2,2,2,2,57,50
25-01300,33,1,2,0,6,1,3,1,1,1670.214293989,4265,5,7,2799.1408751999998,4,454.8651144,6,1,2,1,2,70,44
25-00703,26,1,1,0,9,1,2,1,1,2167.2466891490003,8370,13,7,28622.8949488,4,445.6322856,5,2,2,2,2,156,100
25-01300,92,2,2,0,9,1,3,1,1,2468.97440343,8570,14,6,1.7114067200000136,0,428.5016427,1,1,2,2,1,375,389
25-00703,35,2,1,0,1,0,4,1,1,2187.6978821000002,9590,16,9,9054.9765632,3,N,N,2,2,2,2,73,64
25-00503,59,1,1,0,1,1,3,1,2,2922.67076319,6870,9,10,30022.0081152,2,447.7421469,N,2,2,2,2,65,87
25-00703,37,2,6,0,1,1,4,1,1,2295.70864167,6672,8,5,93695.78396799999,8,318.15386765999995,N,2,1,2,2,137,108
25-01000,53,2,1,0,6,0,2,1,2,2172.835260809,7280,10,2,11464.503460799999,4,468.12751125,N,2,2,2,2,30,102
25-01000,85,1,3,0,1,0,7,1,2,2465.1859851179997,8660,14,10,45268.3168048,5,184.30255938000002,N,2,1,2,2,166,136
25-02800,31,1,6,0,2,N,N,2,0,2518.194760784,1170,4,8,30126.9729888,1,136.64292036,5,1,1,1,1,256,492
25-00703,58,1,1,0,1,0,4,1,1,2177.80710337,6180,7,9,3160.59137216,8,501.0,N,2,2,2,2,113,132
25-01000,47,2,1,0,1,2,4,1,1,2463.86234557,4265,5,11,343504.486304,8,274.52887683,N,2,2,2,2,109,125
25-01300,80,2,3,4,8,5,6,1,1,1539.2564957856,1190,4,11,10535.939886400001,0,317.12428259999996,3,1,1,1,1,197,469
25-01300,33,2,6,0,1,0,N,1,1,1492.163131259,3960,4,11,9351.818614400001,0,275.39812686,N,2,2,2,2,66,56
25-02800,60,1,1,0,1,0,2,1,1,2096.943090049,5480,6,9,30787.8011856,9,67.02987216,N,2,2,2,2,53,47
25-02800,55,2,1,0,1,1,3,1,1,3431.44143007,1770,4,5,63960.011419200004,3,253.15693326000002,N,2,2,2,2,113,95
25-00703,67,2,1,0,1,0,5,1,1,2185.942529956,7380,10,9,177776.5688,9,N,N,2,2,2,2,90,94
25-00703,74,1,1,0,1,0,2,1,1,2124.086540782,3291,4,5,75572.73184,7,469.7692131,N,2,2,2,2,109,123
25-00703,6,2,N,0,1,0,2,1,1,2204.49120816,N,N,5,N,N,N,N,2,2,2,2,87,89
25-02800,70,1,1,0,1,0,2,1,1,3578.3785796949996,6380,7,5,51781.6545824,5,479.7487824,N,2,2,2,2,93,113
25-00503,59,2,1,0,6,2,2,1,2,2923.45389358,5170,6,9,41148.085567999995,1,409.19183517000005,N,2,2,2,2,66,59
25-00503,22,1,4,3,7,2,3,1,2,2908.8935022799997,4490,5,10,30819.1563568,1,328.78277304,5,2,2,2,2,247,194
25-01300,69,2,3,0,1,0,2,1,1,1469.34087377622,8170,12,7,0.7715051200002563,0,501.0,N,2,2,2,2,66,59
25-00703,74,1,1,0,1,0,4,1,1,2172.5136807950003,9590,16,9,111025.30886399999,9,N,N,2,2,2,2,69,64
25-01300,49,1,2,0,9,3,2,1,1,1464.83448900438,8180,12,9,8775.943528000002,1,353.15384789999996,4,2,2,2,2,9,70
25-00703,62,2,1,0,1,3,4,1,1,2267.578829638,770,3,5,12741.6864288,0,213.15777963,N,2,2,2,2,81,73
25-02800,69,1,1,0,1,2,4,1,1,2507.926422802,8191,12,7,88166.93559200001,8,N,N,2,2,2,2,85,77
25-00503,36,2,6,4,1,N,N,3,0,2879.7391855779997,4972,6,9,9283.861777600001,3,284.05507620000003,N,2,2,2,2,159,9
25-00703,34,1,1,0,1,0,2,1,1,2186.204323075,9480,16,7,51601.060260800004,5,484.34343336,N,2,2,2,2,95,134
25-01300,79,1,1,0,1,0,3,1,1,2451.282737522,6370,7,7,45127.293888,5,492.19198413000004,N,2,2,2,2,107,133
25-01300,5,1,N,0,1,0,3,1,1,1483.5399415846,N,N,4,N,N,N,N,2,2,2,2,71,75
25-00703,25,2,6,0,1,N,N,3,0,2460.043822274,6570,8,7,-3.8546676800006026,0,411.0900891,2,2,2,2,2,50,7
25-01000,62,2,4,0,1,0,2,1,1,2477.376811346,7860,11,6,26369.0418608,5,382.40395635,N,2,2,2,1,78,74
25-00703,25,2,1,0,1,1,2,1,1,2165.055861286,5690,6,9,90312.784096,9,501.0,N,2,2,2,2,55,87
25-00703,52,1,1,0,1,0,2,1,1,2164.9167370699997,8590,14,3,6280.8351248,4,N,N,2,2,2,2,57,106
25-01000,44,1,1,0,1,0,N,1,1,2895.444790955,8990,15,9,117185.60829759999,9,305.26859355,N,2,2,2,2,73,73
25-01300,53,2,1,0,1,1,3,1,2,3219.37074474,7280,10,2,11482.137548800001,3,286.05068445,N,2,2,2,2,54,91
25-00503,27,1,6,0,6,2,2,1,1,2873.6942740199997,6190,7,7,10741.4116608,4,453.58105140000004,N,2,2,2,2,166,54
25-00503,30,2,4,4,3,N,N,2,0,1968.07912911,2280,4,10,26889.152592,1,250.73104116,5,2,2,1,1,125,169
25-01300,24,2,6,0,1,N,N,2,0,1475.5843388372,8680,14,5,10727.198088,2,53.48719086,N,2,2,2,2,25,39
25-00703,58,1,1,0,1,0,2,1,1,2189.1663907499997,6180,7,9,52692.9325792,7,493.295121,N,2,2,2,2,53,52
25-02800,8,1,N,0,1,N,N,3,0,2886.55123982,N,N,3,N,N,144.53447196,N,2,2,2,2,58,2
25-01000,33,1,1,0,1,0,4,1,1,2332.964160579,4265,5,9,108720.080768,9,307.90382850000003,4,2,2,2,2,76,70
25-00503,34,2,6,0,1,0,5,1,1,2897.3696617699998,4780,6,5,13617.954604800001,1,264.00619346999997,N,2,2,2,2,276,225
25-00503,27,2,1,0,1,2,4,1,1,2898.298307005,6290,7,11,5037.593974880001,0,499.10609474999995,N,2,2,2,2,100,98
25-01300,18,2,6,0,1,N,N,2,0,1461.5607447863001,6680,8,4,1013.9141131199995,3,55.853270574,6,2,1,2,2,29,136
25-00503,24,2,6,0,1,N,N,2,0,1468.1147645789001,5790,6,7,12201.6177584,2,88.50448065,N,2,2,2,2,88,2
25-00503,64,1,4,2,1,N,N,2,0,1714.660651077,3490,4,3,15459.090643200001,1,94.1492226,6,1,1,1,1,384,8
25-01300,84,1,3,0,1,0,2,1,1,1463.6325176804,7880,11,12,77641.32272,5,352.89994110000004,3,2,1,2,2,140,136
25-02800,49,1,4,0,1,3,4,1,1,2175.74606985,8680,14,3,35389.664376,4,450.00867089999997,N,2,2,2,2,49,80
25-01300,12,1,N,0,1,0,3,1,1,1487.3960359897,N,N,1,N,N,N,N,2,2,2,2,81,83
25-02800,78,1,1,0,6,1,3,1,1,3548.2526201809997,1691,4,9,106072.061072,8,69.53522787,N,2,2,2,2,110,92
25-01000,49,2,1,0,1,0,4,1,1,2477.238511009,7380,10,10,27589.0852704,8,501.0,N,2,2,2,2,112,106
25-02800,31,1,6,0,1,2,4,1,1,2212.864847112,4780,6,3,7937.170495999999,1,480.81112785,N,2,2,2,2,87,104
25-01000,67,2,1,0,1,0,7,1,2,2459.972144801,8680,14,8,-4.9837606400005825,0,402.47146626,N,2,2,2,2,117,98
25-01000,58,2,1,0,1,0,2,1,1,2467.700196622,5170,6,9,151031.38956,4,501.0,N,2,2,2,2,48,131
25-00503,42,2,6,0,1,0,2,1,2,2886.538636698,8191,12,7,64939.5638144,4,391.61038746,N,2,2,2,2,48,56
25-02800,30,1,3,0,3,N,N,2,0,1547.902887674,3590,4,9,10339.2468064,2,315.7286469,4,2,2,2,2,162,156
25-01300,29,2,1,0,1,0,2,1,2,1464.18991902994,8191,12,8,61392.525883199996,6,442.4168175,N,2,2,2,2,85,136
25-00503,70,2,4,0,1,0,5,1,2,2877.98111686,2670,4,9,47266.972816,5,182.15070927,2,2,2,2,2,231,215
25-01000,67,2,1,0,1,2,4,1,1,2474.05283812,7860,11,9,42689.3977056,7,501.0,N,2,2,2,2,103,95
25-01300,57,2,1,0,1,0,2,1,1,1460.38347847615,770,3,5,252118.923488,5,N,N,2,2,2,2,27,40
25-02800,39,1,1,0,1,0,3,1,1,2467.991716186,8180,12,9,87581.72742400001,7,N,N,2,2,2,2,53,49
25-00703,44,1,1,0,1,0,N,1,1,2166.62728801,5080,6,9,97203.7416384,9,N,N,2,2,2,2,65,73
25-00503,22,1,6,2,1,4,5,1,2,2890.03580265,9680,17,1,18122.9668896,1,329.9362554,5,2,1,2,2,6,25
25-00703,8,1,N,0,1,0,2,1,1,2168.37190746,N,N,3,N,N,N,N,2,2,2,2,87,101
25-02800,49,1,3,0,1,0,2,1,1,1998.665369781,3370,4,4,59668.2296384,6,246.41082798,4,2,2,1,2,194,361
25-01300,94,2,3,0,1,0,N,1,2,3372.651784932,8770,15,1,55766.670512000004,4,84.00416799,N,2,2,2,2,63,62
25-00703,59,1,1,0,1,0,2,1,1,2889.379015218,770,3,12,1030481.00128,6,N,N,2,2,2,2,76,160
25-00703,16,1,6,0,1,0,5,1,1,2175.171959789,1190,4,5,279.05490655999984,1,168.022374,N,2,2,2,2,189,64
25-02800,29,1,6,0,3,0,8,1,2,2376.6393891899997,7970,12,6,88979.186848,1,40.190211983999994,3,2,2,2,1,82,442
25-00703,45,1,1,0,1,2,4,1,1,2189.2860536079997,290,0,3,114721.17957440001,8,501.0,N,2,2,2,2,64,104
