PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
48-02510,64,1,1,0,1,0,3,1,1,3092.4,3170,4,7,_RARE_,9,501,N,2,2,2,2,66,60
48-02102,16,2,6,1,1,2,6,1,2,450.9,8680,14,4,24000.0,4,149,N,2,2,2,2,100,192
48-02101,64,2,1,0,1,0,4,1,1,357.4,8470,13,8,6000.0,2,402,N,2,2,2,2,17,16
48-02510,43,1,1,0,1,1,3,1,1,3092.4,490,1,6,320000.0,9,501,N,2,2,2,2,365,276
48-02102,5,1,N,0,6,2,5,1,1,450.9,N,N,2,N,N,467,N,2,2,2,2,104,133
48-02515,23,2,6,1,2,3,8,1,1,2134.8,8680,14,5,36000.0,6,176,N,2,2,2,2,194,93
48-02515,29,2,6,0,1,0,N,1,2,2134.8,9470,16,8,0.0,0,0,N,2,2,2,2,62,62
48-02507,50,1,1,0,1,0,3,1,1,3731.1,7071,9,9,63000.0,7,501,N,2,2,2,2,97,85
48-02102,12,2,N,1,1,3,5,1,1,450.9,N,N,3,N,N,92,N,2,2,2,2,21,25
48-02101,64,2,6,0,2,0,N,1,1,357.4,7071,9,8,17400.0,4,152,N,2,2,2,2,52,51
48-02507,61,1,6,4,8,0,N,1,1,3731.1,2370,4,1,49000.0,7,295,N,2,2,2,2,34,54
48-02515,33,1,6,0,1,0,3,1,1,2134.8,7270,10,8,110000.0,9,501,N,2,2,2,2,64,45
48-02515,63,1,1,0,1,0,2,1,2,2134.8,7870,11,9,30000.0,5,501,N,2,2,2,2,85,85
48-02101,5,2,N,0,1,3,5,1,1,357.4,N,N,2,N,N,501,N,2,2,2,2,57,54
48-02515,38,1,1,0,1,3,6,1,1,2134.8,5391,6,11,155000.0,9,501,N,2,2,2,2,19,17
48-02515,12,2,N,1,1,3,6,1,1,2134.8,N,N,3,N,N,176,N,2,2,2,2,124,77
48-02515,72,2,4,0,1,0,2,1,1,2134.8,N,N,5,32600.0,5,183,N,2,2,2,2,51,49
48-02102,17,2,6,0,1,1,3,1,1,450.9,9920,18,4,0.0,0,4,N,2,2,2,2,29,39
48-02102,19,2,6,0,1,6,8,1,2,450.9,N,N,5,0.0,0,166,N,2,2,2,2,311,291
48-02510,63,2,1,0,1,0,2,1,1,3092.4,N,N,9,84200.0,8,501,N,2,2,2,2,57,57
48-02515,7,1,N,0,1,3,6,1,1,2134.8,N,N,3,N,N,501,N,2,2,2,2,94,113
48-02515,67,1,4,0,1,N,N,2,0,2134.8,770,3,7,47000.0,6,N,2,1,2,1,2,57,0
48-02515,75,2,4,0,1,0,N,1,1,2134.8,7860,11,7,2400.0,1,19,N,1,2,2,2,37,38
48-02102,78,1,3,0,1,0,N,1,1,450.9,8770,15,9,24500.0,4,178,N,2,2,2,2,52,53
48-02102,55,2,4,0,1,0,N,1,1,450.9,N,N,5,15000.0,3,94,N,2,2,2,2,55,55
48-02510,57,1,1,0,1,0,2,1,1,3092.4,770,3,5,87000.0,8,501,N,2,2,2,2,90,59
48-02515,59,2,1,0,1,3,5,1,1,2134.8,5593,6,5,8000.0,2,346,N,2,2,2,2,40,45
48-02102,69,1,5,0,1,0,N,1,1,450.9,N,N,7,_RARE_,6,402,N,2,2,2,2,18,18
48-02507,72,2,6,0,2,N,N,3,0,3731.1,8470,13,7,3500.0,2,26,N,2,2,2,2,93,0
48-02515,54,1,1,0,1,0,2,1,2,2134.8,4870,6,7,55000.0,7,346,N,2,2,2,2,67,60
48-02515,27,1,4,0,1,1,2,1,2,2134.8,490,1,9,55000.0,7,415,N,2,2,2,2,206,226
48-02102,13,2,N,1,1,2,4,1,1,450.9,N,N,3,N,N,467,N,2,2,2,2,138,142
48-02102,40,2,1,0,1,1,3,1,2,450.9,8191,12,7,16000.0,3,209,N,2,2,2,2,287,382
48-02515,65,1,1,0,1,0,2,1,1,2134.8,6390,7,7,_RARE_,8,402,N,2,2,2,2,12,11
48-02101,50,2,1,0,2,0,3,1,1,357.4,8180,12,9,52000.0,7,501,N,2,2,2,2,52,49
48-02102,28,2,1,0,1,0,3,1,1,450.9,8564,14,7,29500.0,5,241,N,2,2,2,2,23,24
48-02101,34,2,1,0,1,3,5,1,1,357.4,8770,15,7,58000.0,7,279,N,2,2,2,2,52,53
48-02515,55,1,3,0,1,0,N,1,2,2134.8,7490,10,11,80000.0,8,501,N,2,2,2,2,27,27
48-02102,84,2,4,0,1,0,N,1,1,450.9,N,N,6,21600.0,4,197,N,2,2,2,2,108,118
48-02102,52,2,1,0,1,0,2,1,1,450.9,7860,11,8,60000.0,7,501,N,2,2,2,2,75,72
48-02507,62,1,2,0,1,0,3,1,1,3731.1,4680,6,7,25900.0,5,308,N,2,2,2,2,64,59
48-02101,65,2,4,0,1,0,2,1,1,357.4,7860,11,10,69900.0,8,467,N,2,2,2,2,59,40
48-02102,34,1,6,0,1,0,N,1,1,450.9,8290,12,5,27000.0,5,334,N,2,2,2,2,94,105
48-02101,71,1,6,0,2,N,N,2,0,357.4,N,N,3,13000.0,3,N,N,1,1,2,2,116,0
48-02102,46,2,1,0,1,0,5,1,1,450.9,7270,10,10,54000.0,7,501,N,2,2,2,2,79,78
48-02102,40,2,1,0,1,6,8,1,1,450.9,7860,11,7,32000.0,5,184,N,2,2,2,2,40,45
48-02515,29,1,6,0,1,0,3,1,1,2134.8,7071,9,9,40000.0,6,501,N,2,2,2,2,36,44
48-02515,42,2,1,1,1,3,5,1,1,2134.8,7380,10,7,32000.0,5,213,N,2,2,2,2,38,39
48-02516,41,1,1,0,1,5,8,1,1,1338.4,9470,16,10,_RARE_,8,333,N,2,2,2,2,373,570
48-02102,22,1,6,4,1,1,2,1,2,450.9,8680,14,5,23000.0,4,172,N,2,2,2,2,38,35
48-02507,29,2,1,0,6,1,3,1,1,3731.1,8191,12,8,56000.0,7,501,N,2,2,2,2,41,20
48-02515,50,1,6,0,1,0,N,1,2,2134.8,6370,7,6,21000.0,4,182,N,2,2,2,2,74,74
48-02102,56,2,1,0,1,1,3,1,1,450.9,7860,11,10,_RARE_,5,239,N,2,2,2,2,52,62
48-02102,36,1,1,0,1,0,2,1,1,450.9,9470,16,5,40700.0,6,406,N,2,2,2,2,88,88
48-02101,62,2,1,0,1,0,2,1,1,357.4,5090,6,7,_RARE_,8,501,N,2,2,2,2,17,18
48-02510,65,1,4,0,1,0,N,1,1,3092.4,6170,7,4,61000.0,7,381,N,2,2,2,2,67,67
48-02515,67,1,4,2,1,0,N,1,2,2134.8,7071,9,9,43000.0,6,302,N,2,2,2,2,81,82
48-02101,51,2,3,0,2,0,3,1,1,357.4,7860,11,5,17000.0,3,167,N,2,2,2,2,93,79
48-02515,44,2,1,1,1,0,4,1,2,2134.8,8180,12,7,50000.0,7,501,N,2,2,2,2,10,19
48-02515,55,1,1,0,6,2,4,1,1,2134.8,770,3,6,_RARE_,1,356,N,2,2,2,2,84,85
48-02507,39,2,6,0,1,0,N,1,1,3731.1,7860,11,10,39000.0,6,282,N,2,2,2,2,57,57
48-02101,68,1,1,0,1,0,2,1,1,357.4,N,N,11,_RARE_,9,501,N,2,2,2,2,26,27
48-02510,40,2,1,0,1,0,2,1,1,3092.4,9570,16,9,30000.0,5,501,N,2,2,2,2,70,71
48-02102,5,1,N,1,1,3,7,1,1,450.9,N,N,1,N,N,443,N,2,2,2,2,226,348
48-02515,37,1,6,0,1,0,2,1,1,2134.8,N,N,9,3000.0,1,257,N,2,1,2,2,46,42
48-02102,36,2,1,0,1,0,2,1,1,450.9,3580,4,9,33100.0,5,276,N,2,2,2,2,24,14
48-02515,10,1,N,0,1,2,3,1,2,2134.8,N,N,3,N,N,89,N,1,2,2,2,85,36
48-02516,63,1,1,0,1,0,2,1,1,1338.4,770,3,9,34700.0,5,501,N,2,2,2,2,176,73
48-02515,10,1,N,0,1,1,3,1,1,2134.8,N,N,3,N,N,86,N,2,2,2,2,203,303
48-02507,54,2,1,0,6,2,5,1,1,3731.1,8191,12,7,50000.0,7,501,N,2,2,2,2,56,54
48-02102,43,1,1,1,1,1,4,1,1,450.9,490,1,5,50000.0,7,501,N,2,2,2,2,407,401
