,HISP,PUMA,PINCP_DECILE,MSP,DENSITY,OWN_RENT,DREM,SEX,NPF,HOUSING_TYPE,RAC1P,INDP_CAT,DVET,NOC,EDU,DEYE,DEAR,DPHY,AGEP
HISP,-1.199040866595169e-14,-0.25070619811300765,0.08632650440321185,0.05316730630085403,-0.318505632557167,-0.09562569171662366,0.0269861648593962,-0.018319328740313175,-0.14971785929265616,0.029382955881034845,0.12491057381590387,-0.008237426656327929,0.06558789830536238,-0.08276779831359418,0.16658326768940235,0.027108746258436525,-0.08560647121712711,0.02237229197578918,0.06192725171626103
PUMA,-0.25070619811300765,0.0,0.044628612536427734,0.01227239086565217,0.004696780180483362,0.028568920439125095,0.034868018413334076,0.03944144505060168,-0.060012318677463046,-0.06874667908151978,-0.10276684975941494,-0.0507788025989018,0.04457009138448122,-0.03656883496425144,0.0399932899403182,0.007043753153248601,-0.0011508105571038617,0.050933234225784635,0.0027547172479097937
PINCP_DECILE,0.08632650440321185,0.044628612536427734,0.0,0.06788074566051255,0.1124775689164296,0.03174985835748326,0.02824070319826727,0.01460784660778766,0.06605411216914159,-0.05607550112924141,0.07559830854575939,0.020371353634675016,-0.029044033367298133,0.26687032823361123,-0.06684312639493661,0.01751979686742137,0.040259007811265665,0.02566928224021714,0.04388474803880332
MSP,0.05316730630085403,0.01227239086565217,0.06788074566051255,3.219646771412954e-15,-0.02789687298882933,-0.027045166048307256,0.07548444661950804,0.012737992487614723,0.03601438787103184,-0.039787145071719154,0.02140228910793162,0.04860923347457369,0.03339389873030827,0.29364224724721744,0.041201517673937926,0.03941004742278775,0.007513229873209911,0.06758389325256514,0.06615358450041137
DENSITY,-0.318505632557167,0.004696780180483362,0.1124775689164296,-0.02789687298882933,-3.885780586188048e-15,0.030968436478949535,-0.01785010445630368,-0.016210449412624242,0.007071330141551722,-0.07450130818276554,-0.013840175089713275,-0.016229540870721815,0.011902787154257466,0.03913331024167337,0.03338394467963718,0.032010932121199265,-0.04915485875574576,0.014448927161326668,-0.031427733362991275
OWN_RENT,-0.09562569171662366,0.028568920439125095,0.03174985835748326,-0.027045166048307256,0.030968436478949535,0.0,-0.03446323235137971,-0.07675990816985365,0.12525437043084992,-0.05024033380617354,-0.028108178418518523,-0.024849541901837444,0.01612123735493178,-0.0015651596507608723,0.016089937736740056,0.01992507958547359,0.012919350105144233,-0.0009125407321920048,-0.005762869322099684
DREM,0.0269861648593962,0.034868018413334076,0.02824070319826727,0.07548444661950804,-0.01785010445630368,-0.03446323235137971,3.552713678800501e-15,-0.018915224584884618,-0.035599318402268765,0.023407313985727818,0.012845644986531481,0.0013056093718274986,0.01647762027981966,0.29287761382596034,0.06867709043645093,0.0029767735200237726,-0.025785150355228364,-0.004112300183390594,0.09598724183064683
SEX,-0.018319328740313175,0.03944144505060168,0.01460784660778766,0.012737992487614723,-0.016210449412624242,-0.07675990816985365,-0.018915224584884618,0.0,-0.01921868167306178,0.07818873942022701,-0.003601200122253491,-0.05397313869890415,0.07230418969660803,-0.03150693127365309,-0.05987097665107909,-0.019977201774825582,-0.004140489019713861,0.017369685854610885,-0.088649170479073
NPF,-0.14971785929265616,-0.060012318677463046,0.06605411216914159,0.03601438787103184,0.007071330141551722,0.12525437043084992,-0.035599318402268765,-0.01921868167306178,-7.438494264988549e-15,-0.06439625026257079,-0.09597814264731655,-0.025741946558135054,0.0012128460961561977,-0.030017077031407657,0.06174101124773662,-0.05192152483595512,-0.07516784805736168,-0.06375015466502876,0.09374939643154309
HOUSING_TYPE,0.029382955881034845,-0.06874667908151978,-0.05607550112924141,-0.039787145071719154,-0.07450130818276554,-0.05024033380617354,0.023407313985727818,0.07818873942022701,-0.06439625026257079,-9.2148511043888e-15,-0.015115891062933547,0.021510537715252787,0.0466714664580952,-0.041568314094387326,-0.020735473424276427,-0.01514982361565227,-0.02110473288573019,-0.00524752468470923,0.05311815371037526
