SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT,target
1,1,1,1,4,7,0,48-02101,N,4772
1,N,1,1,4,3,0,48-02102,9,5827
1,3,1,1,N,7,0,48-02101,14,7311
2,1,1,2,0,7,0,48-02102,14,2830
2,1,1,1,5,5,0,48-02102,3,5314
2,N,1,1,4,3,0,48-02515,9,8490
2,1,1,1,7,8,0,48-02101,11,745
2,1,1,1,3,1,0,48-02510,15,2106
1,1,1,1,1,10,0,48-02507,N,5843
2,N,1,1,N,3,0,48-02101,N,8653
1,1,1,1,4,10,0,48-02510,N,1937
2,1,1,1,0,4,0,48-02510,N,857
1,1,1,1,3,10,0,48-02515,4,2094
1,1,1,1,7,9,0,48-02102,14,736
1,6,1,1,7,9,0,48-02515,14,1957
2,N,1,1,N,3,0,48-02510,9,7529
1,1,1,1,7,4,0,48-02510,14,635
2,1,1,1,6,9,0,48-02507,N,2851
2,1,1,1,7,6,0,48-02510,14,708
2,1,1,1,4,1,0,48-02516,14,830
2,1,1,1,4,6,0,48-02515,11,1895
1,1,1,1,7,10,0,48-02101,10,2805
2,1,1,1,8,9,0,48-02516,11,3872
2,3,1,1,5,5,0,48-02507,N,366
1,1,1,1,0,10,1,48-02102,6,1758
1,6,1,1,0,5,0,48-02507,10,484
2,1,1,1,1,6,0,48-02101,11,5590
2,1,1,1,1,7,0,48-02516,14,707
2,1,1,1,5,12,0,48-02515,N,7632
2,N,1,2,N,3,1,48-02507,N,8753
2,1,1,1,4,5,0,48-02102,N,8519
2,1,1,1,6,7,1,48-02510,11,739
2,1,1,1,0,3,4,48-02101,6,1667
2,1,1,1,1,10,0,48-02507,N,705
2,6,1,1,6,7,0,48-02102,11,5399
1,1,6,1,8,5,0,48-02102,6,5527
1,2,1,1,0,9,0,48-02510,N,4487
1,1,1,1,7,9,0,48-02510,N,776
2,6,1,1,6,9,0,48-02507,11,7388
2,1,1,1,8,8,0,48-02102,11,5591
1,1,1,1,8,9,0,48-02507,6,8781
2,1,1,1,9,7,0,48-02101,N,2399
2,1,1,1,6,9,0,48-02515,14,1991
2,N,1,1,7,9,0,48-02102,9,609
1,2,1,1,0,3,1,48-02507,N,5780
1,1,1,1,0,7,0,48-02101,N,3685
1,1,2,1,4,3,0,48-02102,N,1888
2,N,1,1,0,9,0,48-02516,10,8574
1,3,1,1,4,5,0,48-02101,9,7067
2,1,1,1,8,9,0,48-02510,N,3743
1,1,1,1,3,4,0,48-02101,14,599
2,1,1,1,5,7,0,48-02507,11,5468
1,1,1,1,9,9,0,48-02510,10,914
1,1,1,1,4,1,0,48-02101,6,7059
2,N,1,1,N,9,0,48-02101,9,2152
2,6,1,1,8,7,0,48-02510,8,7344
1,N,1,2,9,5,0,48-02102,N,8491
2,1,8,1,8,5,0,48-02102,11,4735
2,3,1,1,8,9,0,48-02510,3,521
1,1,1,2,7,4,0,48-02102,6,5154
1,6,1,1,4,9,0,48-02102,N,1608
1,1,1,2,N,3,1,48-02101,N,7555
1,1,1,1,6,9,0,48-02101,8,649
2,3,1,2,3,5,0,48-02101,6,4676
2,1,1,1,4,9,0,48-02101,9,7289
2,4,1,1,5,10,0,48-02515,N,7233
2,1,1,1,8,7,0,48-02102,11,4021
1,1,1,2,1,8,0,48-02507,9,3906
1,1,1,1,4,5,0,48-02510,11,5201
2,1,1,1,0,5,0,48-02516,N,712
1,1,1,1,0,3,0,48-02516,3,5141
2,1,1,1,0,9,0,48-02101,10,5801
1,1,1,1,9,7,0,48-02101,15,6295
2,6,1,1,1,5,0,48-02516,11,2034
1,1,1,1,2,1,0,48-02102,9,3883
2,4,1,1,5,6,0,48-02101,6,519
2,1,1,1,6,1,0,48-02102,N,1991
1,4,1,2,5,4,0,48-02102,N,549
1,6,1,1,0,3,0,48-02515,9,1967
2,3,1,1,7,9,0,48-02510,N,7216
1,1,1,2,7,9,0,48-02516,14,8773
1,1,1,2,8,9,0,48-02515,11,888
2,N,2,1,0,7,0,48-02510,11,4444
1,6,1,1,6,3,0,48-02515,3,6360
2,6,1,1,8,8,0,48-02101,10,3785
1,N,1,1,N,3,0,48-02101,9,8811
2,1,1,1,4,9,0,48-02101,N,5393
1,1,1,1,6,9,0,48-02102,N,2739
1,1,1,1,7,1,0,48-02516,11,719
2,1,1,1,8,9,0,48-02101,N,4412
2,N,1,1,N,10,0,48-02102,9,8330
2,1,1,1,6,9,0,48-02515,N,4887
2,1,1,1,3,7,0,48-02515,11,3912
1,6,1,1,6,9,0,48-02510,9,504
1,1,1,1,6,2,0,48-02516,10,752
2,6,9,1,0,4,1,48-02510,9,7275
1,6,1,1,1,6,1,48-02101,14,7071
2,N,1,1,N,3,0,48-02515,9,8764
2,1,2,1,5,9,0,48-02507,N,3725
2,1,1,1,4,5,0,48-02515,11,3367
2,1,1,1,6,5,0,48-02516,N,4729
1,4,1,1,0,5,0,48-02101,9,6507
1,4,1,1,6,10,0,48-02101,9,4921
2,4,1,1,7,10,1,48-02101,10,7534
2,1,1,1,6,7,0,48-02102,5,1938
1,4,1,1,1,5,4,48-02516,8,1842
1,4,2,1,3,7,0,48-02510,9,822
1,1,2,2,4,2,0,48-02102,N,6837
1,1,2,1,8,6,0,48-02516,6,3842
2,1,1,1,3,9,0,48-02101,14,5601
2,6,1,1,0,4,0,48-02102,3,3007
1,1,1,1,6,7,0,48-02516,3,638
2,4,2,1,9,12,0,48-02101,11,5474
1,6,1,1,6,6,0,48-02101,2,2957
1,6,1,1,0,8,0,48-02102,9,5701
2,1,1,1,9,9,0,48-02516,9,7195
1,6,1,1,1,3,0,48-02516,8,930
2,1,1,1,7,9,0,48-02510,5,887
2,1,1,1,8,6,0,48-02510,N,7444
1,1,1,1,8,9,0,48-02102,3,5794
1,2,1,1,7,4,0,48-02102,2,5435
2,1,1,1,0,5,0,48-02515,9,905
2,1,1,1,0,7,1,48-02101,9,2306
1,6,1,1,5,4,0,48-02507,N,2965
1,1,1,2,8,5,0,48-02516,11,5504
1,1,1,1,9,9,0,48-02507,11,4996
1,4,1,1,5,6,1,48-02507,4,8377
1,4,1,1,5,5,0,48-02102,3,1842
2,1,1,1,0,9,0,48-02510,15,805
2,4,1,1,7,7,0,48-02507,N,7290
2,1,1,2,1,9,0,48-02515,5,4643
2,1,1,1,2,5,0,48-02516,9,2181
2,1,1,1,0,9,0,48-02101,N,1706
2,3,1,2,3,3,0,48-02102,N,2674
2,1,1,1,9,9,0,48-02516,11,6354
2,1,1,1,5,5,0,48-02516,14,5600
2,N,1,2,N,2,1,48-02507,N,8598
1,1,1,1,9,7,0,48-02101,11,4230
2,1,1,1,8,12,0,48-02515,11,1942
1,4,1,1,3,5,0,48-02507,6,5405
1,1,1,1,7,3,0,48-02516,6,4584
1,1,1,1,4,5,0,48-02507,11,549
1,1,1,1,6,6,0,48-02101,9,7147
1,6,1,1,1,5,0,48-02102,N,4006
2,4,1,1,7,1,0,48-02507,11,1954
1,6,2,2,0,7,0,48-02510,9,7589
2,6,1,1,0,6,0,48-02516,N,527
1,1,1,1,6,9,0,48-02516,9,2185
2,1,1,1,9,3,0,48-02515,6,6050
1,1,6,1,1,3,0,48-02510,N,660
1,1,1,1,8,1,0,48-02101,11,941
2,3,1,1,6,6,0,48-02510,14,1917
2,6,1,1,4,3,1,48-02515,10,5558
1,1,2,1,8,1,0,48-02516,6,3577
1,1,1,1,7,9,0,48-02510,9,7119
2,4,1,1,8,10,0,48-02515,11,2268
1,1,1,2,8,9,0,48-02507,8,2109
1,6,6,1,9,7,2,48-02515,4,1975
2,6,6,2,0,6,0,48-02507,14,4625
2,1,1,1,0,5,0,48-02516,10,4105
1,N,1,2,N,9,1,48-02515,N,8391
1,1,1,1,1,6,0,48-02515,N,3049
2,1,2,1,N,9,0,48-02101,6,674
1,6,1,1,5,9,0,48-02507,3,7357
1,1,1,1,N,9,0,48-02510,N,7385
2,1,1,1,3,9,0,48-02101,11,585
2,1,1,1,8,4,0,48-02510,3,3813
1,1,1,1,8,1,0,48-02510,6,5256
1,6,9,2,0,5,0,48-02101,N,2098
2,4,1,1,7,2,1,48-02101,11,796
1,N,2,1,6,9,0,48-02515,5,640
2,1,1,1,N,7,0,48-02507,9,5623
1,N,1,1,N,3,1,48-02507,N,7872
1,1,6,2,3,6,0,48-02507,9,1657
2,4,2,2,5,7,0,48-02515,N,2660
2,4,1,1,7,5,0,48-02102,N,643
2,1,1,1,8,9,0,48-02515,N,7230
1,N,1,1,0,9,0,48-02516,3,3836
2,1,1,1,6,9,0,48-02101,N,8672
1,1,1,2,8,3,0,48-02102,11,7248
1,N,1,1,7,3,0,48-02516,N,7299
2,6,1,1,1,12,0,48-02516,11,2137
1,1,1,2,N,9,0,48-02102,9,6960
1,6,2,1,N,4,0,48-02507,N,5920
1,6,1,2,0,3,0,48-02101,9,631
1,1,1,1,8,4,0,48-02516,10,5638
1,6,1,1,9,8,0,48-02101,9,2745
1,4,1,1,5,9,0,48-02102,15,702
2,3,1,1,3,7,0,48-02516,9,7218
1,1,2,2,4,3,0,48-02101,4,5282
2,N,1,1,0,2,1,48-02510,N,7558
2,1,1,1,0,10,0,48-02102,14,742
2,1,1,1,5,7,1,48-02516,9,763
1,1,1,1,3,4,0,48-02507,6,695
1,6,1,2,4,4,0,48-02515,11,2178
1,1,1,1,6,2,0,48-02101,4,2199
2,6,1,1,3,5,1,48-02101,10,5462
1,3,1,1,0,3,0,48-02516,9,7278
2,3,1,1,4,6,0,48-02510,5,7275
2,1,1,1,4,5,0,48-02101,N,2423
2,1,1,1,1,6,0,48-02516,N,3689
1,6,1,1,1,5,0,48-02101,5,7462
1,1,6,1,9,10,0,48-02515,14,770
2,1,1,1,0,10,0,48-02102,9,8368
1,6,1,1,0,5,0,48-02515,9,8604
2,1,1,1,1,9,0,48-02516,8,7427
1,1,1,1,9,9,0,48-02510,3,5198
2,1,1,1,3,4,1,48-02101,9,3605
1,1,1,2,6,3,0,48-02101,11,3901
2,6,1,1,8,3,1,48-02516,N,4347
1,1,1,1,8,9,0,48-02515,9,704
2,1,1,1,7,9,0,48-02507,11,3759
1,1,1,1,5,9,1,48-02101,11,6973
2,6,1,1,1,5,0,48-02516,N,1813
1,4,1,1,N,9,0,48-02510,9,2925
2,1,1,1,8,5,0,48-02510,8,7342
2,6,1,2,3,7,0,48-02101,3,7588
1,N,1,1,N,4,0,48-02515,N,5838
2,6,1,1,1,8,0,48-02510,9,3962
1,1,1,1,3,9,0,48-02507,10,1790
1,4,1,1,5,4,0,48-02516,9,3872
1,1,1,1,8,1,0,48-02102,6,5391
1,1,1,1,8,9,0,48-02516,10,3558
2,1,1,1,9,6,0,48-02102,2,5321
1,1,8,1,8,9,0,48-02102,14,1820
2,1,1,1,7,10,0,48-02516,8,5322
2,4,1,1,1,7,0,48-02510,6,5444
1,6,1,2,8,8,0,48-02510,11,4101
1,1,1,1,1,7,0,48-02102,8,3070
2,1,1,1,8,5,0,48-02510,N,4091
2,N,1,1,9,3,0,48-02516,9,8655
1,6,1,1,1,7,0,48-02102,10,7493
1,1,1,2,8,3,0,48-02101,10,5382
2,3,1,1,7,5,0,48-02516,10,7233
2,4,1,1,5,1,0,48-02507,6,4528
2,6,1,0,0,4,0,48-02515,5,6861
1,1,1,1,8,1,1,48-02516,10,2220
1,1,1,1,6,6,0,48-02101,5,7152
1,N,1,1,N,4,1,48-02510,9,8835
1,1,1,2,5,9,0,48-02102,N,6575
1,1,1,1,5,9,0,48-02507,11,3258
2,6,7,1,0,4,0,48-02515,5,5972
1,6,1,1,1,7,0,48-02102,10,3378
2,6,1,1,5,9,0,48-02102,11,7242
2,5,1,1,1,7,0,48-02510,9,2893
2,4,1,1,3,3,0,48-02507,N,8891
1,1,1,1,3,10,1,48-02101,9,832
2,4,1,1,3,9,0,48-02510,10,7306
2,1,1,1,4,9,1,48-02101,11,7367
2,1,1,2,6,6,0,48-02516,11,3157
1,3,1,1,2,5,0,48-02101,14,4656
1,4,2,0,3,6,0,48-02516,4,441
2,N,1,1,N,8,0,48-02102,N,2079
2,6,1,1,1,12,0,48-02101,9,2025
1,1,1,1,9,5,0,48-02516,3,620
1,1,1,1,5,9,0,48-02515,10,3748
2,6,1,1,0,7,0,48-02516,9,4737
1,1,1,1,6,5,0,48-02102,14,4457
1,6,6,1,8,4,0,48-02101,6,2122
2,1,1,1,7,9,0,48-02101,10,7538
2,N,1,2,9,10,0,48-02102,N,8722
1,1,1,1,7,9,0,48-02515,6,609
1,1,1,1,9,7,0,48-02102,N,2040
2,N,2,1,N,9,0,48-02101,11,8664
2,N,1,1,4,5,0,48-02101,N,7420
2,1,1,1,1,10,0,48-02516,14,4128
2,1,1,1,1,1,0,48-02101,6,7478
2,N,1,1,9,9,0,48-02101,N,8710
1,6,6,1,7,8,0,48-02507,4,6966
1,1,1,1,8,9,0,48-02102,15,5498
1,N,1,1,N,1,0,48-02101,9,8800
2,1,1,1,6,1,1,48-02515,10,8539
1,1,1,1,N,12,0,48-02102,10,707
1,6,1,1,7,7,0,48-02101,4,3766
2,1,1,1,9,3,0,48-02101,14,5693
1,6,9,1,6,7,0,48-02101,11,5530
2,6,1,1,3,8,0,48-02516,5,689
1,1,1,2,5,4,0,48-02101,6,3370
2,4,1,1,1,7,0,48-02516,14,3410
2,1,1,1,8,8,0,48-02507,14,2008
2,N,1,1,9,3,0,48-02510,N,8747
1,6,6,1,2,7,0,48-02516,11,624
2,6,1,2,5,3,0,48-02507,9,3259
2,1,6,1,8,10,0,48-02510,14,7320
2,4,1,1,1,3,0,48-02510,9,7479
1,6,1,1,5,7,0,48-02515,6,1853
2,3,1,1,0,6,1,48-02101,N,1963
1,1,1,1,7,9,0,48-02101,10,7137
2,1,2,1,7,1,0,48-02510,N,4070
1,1,1,1,3,5,0,48-02102,9,2832
1,1,1,1,1,5,0,48-02102,6,3131
2,4,1,1,5,9,0,48-02101,15,1816
1,3,1,1,0,6,0,48-02101,6,7179
2,6,1,2,4,6,0,48-02510,5,2094
1,1,1,1,9,10,0,48-02101,14,2725
1,N,2,1,N,3,0,48-02507,N,7490
1,6,1,1,2,7,0,48-02102,6,2209
1,1,1,2,0,5,0,48-02515,N,3335
2,1,1,1,1,9,0,48-02516,14,3608
2,1,1,1,1,6,0,48-02102,N,2888
2,1,1,1,6,5,0,48-02101,6,615
1,1,1,1,4,9,0,48-02516,3,6482
1,1,1,1,1,8,0,48-02102,9,4811
2,1,1,1,0,7,0,48-02101,N,5422
1,N,9,2,N,3,0,48-02102,9,8627
2,1,1,2,0,7,0,48-02510,N,689
2,N,1,1,N,4,0,48-02101,N,7667
1,1,1,1,8,7,0,48-02516,14,7124
2,3,1,1,3,4,0,48-02510,N,1799
1,N,1,1,N,3,0,48-02516,N,8347
2,1,1,2,6,7,0,48-02510,5,5995
1,1,1,1,0,9,0,48-02510,10,3258
1,1,1,1,N,10,0,48-02507,10,2913
2,1,1,2,5,6,0,48-02510,N,4245
2,1,1,1,0,4,0,48-02101,11,4053
2,1,2,1,9,2,0,48-02102,15,5810
2,1,1,1,8,5,0,48-02102,N,7127
1,6,1,1,9,5,0,48-02515,N,4100
2,6,1,2,3,9,0,48-02101,6,808
1,6,1,1,1,5,0,48-02102,8,5126
2,1,1,1,4,7,0,48-02510,14,7057
1,1,1,1,5,5,0,48-02101,10,6566
1,1,1,1,3,7,0,48-02516,N,7482
1,6,1,1,7,7,1,48-02516,11,2068
1,4,1,1,8,7,0,48-02507,6,2834
2,1,1,1,7,7,0,48-02510,8,5975
2,1,1,1,6,7,0,48-02102,11,3775
2,1,1,1,0,5,0,48-02102,N,8581
2,6,1,1,1,4,0,48-02515,N,550
2,6,1,2,0,7,0,48-02510,14,5483
2,6,1,2,6,9,0,48-02516,14,5485
2,1,1,1,9,7,0,48-02510,9,5523
1,1,1,1,7,5,0,48-02516,10,4375
1,N,1,1,N,3,0,48-02101,N,5882
1,N,1,2,N,12,1,48-02515,9,8535
