PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,target
48-02101,13,2,N,0,6,1,5,1,1,357.4,9920,N,3,990.0,1,500,N,2,2,2,2,93,83,8660
48-02510,6,1,1,0,1,0,2,1,1,1338.4,N,N,6,61500.0,N,500,N,2,2,2,2,83,48,5419
48-02101,61,1,6,0,1,0,2,1,1,357.4,8670,2,7,99000.0,1,84,N,2,2,2,2,146,97,4227
48-02515,13,1,6,1,2,0,6,1,1,2134.8,9920,N,4,100900.0,1,222,N,2,2,2,2,45,47,8779
48-02507,66,1,1,0,1,0,2,1,1,3731.1,N,4,9,102100.0,N,52,N,2,2,2,2,36,43,5632
48-02507,36,2,1,1,1,0,2,1,1,3731.1,7970,11,9,1000.0,0,234,N,2,2,2,2,59,58,2966
48-02101,38,1,1,0,1,3,5,1,1,3092.4,8670,2,9,62900.0,5,404,N,2,2,2,2,55,57,4881
48-02101,62,1,N,1,1,0,6,1,1,357.4,9920,N,3,99200.0,N,15,N,2,2,2,2,80,55,8524
48-02101,60,2,1,0,1,0,2,1,1,357.4,6280,6,7,565600.0,1,52,N,2,2,2,2,18,10,4713
48-02507,14,1,6,0,2,1,2,1,1,3731.1,9920,9,2,101700.0,9,90,N,2,2,2,2,95,90,7260
48-02101,32,1,1,0,1,0,5,1,1,1338.4,7860,11,5,21200.0,5,233,N,2,2,2,2,269,278,4718
48-02102,59,1,4,0,1,N,3,1,1,450.9,9920,9,6,101100.0,0,87,N,2,2,2,2,174,13,815
48-02102,71,2,1,4,1,2,4,1,1,3731.1,9920,6,4,205100.0,4,149,N,2,2,2,2,49,11,2108
48-02515,70,2,2,0,1,0,3,1,1,3092.4,N,N,5,300.0,N,474,N,2,2,2,2,126,86,4182
48-02101,51,1,1,0,1,2,4,1,1,2134.8,6270,6,7,79000.0,8,52,N,N,2,2,2,101,424,4111
48-02507,17,2,6,1,1,3,6,1,1,3092.4,9920,N,3,-1300.0,0,237,N,2,2,2,2,53,54,2352
48-02101,27,2,1,0,1,1,5,1,1,357.4,9920,N,4,100900.0,0,22,N,2,2,2,2,139,93,2015
48-02102,62,1,3,0,1,0,3,1,2,450.9,8680,14,9,132000.0,3,52,N,2,1,2,1,40,42,5234
48-02102,73,1,1,0,1,0,2,1,1,3731.1,6080,9,5,8100.0,8,480,N,2,2,2,2,40,46,2010
48-02516,73,2,1,0,1,0,4,1,1,357.4,N,10,7,101100.0,1,501,N,2,2,2,2,278,148,7234
48-02510,37,1,1,0,1,3,6,1,2,3092.4,3770,6,9,41980.0,6,330,N,2,2,2,2,52,53,377
48-02515,31,1,6,0,1,1,2,1,1,450.9,9290,15,6,10070.0,0,411,N,2,2,2,2,79,86,3886
48-02102,14,2,3,0,1,0,3,1,1,450.9,9920,9,5,344000.0,6,47,N,2,2,2,2,8,38,3853
48-02510,49,1,1,0,1,0,N,1,1,3092.4,9920,N,4,10000.0,1,501,N,2,2,2,2,79,74,6946
48-02101,68,1,1,0,1,0,3,1,1,357.4,7880,11,9,145100.0,3,4,N,2,2,2,2,66,75,2135
48-02515,64,2,3,0,1,0,N,1,1,2134.8,3291,4,5,274000.0,8,52,N,2,2,2,2,73,43,3147
48-02507,16,2,6,0,1,0,4,1,1,2134.8,6992,8,3,101700.0,9,52,N,2,2,2,2,49,48,1967
48-02516,38,2,6,0,1,1,3,1,1,1338.4,7880,11,10,80200.0,7,317,N,2,2,2,2,87,20,4529
48-02101,77,2,3,0,1,0,N,1,2,357.4,N,9,6,133800.0,3,88,N,2,1,2,2,48,52,2104
48-02515,10,1,N,1,1,1,4,1,1,2134.8,9920,N,2,N,9,21,N,2,2,2,2,315,193,8728
48-02510,39,2,1,0,1,3,6,1,2,3092.4,7780,11,9,60350.0,1,391,N,2,2,2,2,58,93,3329
48-02102,41,1,1,0,1,1,4,1,1,450.9,7880,10,7,58430.0,7,464,N,2,2,2,2,78,81,2220
48-02101,59,1,6,0,1,0,2,1,1,357.4,9920,N,4,101200.0,0,265,N,2,2,2,2,82,57,3323
48-02102,37,1,1,0,6,2,3,1,1,450.9,3680,3,5,557000.0,9,468,N,2,2,2,2,52,85,715
48-02101,64,1,6,0,8,0,N,1,1,3092.4,N,N,4,22300.0,3,137,N,2,2,2,2,83,95,499
48-02516,61,2,1,0,1,0,2,1,1,357.4,7790,10,2,30010.0,5,224,N,2,2,2,2,77,16,7248
48-02102,37,1,1,0,1,0,5,1,1,450.9,8670,15,7,61000.0,9,501,N,2,2,2,2,75,88,719
48-02102,35,2,6,0,1,0,2,1,1,450.9,8680,14,9,201200.0,4,52,N,2,2,2,2,44,51,1780
48-02515,67,2,3,0,1,0,2,1,1,2134.8,9920,9,3,39930.0,6,340,N,2,1,2,1,38,46,7381
48-02102,61,1,1,0,1,0,4,1,1,450.9,6280,10,12,55200.0,8,501,N,2,2,2,2,14,76,2957
48-02507,28,1,6,0,1,0,2,1,2,3731.1,770,3,9,56750.0,7,464,N,2,2,2,2,81,50,7013
48-02102,30,1,1,0,1,2,4,1,2,450.9,9920,3,4,98400.0,N,24,N,2,2,2,2,54,55,7477
48-02510,49,2,4,0,1,0,2,1,1,3092.4,6991,14,6,38000.0,7,463,N,2,2,2,2,38,49,1866
48-02516,6,1,N,0,1,1,3,1,1,1338.4,9920,N,3,N,N,52,N,2,2,2,2,13,12,8640
48-02101,37,1,1,0,6,4,6,1,1,357.4,6992,8,1,99800.0,7,5,N,2,2,2,2,132,89,7616
48-02510,4,2,N,0,1,2,3,1,1,3092.4,N,9,12,99200.0,N,249,N,2,2,2,2,50,55,7583
48-02102,63,1,1,0,1,0,2,1,1,2134.8,N,9,1,41850.0,9,501,N,2,2,2,2,39,42,7476
48-02507,67,2,4,0,1,0,N,1,1,3731.1,7790,10,6,40000.0,6,236,N,2,1,2,2,33,40,7075
48-02102,15,1,N,1,1,3,8,1,2,3092.4,9920,N,5,N,9,140,N,2,2,2,2,288,62,8584
48-02510,55,2,2,0,1,2,3,1,1,3092.4,5370,6,8,12800.0,3,500,N,2,2,2,2,79,79,828
48-02102,28,1,1,0,1,3,4,1,1,450.9,9920,6,5,990.0,6,388,N,2,2,2,2,49,238,7197
48-02507,76,2,6,0,1,0,3,1,1,3731.1,N,9,7,130100.0,3,501,N,2,2,2,2,255,52,4082
48-02510,54,1,1,0,1,2,4,1,2,3092.4,N,N,8,101000.0,0,91,N,2,2,2,2,83,93,8610
48-02510,58,2,1,0,1,0,2,1,1,1338.4,2670,10,10,78100.0,9,52,N,2,2,2,2,76,83,3855
