PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
01-01301,55,1,6,0,2,0,2,1,2,2731.2,6170,7,4,9700.0,2,78,N,2,2,2,2,69,62
01-01301,72,2,4,0,2,0,N,1,2,2731.2,N,N,3,16200.0,4,132,N,2,2,2,2,90,91
01-01301,24,1,6,0,2,N,N,3,0,2731.2,770,3,4,0.0,0,0,N,2,2,2,2,94,0
01-01301,3,1,N,0,9,2,6,1,1,2731.2,N,N,1,N,N,174,N,N,N,2,2,73,76
01-01301,27,1,4,0,2,0,N,1,2,2731.2,6170,7,7,0.0,0,0,N,2,2,2,2,207,107
01-01301,66,1,4,0,1,0,N,1,1,2731.2,6991,9,9,25900.0,5,209,N,2,2,2,2,140,150
01-01301,21,1,6,1,1,N,N,3,0,2731.2,8680,14,7,10000.0,2,N,N,2,2,2,2,51,0
01-01301,18,1,6,0,2,1,2,1,2,2731.2,N,N,4,0.0,0,66,N,2,2,2,2,311,451
01-01301,81,2,3,0,2,0,2,1,1,2731.2,9160,15,5,5000.0,1,393,N,2,2,2,2,269,249
01-01301,21,1,6,0,2,0,N,1,1,2731.2,4971,6,8,600.0,1,6,N,2,2,2,2,229,229
01-01301,37,2,1,0,2,0,4,1,1,2731.2,8470,13,8,15000.0,4,219,N,2,2,2,2,100,87
01-01301,59,2,4,0,1,0,N,1,2,2731.2,6991,9,7,34800.0,6,213,N,2,2,2,2,59,59
01-01301,54,1,1,0,2,3,5,1,2,2731.2,590,2,7,46200.0,7,108,N,2,2,2,2,211,167
01-01301,40,2,6,0,2,0,N,1,2,2731.2,8680,14,6,15000.0,3,113,N,2,2,2,2,46,45
01-01301,18,2,6,0,1,N,N,3,0,2731.2,N,N,7,0.0,0,N,N,2,2,2,2,74,0
01-01301,54,1,4,0,2,0,2,1,1,2731.2,6170,7,7,25000.0,5,149,N,2,2,2,2,75,76
01-01301,50,1,1,0,2,0,2,1,2,2731.2,N,N,7,0.0,0,48,N,2,1,1,2,73,74
01-01301,74,2,5,0,1,0,N,1,1,2731.2,N,N,11,77000.0,8,501,N,2,2,2,2,109,109
01-01301,74,1,1,0,2,0,4,1,1,2731.2,N,N,10,_RARE_,9,415,N,2,2,2,2,79,75
01-01301,57,2,6,0,2,0,N,1,2,2731.2,7680,10,7,10500.0,3,78,N,2,1,2,2,123,122
01-01301,8,1,N,0,2,4,6,1,1,2731.2,N,N,3,N,N,108,N,2,2,2,2,259,249
01-01301,51,2,6,0,2,0,5,1,2,2731.2,4971,6,9,7600.0,2,115,N,2,2,2,2,128,74
01-01301,67,1,6,0,2,0,2,1,2,2731.2,3291,4,5,30500.0,6,501,N,2,2,2,2,47,40
01-01301,44,1,6,0,2,0,2,1,2,2731.2,1180,4,5,0.0,0,113,N,2,2,2,2,169,79
01-01301,9,2,N,0,2,4,6,1,2,2731.2,N,N,3,N,N,3,N,2,2,2,2,108,62
01-01301,25,1,6,0,1,N,N,3,0,2731.2,N,N,7,0.0,0,N,N,2,2,2,2,53,0
01-01301,52,1,6,0,1,0,N,1,1,2731.2,5070,6,7,7000.0,2,53,N,2,2,2,2,67,44
01-01301,63,2,6,0,2,0,N,1,2,2731.2,8370,13,5,4800.0,1,54,N,2,2,2,2,42,42
01-01301,51,1,1,0,2,0,4,1,1,2731.2,770,3,8,36000.0,6,253,N,2,2,2,2,261,205
01-01301,82,2,4,0,2,0,2,1,2,2731.2,N,N,5,_RARE_,4,408,N,2,2,2,2,192,192
01-01301,82,2,1,0,2,0,2,1,1,2731.2,N,N,5,12000.0,3,155,N,2,1,2,2,65,66
01-01301,55,1,3,0,2,0,3,1,1,2731.2,N,N,3,12900.0,3,129,N,1,1,2,2,106,120
01-01301,41,2,6,0,2,0,3,1,1,2731.2,9370,16,8,27600.0,5,236,N,2,2,2,2,137,102
01-01301,3,2,N,0,2,4,5,1,2,2731.2,N,N,1,N,N,108,N,N,N,2,2,130,96
01-01301,21,2,6,2,1,0,N,1,2,2731.2,N,N,7,8300.0,2,76,N,2,2,2,2,57,59
01-01301,64,2,3,0,2,0,N,1,1,2731.2,N,N,7,13000.0,3,98,N,2,2,2,2,89,89
01-01301,8,1,N,0,2,2,3,1,1,2731.2,N,N,3,N,N,138,N,2,2,2,2,219,235
01-01301,68,2,1,0,2,0,2,1,1,2731.2,N,N,9,60800.0,8,415,2,2,2,2,2,62,61
01-01301,43,2,6,0,1,0,N,1,2,2731.2,8180,12,10,38000.0,6,271,N,2,2,2,2,143,143
01-01301,66,1,5,0,2,0,4,1,1,2731.2,9160,15,7,20000.0,4,139,N,2,2,2,2,58,38
01-01301,53,2,6,0,2,2,3,1,2,2731.2,7580,10,7,4000.0,2,36,N,2,2,2,2,67,68
01-01301,65,1,1,0,2,0,2,1,1,2731.2,6991,9,7,68000.0,8,427,N,1,2,1,2,111,111
01-01301,92,1,4,0,2,0,N,1,1,2731.2,N,N,5,14400.0,3,141,N,2,2,2,2,41,48
01-01301,61,1,1,0,2,0,2,1,1,2731.2,7680,10,7,104000.0,9,501,N,2,2,2,2,75,74
01-01301,17,1,6,0,1,0,3,1,1,2731.2,7890,11,5,1600.0,1,92,N,2,2,2,2,38,46
01-01301,45,1,1,0,1,0,3,1,1,2731.2,770,3,4,70000.0,8,440,N,2,2,2,2,142,137
01-01301,5,2,N,0,2,3,5,1,2,2731.2,N,N,2,N,N,197,N,2,2,2,2,71,66
01-01301,36,1,1,0,2,4,6,1,1,2731.2,4470,5,7,41800.0,7,238,N,2,2,2,2,415,335
01-01301,60,2,3,0,2,0,N,1,2,2731.2,9570,16,7,1000.0,1,7,1,2,2,2,2,70,72
01-01301,72,2,6,0,2,0,N,1,2,2731.2,N,N,10,37800.0,6,301,N,2,2,2,1,138,138
01-01301,61,1,2,0,2,0,N,1,2,2731.2,7072,9,10,35000.0,6,302,N,2,2,2,2,58,58
01-01301,50,1,5,0,2,0,N,1,1,2731.2,3291,4,5,23000.0,4,151,N,1,2,2,2,31,30
01-01301,72,2,1,0,2,0,2,1,1,2731.2,7860,11,5,10100.0,2,115,N,2,2,2,2,93,95
01-01301,24,2,6,0,1,0,N,1,2,2731.2,3570,4,5,10000.0,2,68,N,2,2,2,2,91,61
01-01301,45,2,4,0,2,1,N,1,2,2731.2,8980,15,5,23900.0,4,244,N,2,2,2,2,176,196
01-01301,63,2,1,0,2,0,2,1,1,2731.2,7870,11,12,11400.0,3,206,N,2,2,2,2,105,115
01-01301,26,1,6,0,2,0,N,1,2,2731.2,8370,13,9,35000.0,6,266,N,2,2,2,2,117,117
01-01301,69,2,1,0,1,0,3,1,1,2731.2,N,N,10,27500.0,5,501,N,2,2,2,2,45,47
01-01301,30,1,6,0,2,1,3,1,2,2731.2,3180,4,5,16300.0,4,143,N,2,2,2,2,159,159
01-01301,63,2,5,0,2,N,N,3,0,2731.2,N,N,5,7500.0,2,69,N,2,1,2,2,47,0
01-01301,28,1,6,0,2,0,N,1,2,2731.2,4195,5,6,12900.0,3,106,N,2,2,2,2,301,203
01-01301,38,1,2,0,1,N,N,3,0,2731.2,N,N,7,0.0,0,N,N,2,2,2,2,107,0
01-01301,6,1,N,0,2,5,6,1,2,2731.2,N,N,2,N,N,266,N,2,2,2,2,85,42
01-01301,66,2,3,0,2,0,3,1,1,2731.2,N,N,7,12100.0,3,46,N,2,1,2,2,60,71
01-01301,21,2,2,0,2,0,2,1,1,2731.2,7860,11,5,0.0,0,0,N,2,2,2,2,280,271
01-01301,22,2,6,0,1,0,2,1,1,2731.2,8470,13,7,4200.0,2,207,N,2,2,2,2,71,54
01-01301,51,1,1,0,2,0,2,1,2,2731.2,4090,5,7,100000.0,9,501,N,2,2,2,2,111,111
01-01301,12,2,N,0,2,3,4,1,2,2731.2,N,N,3,N,N,197,N,2,2,2,2,60,63
01-01301,12,1,N,0,2,0,3,1,2,2731.2,N,N,3,N,N,25,N,2,2,2,2,234,145
01-01301,81,2,1,0,2,0,2,1,1,2731.2,N,N,5,26400.0,5,213,N,2,2,2,2,52,53
01-01301,11,1,N,1,8,1,4,1,1,2731.2,N,N,3,N,N,174,N,2,2,2,2,118,87
01-01301,35,2,6,2,1,1,4,1,2,2731.2,2370,4,9,41000.0,6,374,N,2,2,2,2,313,213
01-01301,48,2,6,0,2,0,N,1,2,2731.2,8680,14,9,37000.0,6,252,N,2,2,2,2,34,36
01-01301,4,2,N,0,2,4,6,1,1,2731.2,N,N,1,N,N,86,N,N,N,2,2,218,205
01-01301,66,1,3,0,2,0,N,1,2,2731.2,N,N,5,7500.0,2,64,N,2,2,2,2,145,145
01-01301,46,2,1,0,2,0,2,1,2,2731.2,N,N,5,9300.0,2,49,N,1,2,2,2,305,115
01-01301,29,1,6,0,2,0,N,1,2,2731.2,N,N,10,9300.0,2,70,N,1,2,2,2,204,205
01-01301,21,2,6,0,2,N,N,3,0,2731.2,N,N,5,380.0,1,N,N,2,2,2,2,7,0
01-01301,67,2,3,0,2,0,4,1,1,2731.2,8090,12,5,89000.0,9,501,N,2,1,2,2,56,57
01-01301,11,2,N,0,2,3,5,1,2,2731.2,N,N,3,N,N,87,N,2,2,2,2,134,129
01-01301,18,2,6,0,2,0,4,1,1,2731.2,8470,13,7,0.0,0,171,N,2,2,2,2,173,137
01-01301,52,2,4,0,2,0,N,1,2,2731.2,770,3,7,24000.0,5,172,N,2,2,2,2,252,222
01-01301,32,1,6,0,2,0,N,1,2,2731.2,8180,12,5,60000.0,8,415,N,2,2,2,2,94,94
01-01301,49,2,4,4,1,0,3,1,1,2731.2,7690,10,7,35000.0,6,342,N,2,2,2,2,47,257
01-01301,78,1,5,0,2,0,N,1,1,2731.2,N,N,5,35400.0,6,313,2,2,1,2,2,56,55
01-01301,70,1,5,0,2,0,3,1,1,2731.2,N,N,9,15700.0,4,316,4,2,2,2,2,178,129
01-01301,80,2,3,0,2,0,3,1,2,2731.2,N,N,7,19200.0,4,141,N,1,1,2,2,76,72
01-01301,52,2,5,0,2,0,N,1,1,2731.2,8191,12,7,_RARE_,5,132,N,2,2,2,2,32,32
01-01301,56,1,6,0,2,0,2,1,1,2731.2,N,N,7,22600.0,5,73,N,2,2,2,2,287,287
01-01301,88,2,3,0,2,0,N,1,1,2731.2,N,N,8,18900.0,4,153,N,2,2,2,2,28,27
01-01301,46,2,4,0,1,0,2,1,1,2731.2,2590,4,6,13000.0,3,281,N,1,2,2,2,58,59
01-01301,46,2,6,1,1,0,4,1,1,2731.2,N,N,5,0.0,0,202,N,2,2,2,2,206,200
01-01301,49,1,5,0,1,0,2,1,1,2731.2,9160,15,7,38000.0,6,377,N,2,2,2,2,93,92
01-01301,67,1,1,0,2,0,2,1,1,2731.2,8270,12,5,20000.0,4,232,4,2,1,2,2,143,133
01-01301,69,2,2,0,1,0,N,1,1,2731.2,N,N,8,34700.0,6,216,N,2,2,2,2,54,54
