,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP_x,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP_x,NOC_x,NPF_x,OWN_RENT_x,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA_x,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HISP_y,HOUSING_TYPE_y,INDP_y,MSP_y,NOC_y,NPF_y,OWN_RENT_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PUMA_y,PWGTP_y,WGTP_y,percent_match
0,20,2,8,2,2,2,N,10,0,2,6680,8,6,N,N,0,21844.892208503818,4,N,29-01901,0,9,1,0,30,2,10,2,2,2,N,0,1,6670,6,0,N,2,100000.0,8,501,51-01301,86,51,42.10526315789473
1,33,2,9,2,2,2,N,4,0,1,6180,7,6,2,5,2,51569.67766344661,7,262,32-00405,51,9,2,51,67,2,7,2,2,2,N,0,1,6390,6,0,N,1,16000.0,3,131,13-04600,23,22,42.10526315789473
2,60,2,0,2,2,2,N,4,0,1,2670,4,3,0,N,1,28443.056053035867,4,154,38-00100,3,3,2,3,43,2,9,2,2,2,N,1,1,3390,1,3,6,1,27000.0,4,201,32-00405,140,151,42.10526315789473
3,75,2,8,2,1,2,N,10,0,1,9680,17,3,0,N,1,106220.05605090651,8,501,24-01004,111,6,1,111,39,2,8,2,2,2,N,0,1,9690,4,0,N,1,100000.0,8,501,24-01004,79,66,63.1578947368421
4,41,2,7,2,2,2,N,1,0,1,9370,16,2,0,2,1,51187.136321771955,7,371,19-01700,185,1,1,185,63,1,8,2,2,2,N,0,1,9590,1,0,3,1,68000.0,7,501,24-01004,70,70,47.368421052631575
5,64,2,13,2,2,2,N,6,0,1,570,2,1,0,2,1,47350.36866157935,6,501,36-04010,55,2,2,55,39,2,8,2,2,2,N,0,1,570,6,2,3,2,147000.0,9,501,29-01901,97,97,47.368421052631575
6,54,1,0,2,2,2,N,5,0,1,770,3,1,0,6,1,38645.01088546509,6,182,40-00200,57,5,1,57,48,2,12,2,2,2,N,1,1,770,1,3,5,2,35000.0,5,291,06-07502,160,161,36.84210526315789
7,8,2,0,2,2,2,N,2,0,1,N,N,N,0,5,1,N,N,230,40-00200,50,5,2,50,6,2,0,2,2,2,N,0,1,N,N,0,3,2,N,N,255,38-00100,26,50,73.68421052631578
8,33,2,7,2,2,2,N,10,0,1,8680,14,1,0,2,1,107287.92920989156,8,501,08-00803,150,3,2,150,34,2,0,2,2,2,N,0,1,8680,2,0,N,2,11300.0,2,85,38-00100,189,190,47.368421052631575
9,61,2,9,2,2,2,N,9,4,1,6290,7,2,1,8,2,77694.66153088528,8,86,32-00405,20,8,1,20,52,2,11,2,2,2,N,0,1,6190,6,0,N,1,1500.0,1,11,17-03529,39,39,31.57894736842105
10,33,2,8,2,2,2,N,1,0,2,9170,15,2,N,N,0,83928.28809184214,8,0,26-02702,94,1,1,0,40,2,0,2,2,2,N,0,1,8770,6,1,2,1,85000.0,8,501,38-00100,163,137,36.84210526315789
