,DENSITY,count_target,count_deidentified
0,7,7400.0,0.0
1,0,5526.0,0.0
2,8,4526.0,0.0
3,10,3694.0,0.0
4,13,2117.0,0.0
5,11,1574.0,0.0
6,9,1365.0,0.0
7,12,1051.0,0.0
8,31466,0.0,1.0
9,31459,0.0,1.0
10,31463,0.0,1.0
11,31465,0.0,2.0
12,31478,0.0,1.0
13,31469,0.0,1.0
14,31477,0.0,1.0
15,31455,0.0,1.0
16,31483,0.0,1.0
17,31456,0.0,1.0
18,31438,0.0,1.0
19,31450,0.0,1.0
20,31444,0.0,2.0
21,31441,0.0,1.0
22,31485,0.0,1.0
23,31436,0.0,1.0
24,31430,0.0,1.0
25,31428,0.0,1.0
26,31424,0.0,1.0
27,31419,0.0,1.0
28,31484,0.0,1.0
29,31499,0.0,1.0
30,31488,0.0,1.0
31,31519,0.0,1.0
32,31547,0.0,2.0
33,31545,0.0,1.0
34,31542,0.0,1.0
35,31537,0.0,1.0
36,31536,0.0,2.0
37,31532,0.0,1.0
38,31528,0.0,1.0
39,31521,0.0,1.0
40,31518,0.0,1.0
41,31490,0.0,1.0
42,31510,0.0,1.0
43,31509,0.0,2.0
44,31508,0.0,1.0
45,31506,0.0,1.0
46,31502,0.0,1.0
47,31501,0.0,2.0
48,31415,0.0,1.0
49,31496,0.0,1.0
50,31416,0.0,1.0
51,31397,0.0,1.0
52,31411,0.0,1.0
53,31408,0.0,1.0
54,31334,0.0,1.0
55,31332,0.0,1.0
56,31330,0.0,1.0
57,31329,0.0,1.0
58,31328,0.0,1.0
59,31318,0.0,1.0
60,31317,0.0,1.0
61,31312,0.0,1.0
62,31309,0.0,1.0
63,31303,0.0,1.0
64,31290,0.0,1.0
65,31289,0.0,2.0
66,31282,0.0,1.0
67,31277,0.0,1.0
68,31267,0.0,1.0
69,31266,0.0,1.0
70,31264,0.0,1.0
71,31262,0.0,1.0
72,31261,0.0,1.0
73,31337,0.0,1.0
74,31339,0.0,1.0
75,31342,0.0,1.0
76,31379,0.0,1.0
77,31407,0.0,1.0
78,31565,0.0,2.0
79,31391,0.0,1.0
80,31389,0.0,1.0
81,31388,0.0,1.0
82,31387,0.0,1.0
83,31385,0.0,1.0
84,31383,0.0,2.0
85,31372,0.0,2.0
86,31344,0.0,1.0
87,31367,0.0,2.0
88,31366,0.0,2.0
89,31364,0.0,1.0
90,31362,0.0,2.0
91,31361,0.0,1.0
92,31349,0.0,1.0
93,31348,0.0,1.0
94,31346,0.0,1.0
95,31554,0.0,2.0
96,31574,0.0,1.0
97,31566,0.0,2.0
98,31571,0.0,1.0
99,31798,0.0,1.0
100,31794,0.0,1.0
101,31790,0.0,1.0
102,31787,0.0,1.0
103,31779,0.0,1.0
104,31777,0.0,1.0
105,31773,0.0,1.0
106,31771,0.0,1.0
107,31757,0.0,1.0
108,31746,0.0,2.0
109,31742,0.0,2.0
110,31740,0.0,1.0
111,31735,0.0,1.0
112,31733,0.0,1.0
113,31727,0.0,1.0
114,31725,0.0,1.0
115,31721,0.0,1.0
116,31720,0.0,1.0
117,31719,0.0,1.0
118,31800,0.0,1.0
119,31804,0.0,1.0
120,31806,0.0,2.0
121,31851,0.0,1.0
122,31878,0.0,3.0
123,31874,0.0,1.0
124,31873,0.0,1.0
125,31867,0.0,2.0
126,31866,0.0,1.0
127,31862,0.0,1.0
128,31861,0.0,1.0
129,31860,0.0,1.0
130,31850,0.0,1.0
131,31815,0.0,1.0
132,31845,0.0,1.0
133,31841,0.0,1.0
134,31838,0.0,2.0
135,31835,0.0,1.0
136,31829,0.0,1.0
137,31824,0.0,1.0
138,31823,0.0,1.0
139,31818,0.0,1.0
140,31717,0.0,1.0
141,31715,0.0,2.0
142,31714,0.0,1.0
143,31608,0.0,1.0
144,31634,0.0,1.0
145,31629,0.0,1.0
146,31625,0.0,1.0
147,31624,0.0,1.0
148,31616,0.0,1.0
149,31615,0.0,1.0
150,31613,0.0,1.0
151,31612,0.0,1.0
152,31607,0.0,1.0
153,31637,0.0,1.0
154,31596,0.0,1.0
155,31588,0.0,1.0
156,31584,0.0,1.0
157,31582,0.0,1.0
158,31580,0.0,1.0
159,31579,0.0,1.0
160,31240,0.0,1.0
161,31573,0.0,1.0
162,31636,0.0,1.0
163,31646,0.0,1.0
164,31712,0.0,1.0
165,31683,0.0,1.0
166,31711,0.0,2.0
167,31706,0.0,1.0
168,31703,0.0,1.0
169,31702,0.0,1.0
170,31699,0.0,2.0
171,31698,0.0,1.0
172,31696,0.0,1.0
173,31687,0.0,1.0
174,31680,0.0,1.0
175,31648,0.0,1.0
176,31679,0.0,1.0
177,31678,0.0,3.0
178,31674,0.0,1.0
179,31669,0.0,1.0
180,31666,0.0,1.0
181,31662,0.0,1.0
182,31654,0.0,1.0
183,31653,0.0,1.0
184,31243,0.0,1.0
185,31221,0.0,1.0
186,31239,0.0,1.0
187,30838,0.0,1.0
188,30749,0.0,1.0
189,30746,0.0,1.0
190,30745,0.0,1.0
191,30741,0.0,1.0
192,30724,0.0,1.0
193,30710,0.0,1.0
194,30709,0.0,1.0
195,30708,0.0,1.0
196,30707,0.0,1.0
197,30706,0.0,1.0
198,30702,0.0,1.0
199,30693,0.0,1.0
200,30692,0.0,1.0
201,30689,0.0,1.0
202,30686,0.0,1.0
203,30681,0.0,1.0
204,30668,0.0,1.0
205,30667,0.0,1.0
206,30666,0.0,1.0
207,30750,0.0,1.0
208,30754,0.0,1.0
