,INDP,count_target,count_deidentified
3,1070,4,0.0
38,1080,1,0.0
45,1090,1,0.0
31,1170,1,0.0
5,1180,12,0.0
46,1190,1,0.0
18,1270,5,0.0
9,1280,10,0.0
37,1290,1,0.0
27,1370,5,0.0
28,1590,1,0.0
13,1691,3,0.0
33,1790,2,0.0
44,1870,1,0.0
40,1880,1,0.0
22,1990,9,0.0
7,2090,2,0.0
35,2170,1,0.0
32,2180,1,0.0
43,2190,6,0.0
42,2280,1,0.0
20,2290,4,0.0
12,2370,8,0.0
23,2380,5,0.0
19,2390,3,0.0
26,2490,1,0.0
21,2570,1,0.0
15,2590,1,0.0
10,2670,6,0.0
34,2680,1,0.0
1,2770,3,0.0
4,2870,4,0.0
6,2880,3,0.0
41,2890,2,0.0
49,2970,1,0.0
16,2980,1,0.0
24,3070,6,0.0
0,3291,12,0.0
51,3365,1,0.0
17,3370,2,0.0
48,3380,1,0.0
39,3470,1,0.0
30,3490,6,0.0
2,3570,17,0.0
14,3580,9,0.0
47,3680,4,0.0
50,3790,1,0.0
29,3875,3,0.0
25,3895,4,0.0
8,3960,5,0.0
36,3980,6,0.0
11,3990,6,0.0
