,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP_x,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP_x,NOC_x,NPF_x,OWN_RENT_x,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA_x,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HISP_y,HOUSING_TYPE_y,INDP_y,MSP_y,NOC_y,NPF_y,OWN_RENT_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PUMA_y,PWGTP_y,WGTP_y,percent_match
0,91,1,10,1,1,1,6,6,1,2,9586,1,3,1,3,2,-9000.0,4,118,38-00100,594,5,1,199,58,2,0,2,2,2,N,0,1,490,1,0,2,1,74000.0,8,501,38-00100,123,36,0.0
1,95,1,11,1,1,1,6,6,2,3,3835,10,4,9,3,0,293914.4823718108,1,419,36-03710,1592,8,2,545,64,2,13,2,2,2,N,4,1,7270,5,0,N,2,12000.0,3,90,36-03710,144,144,0.0
2,61,1,11,1,1,1,6,7,1,3,5836,11,5,9,3,0,1054407.8063045708,6,232,38-00100,391,5,2,127,73,2,0,2,2,2,N,0,1,7860,3,0,6,1,31050.0,4,242,38-00100,102,101,0.0
3,67,1,11,1,1,1,5,11,3,3,170,6,4,9,3,0,227539.10440676849,1,362,32-00405,1636,6,2,376,24,2,8,2,2,2,N,0,1,5070,6,0,2,2,0.0,0,75,29-01901,40,39,0.0
4,0,1,11,1,1,1,2,8,1,3,4920,14,4,4,4,0,29990.69025369776,3,374,51-51255,1277,3,1,213,21,2,8,2,2,2,N,0,1,8590,6,0,N,2,15000.0,3,114,26-02702,140,140,5.263157894736842
5,87,1,12,1,1,1,2,7,2,3,170,5,3,9,4,2,16800.682627840382,9,0,40-00200,841,9,1,569,25,2,0,2,2,2,N,0,1,4580,6,0,N,2,30000.0,6,228,40-00200,191,192,5.263157894736842
6,56,1,10,1,1,1,6,4,1,3,9920,11,4,9,3,0,106903.67210317162,2,327,51-51255,1096,6,1,176,16,2,12,2,2,2,N,0,1,7860,6,1,2,2,12900.0,3,247,06-07502,66,83,0.0
7,71,1,12,1,1,1,6,6,1,3,2274,14,4,9,3,0,518887.78442316415,3,16,51-01301,1201,3,2,277,20,2,0,2,2,2,N,0,1,8590,1,1,3,1,9500.0,2,155,40-00200,40,39,5.263157894736842
8,43,1,12,1,1,1,6,12,1,3,6317,7,4,9,2,2,-9000.0,1,311,36-03710,1636,6,2,282,32,2,11,2,2,2,N,0,1,6070,2,0,N,1,100000.0,8,501,17-03529,47,47,0.0
9,93,1,12,1,1,1,6,5,1,2,7447,9,2,9,3,0,167599.5828480837,2,401,40-00200,1,6,1,681,50,2,10,2,2,2,N,0,1,7072,1,1,4,2,39000.0,5,183,51-01301,342,342,0.0
