,DENSITY,DPHY,DREM,PINCP_DECILE,HISP,HOUSING_TYPE,DVET,EDU,MSP,PUMA,NPF,DEAR,RAC1P,SEX,INDP_CAT,DEYE,OWN_RENT,AGEP,NOC
DENSITY,0.0,-0.019368072107214612,-0.020811871761066345,-0.03016430476420973,-0.1642484239041352,-0.006607286117862463,,-0.07405166275774808,-0.11734081595738831,-0.07225697218115434,0.02200951113009552,-0.0476213508123573,-0.16808706836976878,-0.03113029444127803,-0.014473193907407575,,-0.140564812082291,0.04120578393812133,0.04602603979191537
DPHY,-0.019368072107214616,0.0,-0.6314593151241944,-0.2181753946689329,0.002016288325433922,0.03770980292363282,,-0.25125016678767326,-0.1656430248434957,0.01534861736464618,0.027026880735103904,-0.15076409686303657,0.04286406369091825,0.03877229640619377,-0.26779590937567377,,0.019380522740246403,-0.011494333233960216,0.029191066517767594
DREM,-0.020811871761066345,-0.6314593151241944,2.220446049250313e-16,-0.261941619324062,0.01668849041584648,0.07187428127382758,,-0.2714384501306697,-0.17724387034358832,0.004179655771865059,0.08257380226812386,-0.11376174156981936,0.039047635436217906,-0.020465436648344784,-0.23079263778114936,,-0.01099307946512167,-0.1681396065331255,0.08019737023873985
PINCP_DECILE,-0.03016430476420973,-0.2181753946689329,-0.261941619324062,0.0,0.08923804299827258,0.10990780545193544,,-0.4843040225996036,-0.23191346134182036,-0.06919273906364268,0.19170597637288364,0.021048471672086014,0.18210722472040516,0.13343164194718451,-0.34723235684753334,,-0.0707914302026055,-0.3235535359945478,0.19186692368090125
HISP,-0.1642484239041352,0.002016288325433922,0.016688490415846483,0.08923804299827258,2.220446049250313e-16,-0.0035370571362348946,,0.1316703719903192,-0.002543503307510613,-0.08472328042370768,-0.07684706989435185,-0.02456537833210867,-0.07190088889897407,-0.009833773531726592,0.003110301608800395,,-0.11915775234121737,0.08964874640874809,-0.06922493148613325
HOUSING_TYPE,-0.006607286117862463,0.03770980292363282,0.07187428127382758,0.10990780545193543,-0.0035370571362348946,-2.220446049250313e-16,,0.04162507853041229,-0.2450952995238393,0.062312674305674345,0.2899395542733839,0.021809702503598417,-0.0029429164012284015,0.05327106077512608,0.07507195253357524,,0.48360557703449353,0.059302594890525334,0.4471466357488884
DVET,,,,,,,,,,,,,,,,,,,
EDU,-0.07405166275774808,-0.25125016678767326,-0.2714384501306697,-0.4843040225996036,0.1316703719903192,0.04162507853041229,,-1.1102230246251565e-16,-0.17472659937220045,-0.0459280313481097,0.09504530494806318,-0.005537296582006014,0.11513032465721243,0.02000347745580087,-0.35404254215952147,,0.11258091328438667,-0.19266499844386645,0.22006204893545941
MSP,-0.11734081595738831,-0.1656430248434957,-0.17724387034358835,-0.23191346134182034,-0.002543503307510613,-0.2450952995238393,,-0.17472659937220048,-1.1102230246251565e-16,0.07234065588385294,0.476552726522688,0.00759312385149228,-0.039824876069245875,-0.025210165738134633,-0.23909665817744072,,-0.03845872938148739,-0.12260385628880102,0.4040817485396799
PUMA,-0.07225697218115434,0.01534861736464618,0.004179655771865059,-0.06919273906364269,-0.08472328042370768,0.06231267430567434,,-0.0459280313481097,0.07234065588385294,0.0,-0.09963478240076835,0.010008055634466374,-0.017469506803765106,-0.02094299472406692,0.0703263640871745,,-0.11529809920834203,0.03183938608357664,-0.0643688283707253
