,INDP,count_target,count_deidentified
5,1170,1,0.0
32,1180,6,0.0
40,1190,2,0.0
27,1270,1,0.0
29,1280,1,0.0
8,1370,3,0.0
17,1590,1,0.0
26,1880,1,0.0
47,1890,2,0.0
21,1990,5,0.0
20,2070,3,0.0
35,2090,3,0.0
36,2170,2,0.0
3,2190,2,0.0
34,2270,1,0.0
11,2290,13,0.0
1,2370,7,0.0
16,2390,2,0.0
42,2490,1,0.0
4,2570,2,0.0
39,2590,1,0.0
13,2670,9,0.0
31,2780,1,0.0
24,2790,2,0.0
14,2870,4,0.0
19,2880,5,0.0
25,2890,1,0.0
2,2980,3,0.0
38,3070,1,0.0
7,3080,7,0.0
12,3170,4,0.0
37,3180,3,0.0
10,3291,19,0.0
43,3365,1,0.0
33,3380,1,0.0
23,3390,2,0.0
44,3490,2,0.0
6,3570,14,0.0
15,3580,30,0.0
46,3670,1,0.0
41,3680,1,0.0
0,3790,3,0.0
30,3875,2,0.0
18,3895,2,0.0
28,3960,3,0.0
22,3970,1,0.0
45,3980,2,0.0
9,3990,5,0.0
