,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT
0,1,3,7,1,2,10,3,25-00503,17
1,1,6,8,2,1,4,1,25-01300,4
2,2,6,7,0,2,2,2,25-00703,17
3,2,2,6,0,9,4,0,25-02800,16
4,1,3,8,1,4,N,2,25-00703,1
5,2,N,3,0,5,N,3,25-01000,14
6,1,3,6,2,1,10,0,25-00703,16
7,1,2,6,1,2,1,0,25-00703,14
8,2,4,1,1,0,10,2,25-02800,17
9,2,6,2,1,4,5,3,25-00703,15
10,1,6,1,1,0,5,1,25-01000,18
11,1,N,3,2,2,12,3,25-00703,13
12,1,4,6,2,2,3,0,25-01300,N
13,2,1,1,2,6,12,2,25-00503,6
14,1,6,3,0,1,12,2,25-01000,7
15,2,3,7,0,1,12,2,25-00703,4
16,2,N,2,1,4,6,4,25-01300,2
17,1,1,8,2,N,8,4,25-01000,8
18,1,6,1,2,5,4,3,25-02800,1
19,1,N,2,2,2,6,0,25-01300,2
20,1,1,1,1,8,10,0,25-00503,2
21,2,2,9,1,N,7,3,25-01300,11
22,2,6,6,1,5,9,0,25-00503,9
23,1,2,3,1,1,10,0,25-01300,6
24,1,N,6,0,0,8,3,25-00703,15
25,2,4,7,2,1,6,3,25-01300,8
26,1,1,2,1,8,3,3,25-02800,3
27,2,N,1,1,8,8,2,25-01300,6
28,2,2,1,1,1,12,1,25-00503,4
29,2,1,2,0,8,2,2,25-02800,8
30,2,6,7,0,N,N,1,25-01300,N
31,1,3,6,2,5,N,2,25-02800,12
32,1,3,9,2,5,3,0,25-01000,2
33,1,3,9,0,0,5,4,25-01300,4
34,2,N,2,1,3,1,3,25-01000,4
35,2,5,6,1,8,N,1,25-00503,13
36,2,N,5,0,0,4,0,25-01000,13
37,2,4,7,0,8,1,0,25-00703,15
38,1,6,8,0,0,7,0,25-00703,5
39,2,1,6,1,1,8,2,25-00703,N
40,2,4,7,1,6,3,3,25-01000,1
41,2,N,2,1,4,9,2,25-00703,0
42,1,2,9,2,1,11,3,25-00703,N
43,2,1,7,1,8,2,4,25-00503,8
44,2,N,6,2,9,8,3,25-00503,1
45,2,3,1,0,N,4,3,25-02800,18
46,1,4,5,2,N,10,3,25-01300,8
47,2,6,5,2,4,6,0,25-00703,4
48,2,N,6,1,6,6,2,25-01000,17
49,1,6,7,1,6,10,3,25-01300,5
50,2,6,6,0,N,10,4,25-01300,10
51,2,1,6,1,8,11,4,25-02800,N
52,1,5,1,0,N,9,0,25-01000,9
53,1,4,9,1,5,4,4,25-00503,14
54,2,N,3,2,6,7,0,25-00703,4
55,2,3,9,2,3,5,2,25-00703,14
56,2,2,6,1,N,12,4,25-00503,14
57,2,6,8,0,3,9,3,25-00503,5
58,1,6,9,1,N,8,4,25-02800,8
59,2,3,7,1,4,2,3,25-01300,13
60,2,3,5,2,5,11,1,25-01000,5
61,1,6,2,0,7,6,4,25-01300,2
62,2,3,1,1,5,12,2,25-01300,10
63,2,2,1,0,5,1,1,25-00703,18
64,1,N,3,2,2,4,2,25-00703,3
65,1,6,1,1,6,3,0,25-01300,15
66,2,4,5,1,6,11,0,25-00503,15
67,2,N,8,2,N,4,2,25-01000,18
68,2,6,5,1,7,5,1,25-02800,11
69,2,5,6,2,0,5,3,25-02800,3
70,1,N,1,2,6,9,2,25-00503,N
