SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,DEYE
1,6,1,1,5,0,25-00703,79,0,N,N,2
2,6,1,2,1,0,25-00703,22,0,4,314,2
1,6,1,1,4,0,25-02800,77,4,7,271,2
2,6,1,2,0,0,25-01000,77,0,N,271,2
1,6,1,1,9,0,25-02800,58,0,2,460,2
1,6,1,1,6,4,25-01300,78,0,3,455,2
2,1,1,1,4,0,25-01000,38,2,4,264,2
2,1,1,1,3,0,25-02800,10,0,2,117,2
1,4,1,2,5,0,25-00703,39,1,4,73,2
2,5,1,1,2,0,25-01000,20,0,5,325,2
1,1,1,2,4,0,25-01300,41,0,3,382,2
2,1,1,2,2,0,25-00503,36,2,3,60,1
2,6,1,1,9,0,25-00703,45,0,2,478,2
2,5,1,1,4,0,25-00703,43,0,N,60,1
2,1,1,1,1,4,25-02800,69,0,5,68,2
2,4,1,1,6,0,25-00703,62,1,4,218,2
1,6,1,1,1,0,25-01300,81,2,N,140,2
2,1,1,1,2,0,25-02800,25,2,5,480,2
1,1,1,2,5,0,25-00503,37,4,6,41,2
2,1,6,2,7,0,25-01000,52,1,4,23,2
1,6,1,1,8,0,25-01300,16,2,2,501,2
1,4,1,1,3,0,25-02800,64,0,3,355,2
1,6,1,2,4,0,25-00703,64,0,4,465,2
2,6,1,1,7,0,25-02800,68,0,2,382,2
2,1,1,1,2,0,25-01300,70,0,2,298,2
1,6,6,0,9,0,25-00503,81,1,5,236,2
2,1,1,1,0,0,25-01300,22,0,2,109,2
2,3,1,1,5,0,25-01000,82,0,2,382,2
1,1,1,1,2,0,25-00503,84,2,3,501,2
2,N,1,1,4,0,25-01300,33,1,2,305,2
1,4,1,2,3,0,25-00703,24,0,4,414,2
2,6,1,1,5,0,25-02800,25,0,N,269,2
2,3,1,1,9,0,25-01300,58,0,2,443,2
2,6,1,1,7,0,25-01300,66,0,4,501,2
2,1,1,1,1,0,25-01300,49,0,2,193,2
2,1,1,2,2,0,25-00503,28,0,2,311,2
1,1,1,2,4,0,25-01300,23,0,3,465,2
2,1,1,1,1,0,25-00503,85,0,2,268,2
1,3,1,1,3,0,25-01300,62,1,2,460,2
2,6,1,1,6,0,25-00503,51,1,2,64,2
1,6,1,1,1,0,25-00503,26,0,3,334,2
2,1,2,1,2,0,25-00503,40,0,2,471,2
1,4,1,1,2,0,25-01300,7,2,2,118,2
1,4,1,2,1,0,25-00703,75,4,2,327,2
2,4,1,1,2,0,25-02800,32,2,3,365,2
2,N,8,2,9,0,25-00703,68,5,4,182,2
2,1,1,2,6,0,25-01000,58,1,N,352,2
1,1,1,1,6,0,25-00703,31,0,2,244,2
1,6,1,2,2,0,25-01000,32,0,2,7,2
2,4,1,2,7,0,25-00703,67,0,2,384,2
1,4,1,1,8,0,25-00503,52,0,N,227,2
1,5,1,1,5,3,25-00703,41,0,N,162,2
2,1,1,1,3,0,25-01300,31,1,3,500,2
2,1,1,1,0,2,25-02800,85,0,N,265,2
2,1,7,1,2,0,25-01000,86,0,2,152,2
1,4,9,1,2,0,25-01000,76,2,7,233,2
2,1,1,1,0,0,25-00703,46,0,2,331,2
2,5,6,1,4,0,25-01300,18,0,5,420,2
1,3,1,1,1,0,25-01300,68,0,2,467,2
2,1,1,1,0,0,25-00703,17,1,2,314,2
1,1,2,1,7,0,25-01000,48,0,3,481,2
1,6,1,1,0,0,25-02800,9,0,3,353,2
2,4,1,2,7,0,25-01000,49,0,N,399,2
1,6,1,1,1,0,25-01300,27,0,3,422,2
2,6,1,1,9,0,25-00703,63,0,9,361,2
2,6,1,1,7,0,25-02800,42,0,3,290,2
2,1,1,1,3,4,25-00703,70,0,3,324,2
2,6,1,1,1,0,25-01300,4,2,2,347,2
1,3,1,1,8,4,25-00703,37,0,2,20,2
1,1,1,1,4,0,25-01000,41,2,N,94,2
2,6,1,1,2,0,25-01000,66,0,4,199,2
2,6,1,2,3,0,25-00503,70,0,4,501,2
2,4,1,1,1,0,25-00703,52,0,3,228,2
1,1,1,1,7,1,25-02800,50,0,7,501,2
1,1,1,1,1,0,25-00503,85,1,3,324,2
2,6,1,2,5,0,25-00703,45,0,2,394,2
2,1,1,2,5,0,25-01000,36,2,6,192,2
