AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,PINCP_DECILE,EDU
63,1,4,1,1,1,N,7,7
58,1,6,2,1,1,N,5,5
54,6,N,2,1,1,N,8,9
50,6,1,2,1,2,N,1,10
17,1,1,1,1,1,N,0,1
64,1,4,2,1,1,N,8,5
43,3,1,1,3,1,N,4,9
36,1,1,2,1,2,N,8,7
72,1,5,2,1,1,N,2,7
43,1,1,1,1,2,N,6,9
21,1,1,2,1,1,N,6,7
31,8,1,2,1,2,N,9,11
64,1,1,1,1,1,2,3,10
55,1,6,1,1,1,N,4,8
45,1,1,1,1,1,N,2,4
72,6,1,2,1,1,N,8,5
49,1,6,1,1,2,N,7,9
53,1,6,2,1,1,N,7,9
7,1,3,2,1,1,N,7,9
21,1,6,1,1,1,N,3,3
55,1,1,2,1,1,N,0,9
27,1,4,1,1,1,2,1,5
30,6,1,1,1,1,N,2,8
55,1,6,1,1,2,N,8,7
44,1,1,2,1,1,N,6,7
72,1,4,1,1,1,N,2,4
67,1,1,1,2,2,N,8,9
45,6,5,2,1,2,N,3,5
28,1,6,1,1,2,N,7,9
60,1,6,1,1,2,N,3,3
85,1,6,2,1,2,N,1,8
85,9,3,1,1,1,N,9,9
39,1,6,1,1,1,N,8,10
18,1,6,2,1,2,N,9,5
64,1,1,1,1,1,N,7,10
32,3,1,2,1,1,N,6,5
65,9,1,2,1,1,N,8,9
43,1,1,2,1,1,N,2,10
47,6,4,1,1,2,N,6,6
54,1,1,1,1,2,N,3,5
53,1,6,2,1,2,N,6,9
14,1,6,2,1,1,N,1,9
17,1,6,2,1,1,N,6,7
61,1,1,1,1,1,N,4,10
57,1,1,1,1,1,N,9,10
69,1,6,1,1,1,N,9,5
19,1,4,2,1,1,N,7,9
76,1,N,2,1,1,N,7,1
78,1,N,1,1,1,N,9,5
42,1,6,2,1,1,N,7,5
35,1,3,1,1,2,N,0,9
71,1,2,2,1,2,N,4,4
79,1,2,1,1,1,N,4,10
18,1,1,2,1,1,N,8,5
42,1,3,2,1,1,N,7,9
82,1,6,1,1,1,N,4,10
37,2,6,2,1,1,N,5,5
50,1,1,2,1,1,N,9,9
56,1,4,1,1,1,N,6,9
44,8,1,1,1,1,N,8,8
50,1,1,2,1,1,N,9,7
78,1,6,2,1,1,N,2,7
0,1,6,1,1,2,N,6,4
75,1,3,2,1,1,N,6,7
45,1,1,1,1,1,N,7,7
49,1,1,2,1,1,1,4,9
47,1,1,2,1,1,N,9,9
80,1,6,1,1,1,N,6,8
73,1,1,2,1,1,N,9,7
51,1,6,2,1,1,N,6,3
28,1,1,1,1,1,N,5,4
19,1,6,2,1,1,N,8,11
55,1,3,2,1,1,N,5,9
89,1,5,1,1,1,N,1,8
53,1,6,2,1,1,N,6,5
60,6,4,2,1,1,N,3,9
50,1,1,1,1,1,N,6,5
66,1,6,2,1,2,N,1,6
44,1,1,2,1,1,N,7,10
53,1,1,1,1,1,N,5,4
38,8,6,2,1,1,N,8,5
49,1,6,1,1,1,6,2,7
22,1,3,1,1,1,N,2,10
30,1,1,1,1,1,N,4,4
60,1,1,2,1,1,N,4,8
58,1,1,1,1,1,N,5,7
83,6,1,2,1,1,N,4,9
1,1,1,2,1,1,N,3,10
75,1,2,1,1,1,N,2,7
69,1,4,1,1,1,N,1,5
52,6,1,2,1,1,N,7,5
27,1,1,2,1,1,N,5,10
56,1,1,1,1,1,N,7,9
28,2,6,1,1,1,N,6,3
66,1,6,2,2,2,N,3,3
49,1,1,2,1,1,N,N,7
61,1,6,2,1,1,N,6,4
50,1,6,1,1,1,N,5,5
35,1,2,2,1,1,N,6,1
39,1,1,2,1,1,N,7,9
3,1,1,1,1,1,N,7,9
71,1,1,1,1,1,N,6,10
76,1,N,2,1,2,N,8,12
55,1,1,2,1,2,N,1,10
46,1,1,1,1,2,5,5,3
14,1,3,1,1,1,N,9,5
28,1,1,2,1,2,N,4,9
54,1,3,2,1,1,N,5,9
28,1,1,2,1,2,N,3,4
57,8,3,1,1,1,N,9,4
75,1,N,2,1,1,N,9,8
22,1,1,2,1,1,N,4,5
17,1,1,1,1,1,N,0,6
87,1,1,1,1,1,N,0,5
20,1,1,1,1,2,N,2,9
54,6,1,1,1,2,N,6,3
53,1,3,2,1,1,N,1,10
50,1,6,2,1,1,N,3,5
68,1,1,2,3,1,N,7,9
64,1,1,1,1,1,N,2,7
40,1,6,2,1,1,N,6,10
43,1,6,1,1,1,N,7,12
56,2,1,2,1,1,N,5,11
53,1,6,2,1,1,N,4,7
56,1,6,1,1,2,5,2,5
20,1,6,2,1,1,N,2,5
48,1,1,2,1,2,N,5,7
43,1,2,1,1,1,N,9,9
41,1,1,1,1,2,N,9,6
70,1,4,2,1,1,N,6,11
55,1,4,1,1,1,N,7,5
73,9,1,2,1,0,N,5,7
82,1,1,1,1,1,N,7,2
25,1,6,2,1,1,N,8,9
55,1,6,1,1,1,N,9,5
22,1,1,2,1,2,N,6,8
42,1,1,2,1,1,N,6,5
51,1,6,2,1,1,N,7,5
91,1,6,2,1,1,N,5,9
63,1,1,1,1,1,N,6,5
49,1,2,2,1,2,N,4,9
58,1,1,1,1,1,N,8,10
48,1,6,1,1,1,N,8,7
19,1,6,2,1,1,N,2,9
69,2,1,1,1,1,N,8,5
63,1,1,2,1,1,N,2,8
22,9,N,1,1,2,6,9,10
77,9,1,2,1,2,N,7,5
78,1,6,2,1,1,N,3,8
65,1,1,2,1,1,N,4,9
72,1,1,2,1,1,N,7,7
19,1,2,2,1,1,N,5,7
61,1,4,2,1,1,N,7,10
40,1,1,2,1,1,N,2,10
54,1,1,2,1,2,N,1,7
53,1,2,2,1,1,N,6,9
61,1,1,1,1,2,N,2,9
52,6,1,2,1,1,N,5,7
70,9,4,2,1,1,N,7,8
45,1,6,2,1,1,N,0,7
62,6,1,2,1,2,N,5,7
65,1,6,2,1,1,N,8,9
65,1,4,1,1,1,N,3,9
44,1,1,1,1,2,N,4,9
19,1,4,2,1,1,N,7,5
87,1,1,2,1,1,N,4,10
56,1,6,2,1,1,N,3,7
17,1,4,1,1,1,N,5,5
27,2,1,2,1,2,N,2,7
65,1,1,1,1,1,N,7,7
53,6,4,2,1,1,N,7,9
44,1,6,1,1,2,N,8,7
44,1,1,1,1,1,N,0,9
32,5,4,2,1,1,N,8,7
65,1,6,2,2,1,N,N,8
15,1,1,1,1,1,N,1,12
15,1,1,1,1,2,N,9,5
64,1,1,1,1,1,N,9,5
89,1,6,2,1,2,N,5,5
17,1,4,1,1,2,1,6,7
38,1,6,2,1,0,2,5,2
94,1,1,2,1,1,N,7,5
50,9,6,1,1,1,N,2,9
43,1,6,2,1,2,N,6,5
29,1,3,1,1,1,N,1,9
70,1,1,2,1,2,N,2,4
52,1,3,1,1,2,N,6,8
54,1,1,1,1,1,N,2,7
56,1,1,1,1,1,N,7,9
60,1,1,1,1,0,N,6,7
44,1,1,2,1,2,N,8,9
72,1,6,2,1,1,N,6,9
72,1,1,2,1,1,N,8,9
79,1,4,1,1,1,N,8,7
47,1,1,2,1,1,N,7,9
77,6,1,1,1,1,N,6,10
46,1,1,1,1,2,N,8,9
33,1,1,1,1,1,N,1,5
68,1,N,2,1,1,N,7,10
79,1,1,2,1,1,N,5,4
46,6,1,2,1,1,N,2,9
70,1,6,1,1,1,6,1,8
31,6,1,2,1,1,N,1,9
47,1,1,1,1,1,N,1,5
56,1,1,1,1,2,N,5,5
54,3,1,1,1,1,N,7,9
22,1,6,1,1,2,N,2,1
24,1,6,1,1,1,N,7,10
28,1,1,1,1,1,N,9,5
2,1,6,1,1,1,N,9,9
74,1,6,2,1,2,6,5,5
67,1,6,2,1,1,N,2,9
87,1,1,2,1,1,N,6,9
19,6,6,2,1,1,N,8,5
15,6,1,2,1,1,N,2,9
24,1,1,1,1,1,N,5,8
24,5,6,2,1,1,N,6,12
19,1,6,2,1,2,N,7,9
58,1,1,1,1,1,N,3,5
28,1,1,2,1,1,N,6,4
19,1,6,1,1,2,N,8,5
58,1,1,2,1,2,N,6,8
67,1,6,1,1,1,N,4,4
76,1,3,1,1,1,N,4,9
39,6,6,2,1,1,N,3,7
74,1,1,2,1,1,N,0,10
64,1,4,2,1,2,N,8,9
29,1,1,2,1,1,N,5,9
85,1,4,2,1,1,N,N,5
47,1,4,2,1,1,N,7,9
36,1,3,1,1,1,N,6,9
55,1,6,1,1,1,N,4,10
37,6,6,1,1,1,N,8,5
14,1,1,1,1,1,N,4,3
37,1,N,1,1,1,N,0,10
44,1,1,2,1,1,N,9,9
36,1,2,1,1,2,N,6,8
29,1,6,1,1,2,N,5,7
58,1,4,2,1,1,N,5,10
69,1,6,2,1,1,N,6,9
70,1,1,1,1,1,N,7,10
50,1,2,2,1,2,N,7,5
17,1,4,2,1,1,N,5,9
85,1,6,1,1,1,N,6,7
62,1,1,2,1,1,N,9,7
58,1,1,2,1,0,N,8,3
60,1,1,1,1,1,N,8,10
