,AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE,PINCP_DECILE,EDU
0,62,1,1,2,1,2,N,2,2,9
1,52,1,6,1,1,1,N,2,4,10
2,55,1,1,2,1,1,N,2,6,12
3,77,6,1,2,1,1,N,2,3,10
4,36,1,1,1,1,2,N,2,5,5
5,35,1,4,1,1,2,N,2,6,11
6,56,1,1,1,1,2,N,2,8,5
7,40,1,4,2,1,1,N,2,8,10
8,67,1,1,1,1,1,N,2,6,10
9,37,1,1,2,1,1,N,2,5,9
10,77,1,6,1,1,2,N,2,8,7
11,79,1,1,1,1,1,N,2,5,9
12,61,1,1,1,1,1,N,2,4,5
13,36,1,1,1,1,1,N,2,0,10
14,37,1,1,1,1,1,3,2,1,5
15,34,1,6,2,1,2,N,2,7,9
16,64,1,1,1,1,1,N,2,6,4
17,50,1,1,1,1,1,N,2,8,12
18,36,8,1,2,1,2,N,2,5,6
19,76,1,1,2,1,1,N,2,2,8
20,62,1,1,1,1,1,N,2,3,9
21,45,1,4,2,1,1,N,2,1,7
22,54,1,1,2,1,1,N,2,4,12
23,50,1,6,2,1,1,N,2,3,9
24,78,1,1,1,1,2,N,2,8,7
25,54,1,5,2,1,1,N,2,0,10
26,23,1,3,1,1,1,N,2,9,9
27,56,1,1,1,1,1,N,2,8,7
28,57,1,4,1,1,1,5,2,7,7
29,56,1,1,1,1,1,N,2,5,9
30,33,1,4,2,1,1,N,2,2,10
31,64,1,1,2,1,1,N,2,9,5
32,11,1,1,2,1,1,N,2,0,7
33,84,1,1,2,1,1,N,2,8,5
34,69,1,6,2,1,1,N,2,7,6
35,53,1,1,1,1,1,N,2,4,8
36,76,1,1,2,1,2,3,2,3,9
37,31,2,1,1,1,1,N,2,0,10
38,70,1,6,1,1,1,N,2,6,7
39,52,1,1,1,1,1,N,2,6,10
40,58,1,2,2,1,1,N,2,7,5
41,78,1,1,2,1,2,N,2,3,8
42,37,1,6,1,1,1,N,2,2,7
43,44,1,4,1,1,1,N,2,2,6
44,70,1,6,1,1,1,N,2,3,10
45,75,1,4,2,1,2,N,2,4,9
46,94,1,6,2,1,2,N,2,4,7
47,13,6,1,1,1,1,N,2,4,5
48,83,1,6,1,1,1,N,2,6,9
49,66,1,1,1,1,2,N,2,7,5
50,62,1,1,2,1,1,N,2,8,9
51,84,6,1,2,1,2,N,2,3,9
52,15,1,1,2,1,1,N,2,8,10
53,50,1,1,2,1,1,N,2,6,7
54,68,1,1,1,1,2,N,2,1,7
55,32,6,6,1,1,2,N,2,4,7
56,44,6,4,2,1,2,N,2,7,4
57,74,9,6,2,1,2,N,2,0,10
58,66,1,1,2,1,2,N,2,8,8
59,94,1,1,1,1,1,N,2,3,8
60,55,1,4,2,1,1,N,2,0,10
61,68,1,1,2,1,1,N,2,6,5
62,48,6,2,2,1,1,N,2,0,8
63,62,1,6,2,1,1,N,2,8,9
64,59,1,6,1,1,1,N,2,6,12
65,28,6,5,1,1,1,N,2,7,9
66,46,1,1,1,1,1,N,2,3,10
67,47,1,1,1,1,1,N,2,4,5
68,62,1,1,1,1,1,N,2,4,8
69,62,1,1,1,1,2,N,2,6,5
70,60,1,1,2,1,1,N,2,6,10
71,45,1,1,1,1,1,N,2,6,1
72,46,1,6,1,1,1,N,2,8,10
73,36,1,1,1,1,1,N,2,9,10
74,62,1,1,1,1,1,N,2,4,4
75,62,1,1,1,1,1,N,2,8,9
76,53,1,1,1,1,1,N,2,3,5
77,56,6,6,1,1,1,N,2,1,10
78,68,1,1,2,1,1,N,2,3,5
79,47,1,6,1,1,2,N,2,5,9
80,66,1,1,1,1,1,N,2,8,7
81,68,1,1,2,1,1,N,2,5,9
82,70,1,1,2,1,1,N,2,0,5
83,41,1,6,2,1,2,N,2,8,7
84,67,1,1,2,1,1,N,2,6,9
85,31,1,1,2,1,2,N,2,8,9
86,9,1,6,2,1,1,N,2,7,7
87,62,1,6,2,1,2,N,2,3,8
88,66,1,1,2,1,2,N,2,3,11
89,58,1,4,1,1,1,N,2,5,5
90,67,1,1,1,1,1,N,2,0,4
91,58,1,1,2,1,1,N,2,5,7
92,60,1,1,2,1,1,N,2,0,7
93,67,1,1,2,1,1,N,2,1,10
94,39,1,1,1,1,1,N,2,6,5
95,62,2,1,1,1,1,N,2,6,3
96,60,8,4,2,1,2,N,2,7,5
97,59,8,4,2,1,2,N,2,3,5
98,23,1,1,2,1,2,N,2,3,9
99,50,6,1,2,1,1,N,2,5,6
100,66,1,6,2,1,1,N,2,6,8
101,10,1,6,1,1,2,N,2,8,9
102,70,1,1,2,1,1,N,2,1,10
103,83,1,6,1,1,2,N,2,8,8
104,50,1,1,2,1,2,N,2,4,5
105,55,1,1,2,1,1,N,2,9,1
106,57,1,1,2,1,2,N,2,7,7
107,78,1,1,1,1,1,N,2,1,7
108,47,1,1,1,1,2,N,2,2,3
109,57,1,6,2,1,1,N,2,8,10
110,64,1,4,2,1,1,N,2,7,9
111,83,1,1,2,1,1,N,2,9,9
112,6,1,6,2,1,2,N,2,5,10
113,65,6,1,1,1,1,N,2,5,10
114,73,1,1,2,1,1,N,2,7,5
115,65,1,1,1,1,2,N,2,4,9
116,79,1,1,1,1,1,N,2,1,8
117,61,1,1,1,1,2,N,2,4,4
118,46,1,4,2,1,2,N,2,4,7
119,60,6,4,2,1,1,N,2,0,7
120,13,1,1,1,1,2,N,2,8,10
121,38,1,1,1,1,1,N,2,1,9
122,4,1,1,1,1,2,N,2,4,5
123,48,1,1,2,1,1,N,2,3,9
124,23,1,6,2,1,1,N,2,4,10
125,53,6,1,2,1,1,N,2,7,8
126,65,1,1,2,1,1,N,2,0,5
127,78,1,1,2,1,1,N,2,3,10
128,72,6,1,1,1,2,N,2,4,9
129,40,1,6,2,1,1,N,2,1,11
130,73,1,1,2,1,1,N,2,4,9
131,50,1,1,1,1,1,N,2,8,8
132,57,1,1,2,1,2,N,2,3,10
133,65,1,1,2,1,1,N,2,4,10
134,53,2,3,1,1,2,N,2,4,9
135,38,1,1,1,1,1,N,2,1,10
136,35,6,4,1,1,2,N,2,6,5
137,71,1,1,1,1,1,N,2,7,5
138,29,1,1,2,1,1,N,2,0,7
139,40,1,6,2,1,2,N,2,7,7
140,72,1,1,2,1,1,N,2,8,11
141,34,1,1,1,1,1,N,2,3,7
142,48,1,1,2,1,1,N,2,0,8
143,78,1,1,1,1,1,N,2,9,12
144,23,1,1,2,1,1,N,2,0,8
145,49,1,6,2,1,1,N,2,4,10
146,70,1,1,1,1,1,N,2,8,7
147,53,6,4,1,1,1,N,2,2,5
148,70,1,1,1,1,1,N,2,2,10
149,65,1,1,1,1,1,N,2,9,3
150,64,1,6,2,1,1,N,2,2,5
151,51,1,1,2,1,1,N,2,3,10
152,83,1,1,1,1,1,N,2,1,9
153,47,1,3,2,1,1,N,2,3,9
154,80,1,1,2,1,2,N,2,6,5
155,49,1,1,2,1,2,N,2,3,9
156,47,1,4,1,1,2,N,2,4,9
157,75,1,1,2,1,1,N,2,4,7
158,70,1,1,1,1,1,N,2,7,7
159,48,1,1,2,1,1,N,2,3,7
160,50,1,2,1,1,2,N,2,6,7
161,68,1,5,2,1,1,N,2,7,9
162,86,1,1,1,1,1,N,2,4,7
163,48,1,1,1,1,1,N,2,6,4
164,58,1,1,2,1,1,N,2,3,8
165,58,1,1,2,1,1,N,2,4,9
166,72,1,4,2,1,2,N,2,3,6
167,58,1,4,2,1,1,N,2,5,8
168,53,1,1,2,1,1,N,2,4,9
169,74,1,6,2,1,2,N,2,2,4
170,66,1,1,2,1,1,N,2,2,9
171,71,1,6,1,1,2,N,2,2,3
172,76,6,1,2,1,1,N,2,8,3
173,58,1,6,1,1,2,N,2,2,8
174,38,1,6,1,1,1,N,2,7,5
175,29,1,1,1,1,1,N,2,8,6
176,73,1,6,2,1,2,N,2,8,10
177,36,1,1,1,1,1,N,2,3,8
178,47,1,N,1,1,2,N,2,2,5
179,42,1,1,1,1,1,N,2,9,9
180,33,1,6,2,1,1,N,2,2,5
181,62,2,5,2,1,2,N,2,5,4
182,89,1,1,1,1,1,N,2,9,9
183,44,1,4,1,1,1,N,2,8,7
184,79,1,6,2,1,0,N,2,7,7
185,33,1,1,2,1,1,N,2,3,8
186,50,1,6,1,1,2,N,2,0,4
187,47,6,1,2,1,1,N,2,7,9
188,38,1,1,2,1,1,N,2,0,8
189,64,1,1,2,1,1,N,2,4,5
190,64,1,1,2,1,1,N,2,0,9
191,77,1,1,2,1,1,N,2,6,5
192,61,1,2,1,1,2,N,2,7,5
193,53,1,1,1,1,2,N,2,3,1
194,24,1,6,2,1,2,N,2,1,3
195,78,1,1,2,1,1,N,2,5,7
196,36,1,1,2,1,1,N,2,4,5
197,17,1,1,2,1,1,N,2,0,8
198,62,1,1,2,1,1,N,2,5,7
199,65,1,1,2,1,1,N,2,0,6
200,23,1,4,1,1,1,N,2,2,6
201,62,1,1,2,1,2,N,2,6,7
202,67,1,1,2,1,1,N,2,7,10
203,38,1,3,2,1,1,N,2,1,10
204,49,1,1,1,1,2,N,2,3,9
205,37,1,6,1,1,2,N,2,2,7
206,78,1,1,2,1,1,N,2,4,10
207,65,1,6,1,3,1,N,2,6,9
208,49,1,1,1,1,2,N,2,8,10
209,65,1,1,2,1,1,N,2,7,9
210,52,1,1,2,1,1,N,2,5,10
211,77,1,1,2,1,2,N,2,9,7
212,37,1,4,2,1,1,N,2,8,3
213,67,1,1,2,1,1,N,2,8,10
214,45,2,1,1,1,1,N,2,0,9
215,33,1,6,2,1,2,N,2,6,5
216,47,1,1,2,1,2,N,2,8,5
217,38,1,1,1,1,1,N,2,2,9
218,36,1,1,2,1,2,N,2,3,5
219,41,1,1,2,1,1,N,2,3,10
220,94,1,1,1,1,1,N,2,0,3
221,52,1,6,2,1,2,N,2,3,5
222,51,1,1,1,1,1,N,2,4,3
223,54,1,1,1,1,1,N,2,4,7
224,76,1,1,2,1,1,N,2,9,8
225,51,1,6,2,1,1,N,2,8,7
226,66,1,1,2,1,2,N,2,6,5
227,75,1,3,2,1,1,N,2,2,8
228,56,6,1,1,1,1,N,2,8,8
229,65,1,1,1,1,1,N,2,2,9
230,64,1,1,1,1,1,N,2,3,7
231,63,1,1,2,1,1,N,2,8,11
232,48,1,1,2,1,1,N,2,1,12
233,61,1,6,1,1,1,N,2,5,9
234,78,1,1,1,1,1,N,2,8,9
235,36,6,1,2,1,1,N,2,9,9
236,31,1,2,2,1,1,N,2,9,9
237,32,1,1,2,1,1,N,2,6,9
238,32,1,4,2,1,1,N,2,9,9
239,52,1,6,2,1,1,N,2,4,5
240,56,1,1,2,1,1,N,2,5,7
241,94,1,1,1,1,1,N,2,4,9
242,63,1,2,1,1,1,N,2,5,5
243,7,1,6,2,1,1,N,2,6,7
244,66,1,6,1,1,1,N,2,3,5
245,34,1,6,1,1,2,N,2,9,9
246,34,1,6,2,1,1,N,2,7,9
247,81,1,6,1,1,2,N,2,0,5
248,55,1,6,1,1,2,N,2,1,9
249,38,6,1,2,1,1,N,2,5,7
250,38,1,1,1,1,2,N,2,6,7
251,54,1,4,1,1,2,N,2,2,7
252,40,1,6,1,1,1,N,2,8,7
