"","AGEP","SEX","MSP","RAC1P","EDU","PINCP_DECILE","DVET","DEYE","HOUSING_TYPE","OWN_RENT"
"1","33","1","6","1","7","7","N","2","1","1"
"2","5","2","N","3","2","N","N","2","1","1"
"3","82","2","1","1","5","0","N","2","1","2"
"4","39","1","1","2","5","6","N","2","1","2"
"5","15","1","6","1","3","0","N","2","1","1"
"6","66","2","1","1","7","2","N","2","1","1"
"7","30","1","1","3","5","6","N","2","1","2"
"8","1","1","N","2","N","N","N","2","1","2"
"9","29","1","6","1","9","9","N","2","1","2"
"10","28","2","6","6","9","0","N","2","1","2"
"11","82","1","1","2","5","2","N","2","1","1"
"12","61","2","5","2","4","3","N","2","1","2"
"13","26","2","6","3","6","1","N","2","1","1"
"14","43","1","1","1","10","8","N","2","1","1"
"15","20","1","6","8","5","4","N","2","1","2"
"16","23","2","6","1","9","4","N","2","1","2"
"17","73","1","1","1","3","2","N","2","1","2"
"18","23","1","6","2","5","0","N","2","1","1"
"19","52","2","6","2","8","6","N","2","1","2"
"20","18","1","6","2","4","2","N","2","1","2"
"21","30","1","6","1","9","7","N","2","1","2"
"22","41","1","1","9","9","8","N","2","1","1"
"23","27","1","4","1","7","0","N","2","2","0"
"24","37","1","1","1","5","3","N","2","1","2"
"25","18","1","6","2","5","1","N","2","1","2"
"26","22","1","6","2","5","4","N","2","1","2"
"27","38","1","6","3","8","5","N","2","1","1"
"28","67","1","1","1","8","9","N","2","1","1"
"29","21","2","6","1","5","4","N","2","1","1"
"30","40","2","1","2","8","6","N","2","1","1"
"31","49","1","1","1","10","9","N","2","1","2"
"32","41","2","1","6","11","5","N","2","1","1"
"33","89","2","3","6","3","3","N","2","1","2"
"34","28","1","6","1","10","7","N","2","1","2"
"35","54","2","6","2","9","4","N","2","1","2"
"36","31","1","6","1","9","8","N","2","1","2"
"37","12","1","N","2","3","N","N","2","1","2"
"38","52","2","1","1","10","3","N","2","1","1"
"39","42","1","1","1","5","8","N","2","1","1"
"40","61","2","2","2","8","0","N","2","1","2"
"41","65","2","1","1","7","1","N","2","1","1"
"42","17","2","6","1","5","0","N","2","1","2"
"43","24","1","6","1","9","8","N","2","1","2"
"44","58","2","4","2","7","4","N","2","1","1"
"45","74","2","1","1","10","6","N","2","1","1"
"46","25","1","6","1","5","7","N","2","1","1"
"47","30","1","6","1","5","5","N","2","1","2"
"48","51","1","1","1","7","4","N","2","1","1"
"49","12","1","N","1","3","N","N","2","1","1"
"50","80","1","3","2","4","2","N","2","1","1"
"51","64","2","1","2","8","7","N","2","1","2"
"52","24","2","6","1","7","5","N","2","1","2"
"53","14","1","N","1","3","N","N","2","1","1"
"54","66","1","6","2","5","7","N","2","1","1"
"55","0","1","N","1","N","N","N","2","1","2"
"56","3","2","N","9","1","N","N","2","1","1"
"57","47","2","1","3","9","0","N","2","1","1"
"58","71","2","1","2","5","3","N","2","1","1"
"59","13","2","N","1","3","N","N","2","1","1"
"60","57","2","1","2","7","5","N","2","1","1"
"61","86","2","3","1","11","8","N","2","1","1"
"62","28","2","6","2","9","6","N","2","1","2"
"63","11","2","N","1","3","N","N","2","1","1"
"64","64","2","1","1","11","8","N","2","1","1"
"65","57","1","6","2","4","1","N","2","1","1"
"66","85","1","4","1","3","2","N","2","1","1"
"67","8","2","N","6","3","N","N","2","1","1"
"68","30","2","6","1","5","4","N","2","1","2"
"69","48","1","1","2","5","6","N","2","1","2"
"70","40","1","1","1","10","9","N","2","1","1"
"71","32","2","6","2","4","4","N","2","1","2"
"72","55","1","2","2","11","5","N","2","1","1"
"73","63","2","4","1","7","3","N","2","1","1"
"74","70","1","6","2","5","2","N","2","3","0"
"75","18","1","6","1","4","1","N","2","1","1"
"76","35","1","1","1","9","9","N","2","1","1"
"77","25","2","6","1","9","5","N","2","1","1"
"78","72","1","4","1","8","6","N","2","1","2"
"79","27","1","1","1","5","2","N","2","1","1"
"80","18","1","6","6","7","8","N","2","3","0"
