"","AGEP","SEX","MSP","RAC1P","EDU","PINCP_DECILE","DVET","DEYE","HOUSING_TYPE","OWN_RENT"
"1","90","2","6","7","N","6","3","2","1","1"
"2","69","2","2","1","12","0","N","1","3","0"
"3","84","1","N","1","6","8","N","2","3","0"
"4","89","1","4","7","6","2","5","1","3","0"
"5","84","1","1","2","11","3","2","1","1","1"
"6","54","2","N","8","11","4","3","1","3","0"
"7","82","2","2","7","7","6","1","1","1","1"
"8","18","1","N","9","5","8","N","2","1","1"
"9","74","2","6","9","11","N","1","1","1","2"
"10","80","1","4","6","1","8","1","1","2","0"
"11","17","1","N","3","4","4","N","1","1","1"
"12","44","1","N","1","5","2","1","1","1","1"
"13","59","2","6","2","N","9","3","1","1","1"
"14","59","2","3","7","1","N","1","2","1","2"
"15","38","2","4","7","6","4","N","2","2","0"
"16","24","2","4","3","7","8","1","2","1","2"
"17","67","2","4","2","11","2","1","2","1","2"
"18","90","2","1","2","1","9","N","2","3","0"
"19","58","2","2","3","6","7","6","2","1","1"
"20","50","1","2","6","5","5","N","2","3","0"
"21","88","1","4","6","4","4","N","2","1","2"
"22","50","2","1","3","7","0","1","1","1","1"
"23","22","2","1","7","6","9","4","1","2","0"
"24","70","1","5","6","12","3","N","1","1","1"
"25","41","2","5","5","N","8","5","1","1","1"
"26","88","2","4","1","11","3","5","2","3","0"
"27","22","1","3","9","11","1","6","2","1","1"
"28","43","2","4","3","11","9","1","1","2","0"
"29","13","1","N","1","3","N","N","2","1","1"
"30","71","1","6","4","3","1","4","1","3","0"
"31","58","2","5","5","1","4","3","1","1","2"
"32","54","2","1","9","7","9","2","1","1","1"
"33","59","1","N","9","12","N","6","1","1","2"
"34","24","2","6","7","11","N","6","1","3","0"
"35","22","2","5","1","11","4","4","1","2","0"
"36","50","1","1","1","9","9","N","2","1","1"
"37","74","1","N","8","2","5","4","2","2","0"
"38","40","2","1","3","1","7","5","1","1","1"
"39","70","1","5","3","5","0","1","2","3","0"
"40","74","1","N","8","2","5","4","2","2","0"
"41","78","1","N","8","3","1","4","2","1","2"
"42","66","1","5","7","11","N","N","2","1","2"
"43","65","2","1","4","7","4","2","1","3","0"
"44","79","1","4","5","N","6","1","2","1","1"
"45","76","1","3","8","12","3","4","2","1","2"
"46","20","1","6","1","7","1","N","2","1","2"
"47","73","1","1","9","3","7","5","1","1","1"
"48","26","2","1","9","3","7","N","2","1","1"
"49","77","2","4","7","10","1","3","1","1","2"
"50","42","1","3","3","6","7","1","2","1","2"
"51","79","2","5","4","10","8","3","2","3","0"
"52","34","2","N","3","8","8","3","2","3","0"
"53","54","1","2","3","6","8","4","2","2","0"
"54","25","1","4","8","4","3","5","1","1","1"
"55","85","2","5","1","5","6","1","2","3","0"
"56","26","1","2","9","5","8","2","2","3","0"
"57","72","1","5","1","10","2","2","1","1","2"
"58","20","2","6","1","7","1","N","2","1","2"
"59","14","2","N","1","3","N","N","2","1","1"
"60","58","2","2","4","6","N","5","2","1","1"
"61","71","2","2","8","N","4","6","2","2","0"
"62","94","1","N","2","12","4","4","1","2","0"
