"","AGEP","SEX","MSP","RAC1P","EDU","PINCP_DECILE","DVET","DEYE","HOUSING_TYPE","OWN_RENT"
"1","62","2","4","2","7","5","N","1","1","1"
"2","62","2","3","1","5","1","N","2","1","1"
"3","36","2","4","2","9","5","N","2","1","1"
"4","82","2","3","2","7","3","N","1","1","1"
"5","17","2","6","9","4","1","N","2","1","1"
"6","68","1","1","1","7","9","N","2","1","1"
"7","76","1","5","3","N","4","4","1","2","0"
"8","45","2","1","6","9","0","N","2","1","2"
"9","20","2","6","8","4","1","N","2","1","1"
"10","61","2","1","6","10","6","N","2","1","1"
"11","14","1","N","1","3","N","N","2","1","1"
"12","54","1","6","1","7","2","N","2","1","2"
"13","20","2","6","2","7","0","N","2","1","2"
"14","39","2","1","1","10","9","N","2","1","1"
"15","70","2","3","1","12","4","N","2","1","2"
"16","5","2","N","9","2","N","N","2","1","1"
"17","80","1","1","1","10","8","N","2","1","1"
"18","32","2","5","1","5","3","N","2","3","0"
"19","25","1","6","2","1","0","N","2","1","1"
"20","46","1","1","1","7","7","N","2","1","1"
"21","33","2","6","8","4","0","N","2","1","2"
"22","37","1","6","1","12","9","N","2","1","2"
"23","12","2","N","2","3","N","N","2","1","1"
"24","55","2","N","8","4","9","N","2","2","0"
"25","10","2","N","2","3","N","N","2","1","2"
"26","30","1","6","2","9","6","N","2","1","1"
"27","13","2","N","2","3","N","N","2","1","1"
"28","56","2","2","1","9","9","N","2","1","1"
"29","21","2","6","1","7","1","N","2","1","2"
"30","29","1","6","1","9","9","N","2","1","2"
"31","88","2","3","2","5","4","N","2","1","1"
"32","20","1","6","2","5","0","N","2","1","1"
"33","26","1","6","6","11","1","N","2","1","2"
"34","19","2","6","1","7","0","N","2","3","0"
"35","30","2","2","9","3","7","2","1","1","2"
"36","51","1","1","1","11","9","N","2","1","1"
"37","15","1","6","6","4","0","N","2","1","2"
"38","75","1","1","7","6","N","6","2","1","1"
"39","85","2","3","2","10","8","N","2","1","1"
"40","20","2","6","1","7","1","N","2","1","2"
"41","76","1","1","1","10","8","N","2","1","1"
"42","68","1","1","2","7","8","N","2","1","1"
"43","39","1","1","6","9","6","N","2","1","2"
"44","34","2","3","2","11","3","4","2","3","0"
"45","14","1","N","1","3","N","N","2","1","2"
"46","37","1","1","1","5","3","N","2","1","2"
"47","51","1","1","2","10","6","N","2","1","1"
"48","67","1","1","1","12","2","N","2","1","2"
"49","27","2","6","1","9","8","N","2","1","2"
"50","66","1","6","1","4","5","1","1","2","0"
"51","66","1","1","1","8","5","N","2","1","1"
"52","55","2","1","3","7","5","N","2","1","1"
"53","88","2","3","2","7","6","N","1","1","1"
"54","73","2","3","1","3","7","N","2","1","1"
"55","48","2","6","2","7","2","N","2","1","2"
"56","46","1","1","2","11","0","N","1","1","1"
"57","7","2","N","2","3","N","N","2","1","1"
"58","52","2","1","1","10","7","N","2","1","1"
"59","18","1","6","2","7","0","N","2","3","0"
"60","59","1","1","1","5","9","N","1","1","1"
"61","18","2","6","1","7","3","N","2","3","0"
"62","17","1","6","2","4","1","N","2","1","2"
"63","41","2","1","1","5","6","N","2","1","1"
"64","36","1","6","5","11","3","1","2","3","0"
"65","42","1","1","3","7","6","N","2","1","2"
"66","37","2","6","1","10","8","N","2","1","2"
"67","28","2","6","2","9","4","N","2","1","2"
"68","83","1","1","1","11","9","N","2","1","1"
"69","24","2","6","1","10","6","N","2","1","1"
"70","13","2","N","1","3","N","N","2","1","1"
"71","64","1","6","2","7","6","N","2","1","2"
"72","44","2","1","1","11","1","N","2","1","1"
"73","53","2","1","1","9","8","N","2","1","1"
"74","7","1","N","1","2","N","N","2","1","1"
"75","56","2","1","6","10","4","N","2","1","1"
"76","29","2","3","9","2","5","N","1","1","2"
"77","21","1","6","1","7","1","N","2","3","0"
"78","39","1","1","2","8","8","N","2","1","2"
"79","11","2","N","2","3","N","N","2","1","2"
"80","78","1","6","4","12","5","6","1","1","2"
"81","64","2","1","2","8","5","N","2","1","2"
"82","71","2","1","1","12","8","N","2","1","1"
"83","63","2","1","1","9","7","N","2","1","1"
"84","32","1","1","1","9","6","N","2","1","1"
"85","69","2","4","1","9","3","N","2","1","1"
"86","38","1","3","3","1","8","N","1","3","0"
"87","57","1","1","1","8","3","N","2","1","1"
"88","34","2","1","1","9","5","N","2","1","2"
"89","67","2","3","6","8","4","2","1","3","0"
"90","27","1","6","1","9","9","N","2","1","2"
"91","95","2","3","1","10","3","N","2","2","0"
"92","43","2","1","1","10","9","N","2","1","1"
"93","27","1","6","1","9","9","N","1","1","1"
"94","57","2","5","5","4","7","5","1","1","2"
"95","17","2","6","1","4","0","N","2","1","1"
"96","0","1","N","2","N","N","N","2","1","2"
"97","75","2","1","1","6","2","N","2","1","1"
"98","18","2","6","1","7","1","N","2","1","1"
"99","43","2","1","1","12","7","N","2","1","1"
"100","26","1","6","6","10","6","N","2","1","1"
"101","25","2","6","1","10","7","N","2","1","2"
"102","6","1","N","6","2","N","N","2","1","2"
"103","32","2","1","1","9","9","N","2","1","1"
"104","57","1","1","1","5","6","N","2","1","1"
"105","79","1","2","2","8","2","6","1","2","0"
"106","24","1","6","1","7","3","N","2","1","2"
"107","32","1","6","6","9","6","N","2","1","2"
"108","60","2","1","1","9","9","N","2","1","1"
"109","87","2","3","2","5","3","N","2","1","1"
"110","70","2","1","6","12","N","6","1","1","2"
"111","68","2","1","1","8","5","2","2","1","1"
"112","44","1","1","1","5","8","N","2","1","1"
"113","14","1","N","2","1","N","N","2","1","2"
"114","63","1","4","8","5","6","N","2","1","2"
"115","41","2","1","6","8","1","N","2","1","1"
"116","39","1","1","2","7","6","N","2","1","1"
"117","21","2","6","6","9","0","N","2","1","2"
"118","26","2","6","6","12","4","N","2","1","2"
"119","24","1","6","1","9","2","N","2","1","1"
"120","0","2","N","1","N","N","N","2","1","1"
"121","50","2","1","1","11","9","N","2","1","1"
"122","62","2","4","2","7","3","N","2","1","2"
"123","13","1","N","2","3","N","N","2","1","2"
"124","68","1","1","1","1","1","N","2","1","1"
"125","86","1","6","9","3","2","N","1","1","1"
"126","24","2","6","1","9","8","N","2","1","2"
"127","19","1","6","2","4","0","N","2","1","2"
"128","11","2","N","2","3","N","N","2","1","1"
"129","21","2","6","2","7","2","N","2","1","2"
