"","AGEP","SEX","MSP","RAC1P","EDU","PINCP_DECILE","DVET","DEYE","HOUSING_TYPE","OWN_RENT"
"1","57","2","3","1","7","2","N","2","1","1"
"2","11","1","N","9","3","N","N","2","1","2"
"3","23","1","6","1","9","5","N","2","3","0"
"4","10","2","N","1","3","N","N","2","1","2"
"5","9","2","4","1","1","0","1","1","1","1"
"6","66","1","4","2","7","9","N","2","1","2"
"7","59","2","2","1","1","0","1","1","1","1"
"8","57","2","1","6","10","5","N","2","1","1"
"9","65","2","1","1","9","7","N","2","1","1"
"10","54","2","2","4","N","1","3","2","1","2"
"11","76","1","2","6","9","0","N","2","1","1"
"12","15","2","1","1","1","0","1","1","1","1"
"13","78","1","2","1","7","8","N","1","1","1"
"14","58","1","1","1","8","9","N","2","1","1"
"15","47","2","4","1","7","7","N","2","1","2"
"16","54","1","6","1","7","9","N","2","1","1"
"17","65","1","1","1","5","9","N","2","1","1"
"18","17","1","6","2","5","6","N","2","3","0"
"19","36","1","1","6","12","4","N","2","1","1"
"20","27","1","6","1","7","4","N","2","3","0"
"21","9","1","N","2","3","N","N","2","1","1"
"22","57","1","1","1","1","0","1","1","1","1"
"23","48","1","6","1","5","1","N","2","1","2"
"24","44","2","1","1","9","0","N","2","1","1"
"25","17","2","6","2","4","0","N","2","1","1"
"26","31","2","6","9","10","5","2","2","3","0"
"27","27","2","1","9","7","3","N","2","1","1"
"28","51","1","5","1","10","1","4","2","1","2"
"29","27","1","6","1","5","6","N","2","1","1"
"30","3","1","N","2","1","N","N","2","1","2"
"31","70","2","4","1","12","8","N","2","1","1"
"32","60","2","N","6","8","2","4","1","1","1"
"33","53","1","1","1","11","9","N","2","1","1"
"34","14","1","N","8","3","N","N","2","1","2"
"35","39","2","1","1","9","0","N","2","1","2"
"36","37","1","4","1","5","5","N","2","1","1"
"37","38","1","6","2","5","5","N","2","1","2"
"38","16","2","6","1","4","0","N","2","1","1"
"39","76","2","3","8","10","0","1","1","2","0"
"40","26","2","6","2","5","5","N","2","1","2"
"41","4","2","N","1","1","N","N","2","1","1"
"42","7","1","N","8","3","N","N","2","1","1"
"43","27","1","6","1","9","8","N","2","1","2"
"44","20","2","6","1","7","1","N","2","1","1"
"45","4","2","N","3","1","N","N","2","1","1"
"46","11","2","N","1","3","N","N","2","1","1"
"47","18","2","6","1","4","0","N","2","1","1"
"48","76","2","1","1","10","5","N","2","1","1"
"49","41","2","1","1","11","8","N","2","1","1"
"50","57","2","1","1","7","9","N","2","1","1"
"51","76","2","4","2","5","3","N","2","2","0"
"52","69","2","4","1","5","4","N","2","2","0"
"53","50","2","6","1","7","5","N","2","1","2"
"54","16","1","6","1","4","0","N","2","1","1"
"55","55","1","2","4","1","9","5","1","2","0"
"56","48","1","6","2","4","0","N","2","2","0"
"57","28","2","6","1","9","7","N","2","1","1"
"58","12","2","N","1","3","N","N","2","1","1"
"59","80","1","3","1","9","6","N","2","1","1"
"60","70","2","3","1","7","3","N","2","1","1"
"61","45","2","4","2","8","6","N","2","1","2"
"62","53","2","1","1","9","0","N","2","1","2"
"63","30","1","6","8","9","7","N","2","1","2"
"64","73","2","1","3","8","4","N","2","1","1"
"65","84","2","1","1","3","0","N","2","1","2"
"66","34","1","1","2","8","6","4","2","3","0"
"67","52","1","1","1","9","9","N","2","1","1"
"68","55","1","1","1","4","4","N","2","1","2"
"69","19","2","6","2","5","0","N","2","1","1"
"70","48","1","6","3","5","N","6","1","3","0"
"71","69","2","1","7","2","9","3","1","1","2"
"72","57","1","1","1","7","9","N","2","1","1"
"73","33","2","1","1","1","0","1","1","1","1"
"74","7","1","N","2","3","N","N","2","1","2"
"75","20","1","6","2","7","0","N","2","3","0"
"76","0","1","N","2","N","N","N","2","1","2"
"77","33","2","6","3","12","3","3","2","1","1"
"78","29","2","1","1","7","5","N","2","1","1"
"79","95","1","1","5","7","0","4","1","1","1"
"80","51","2","1","1","7","4","N","2","1","1"
"81","61","2","4","1","11","1","5","2","1","1"
"82","4","2","N","2","1","N","N","2","1","2"
"83","34","2","1","1","9","8","N","2","1","1"
"84","19","2","6","1","7","1","N","2","1","1"
"85","49","1","6","6","10","9","N","2","1","1"
"86","31","1","1","1","12","8","N","2","1","1"
"87","67","2","1","5","10","5","4","2","1","1"
"88","12","2","N","1","3","N","N","2","1","1"
"89","40","2","1","6","10","9","N","2","1","1"
"90","28","2","6","2","4","2","N","2","1","1"
"91","22","2","6","3","12","6","2","2","2","0"
"92","19","1","6","1","7","0","N","2","3","0"
"93","74","1","1","1","12","9","N","2","1","1"
"94","23","1","6","1","5","1","N","2","1","1"
"95","53","2","1","2","11","1","N","2","2","0"
"96","54","1","6","2","7","2","N","2","1","2"
"97","43","1","6","8","4","6","N","2","1","1"
"98","34","2","1","1","7","6","N","2","1","1"
"99","19","1","6","1","5","0","N","2","1","2"
"100","0","2","N","2","N","N","N","2","1","2"
"101","4","1","N","1","1","N","N","2","1","1"
"102","90","2","1","4","7","2","3","2","1","1"
"103","60","1","2","6","9","0","N","2","3","0"
"104","38","2","1","1","9","1","N","2","1","1"
"105","26","2","6","1","5","2","N","2","1","2"
"106","18","2","6","6","5","5","N","2","3","0"
"107","18","1","6","1","5","0","N","2","1","1"
"108","67","1","1","2","5","4","N","2","1","1"
"109","68","1","1","1","10","1","N","2","1","1"
"110","14","2","N","1","3","N","N","2","1","1"
"111","21","2","1","8","4","0","N","2","1","1"
"112","75","2","4","1","4","7","N","2","1","1"
"113","60","1","1","1","5","2","N","2","1","1"
"114","40","2","1","1","9","9","N","2","1","1"
"115","38","1","2","6","12","9","N","2","1","1"
"116","53","1","6","2","9","1","N","2","1","1"
"117","31","1","6","2","7","5","N","2","1","1"
"118","65","2","6","2","5","1","N","2","1","2"
"119","28","1","1","1","9","9","N","2","1","1"
"120","33","2","6","6","10","6","6","2","2","0"
"121","37","2","1","1","5","1","N","2","1","1"
"122","56","2","5","2","4","3","N","1","1","2"
"123","67","1","6","2","5","2","N","2","1","1"
"124","43","1","4","2","6","0","N","2","1","1"
"125","55","2","4","2","5","5","N","2","1","1"
"126","44","1","6","1","9","8","N","2","1","1"
"127","17","1","6","6","4","1","N","2","1","1"
"128","44","2","1","3","10","6","N","2","1","1"
"129","63","1","2","1","1","0","1","1","1","1"
"130","81","2","4","5","2","1","N","2","1","2"
"131","68","2","3","1","10","9","N","2","1","1"
"132","9","1","N","2","3","N","N","2","1","1"
"133","26","2","2","6","11","4","2","2","3","0"
"134","24","2","6","1","9","7","N","2","1","2"
"135","2","2","N","1","N","N","N","2","1","1"
"136","45","2","1","1","7","0","N","2","1","1"
"137","16","1","6","1","4","1","N","2","1","1"
"138","26","1","2","8","7","6","N","2","1","2"
"139","9","2","N","1","3","N","N","2","1","1"
"140","6","1","N","1","2","N","N","2","1","1"
"141","50","1","4","1","12","9","N","2","1","1"
"142","45","2","6","2","5","1","N","2","1","2"
"143","55","1","4","8","1","8","N","2","1","1"
"144","59","2","2","1","10","9","N","2","1","2"
"145","85","1","4","1","3","2","N","2","1","1"
"146","59","1","1","1","7","7","N","2","1","1"
"147","66","1","1","1","10","5","N","2","1","1"
"148","18","2","6","2","7","1","N","2","3","0"
"149","41","1","6","1","10","8","N","2","1","2"
"150","74","2","3","3","9","4","N","2","1","1"
"151","14","1","N","2","3","N","N","2","1","1"
"152","22","2","6","1","9","1","N","2","1","2"
"153","76","2","4","1","7","2","N","2","1","2"
"154","26","2","3","2","8","7","1","1","1","2"
"155","26","2","6","9","5","1","N","2","1","2"
"156","55","2","1","1","9","1","N","2","1","1"
"157","67","2","1","1","9","4","N","2","1","1"
"158","21","2","6","2","4","2","N","2","1","2"
"159","3","1","N","1","2","N","N","2","1","1"
"160","5","1","N","2","1","N","N","2","1","2"
"161","32","2","2","1","9","6","N","2","1","1"
"162","30","2","6","2","9","4","N","2","1","2"
"163","42","1","4","1","7","9","N","2","1","1"
"164","24","1","6","2","9","8","N","2","1","2"
"165","93","1","4","1","1","0","1","1","1","1"
"166","51","2","5","4","11","5","6","2","1","2"
"167","28","2","5","1","2","5","2","1","3","0"
"168","76","2","1","1","10","8","N","2","1","1"
"169","34","2","1","1","9","5","N","2","1","2"
"170","72","2","1","2","9","4","N","2","1","1"
"171","57","2","1","1","10","8","N","2","1","1"
"172","30","1","1","1","5","8","N","2","1","2"
"173","3","1","N","1","2","N","N","2","1","1"
"174","44","2","1","1","7","5","N","2","1","1"
"175","17","2","2","1","1","0","1","1","1","1"
"176","8","2","N","1","3","N","N","2","1","2"
"177","54","2","1","1","7","7","N","2","1","1"
"178","76","2","1","1","10","7","N","2","1","1"
"179","71","2","6","1","5","1","N","2","2","0"
"180","33","2","1","1","10","9","N","2","1","1"
"181","27","2","1","1","8","5","N","2","1","1"
"182","94","2","6","6","5","3","N","2","2","0"
"183","21","2","6","2","7","0","N","2","3","0"
"184","51","1","3","2","5","4","N","2","1","2"
"185","49","2","1","1","9","4","N","2","1","1"
"186","62","1","2","1","11","2","5","2","3","0"
"187","75","2","1","1","5","3","N","2","1","1"
"188","69","2","1","1","9","5","N","2","1","1"
"189","71","1","4","1","7","3","N","2","1","1"
"190","42","2","6","1","4","1","N","2","1","2"
"191","92","1","3","1","1","0","1","1","1","1"
"192","74","1","1","1","10","8","N","2","1","1"
"193","79","1","1","1","11","5","N","2","1","1"
"194","55","2","4","1","10","2","N","2","1","1"
"195","1","1","N","6","N","N","N","2","1","1"
"196","17","2","6","2","7","0","N","2","3","0"
"197","62","2","3","9","5","N","6","2","1","2"
"198","67","2","1","1","5","5","N","2","1","1"
"199","30","1","6","2","1","4","N","2","1","2"
"200","79","1","6","6","3","1","1","1","2","0"
"201","26","1","6","2","5","4","N","2","1","2"
"202","5","2","N","1","2","N","N","2","1","1"
"203","28","1","6","2","8","1","N","2","1","1"
"204","6","2","N","5","2","N","N","2","1","2"
"205","84","2","1","6","6","0","1","1","1","2"
"206","41","1","1","1","5","6","N","2","1","1"
"207","64","1","5","6","8","1","5","1","2","0"
"208","57","1","6","7","N","0","3","1","2","0"
"209","64","2","4","2","7","3","N","2","1","2"
"210","37","1","1","1","10","9","N","2","1","1"
"211","14","2","N","1","3","N","N","2","1","2"
"212","44","2","1","6","9","9","N","2","1","1"
"213","2","2","N","1","N","N","N","2","1","1"
"214","7","2","N","6","3","N","N","2","1","1"
"215","76","1","1","2","3","7","N","2","1","1"
"216","64","2","1","1","10","6","N","2","1","1"
"217","20","1","6","1","4","2","N","2","2","0"
"218","31","2","1","1","10","7","N","2","1","2"
"219","87","2","1","9","10","9","6","2","2","0"
"220","65","2","6","1","11","5","N","2","1","1"
"221","52","1","4","9","2","0","N","2","1","1"
"222","75","2","4","2","5","3","N","2","1","2"
"223","6","1","N","1","2","N","N","2","1","2"
"224","38","2","6","1","10","9","N","2","1","2"
"225","79","1","6","1","5","5","N","1","1","1"
"226","64","2","1","1","8","3","N","2","1","1"
"227","50","1","1","2","5","7","N","2","1","2"
"228","54","2","6","2","5","3","N","2","1","2"
"229","50","1","4","1","5","8","N","2","1","2"
"230","39","1","1","1","11","8","N","2","1","2"
"231","59","2","3","1","5","3","N","2","1","1"
"232","69","1","1","1","7","4","N","2","1","1"
"233","45","1","1","6","10","9","N","2","1","2"
"234","70","2","1","6","12","N","6","1","1","2"
"235","66","1","1","7","7","6","N","1","1","1"
"236","62","2","1","1","10","6","N","2","1","1"
"237","69","1","1","1","1","0","1","1","1","1"
"238","28","2","6","1","9","4","N","2","1","1"
"239","34","2","1","1","9","7","N","2","1","1"
"240","25","2","4","6","1","N","5","2","2","0"
"241","56","2","3","7","4","0","4","1","2","0"
"242","67","2","1","1","7","9","N","2","1","1"
"243","0","1","N","2","N","N","N","2","1","2"
"244","81","2","1","5","12","7","1","1","1","2"
"245","52","1","1","1","9","9","N","2","1","1"
"246","66","2","1","1","10","8","N","2","1","1"
