,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE
PUMA,-3.219646771412954e-15,0.0034662937812518922,0.0052617345889117186,-0.019025371196196822,-0.02467550081872888,0.0820270992653977,0.07776941190498032,0.08880189388261056,0.047907913463369124,-0.007745221292135469
AGEP,0.0034662937812518922,-6.661338147750939e-16,-0.02163006727462721,-0.034757694350591624,0.15795088385407896,0.1190155439985459,0.44683563253166925,0.3769879687844073,0.10237006018336425,-0.1699648326626696
SEX,0.0052617345889117186,-0.02163006727462721,9.992007221626409e-16,0.05812730568565885,-0.001743378994239186,0.017483704851955467,0.04414103099837571,0.04714125307264089,0.0034599684656925495,0.005294198309769571
MSP,-0.019025371196196822,-0.034757694350591624,0.05812730568565885,-6.661338147750939e-16,0.049572889554024765,-0.007607755469304645,0.2576134580888234,0.4026502147581211,0.01599042782305167,-0.03743784035665566
HISP,-0.02467550081872888,0.15795088385407896,-0.001743378994239186,0.049572889554024765,0.0,-0.011960663583469616,0.002111109654336446,-0.11874523602536166,-0.04901492582626583,0.05977082363142715
RAC1P,0.0820270992653977,0.1190155439985459,0.017483704851955467,-0.007607755469304645,-0.011960663583469616,1.4432899320127035e-15,-0.035059966807227796,-0.015470137527838976,-0.04694056303146532,0.0764163103532753
NOC,0.07776941190498032,0.44683563253166925,0.04414103099837571,0.2576134580888234,0.002111109654336446,-0.035059966807227796,0.0,-0.2955040798699275,-0.13696370505538638,0.24699715118412885
NPF,0.08880189388261056,0.3769879687844073,0.04714125307264089,0.4026502147581211,-0.11874523602536166,-0.015470137527838976,-0.2955040798699275,1.1102230246251565e-16,-0.001499980465086679,0.23928244419801303
OWN_RENT,0.047907913463369124,0.10237006018336425,0.0034599684656925495,0.01599042782305167,-0.04901492582626583,-0.04694056303146532,-0.13696370505538638,-0.001499980465086679,-1.2212453270876722e-15,0.010146576707519922
PINCP_DECILE,-0.007745221292135469,-0.1699648326626696,0.005294198309769571,-0.03743784035665566,0.05977082363142715,0.0764163103532753,0.24699715118412885,0.23928244419801303,0.010146576707519922,3.3306690738754696e-16
