,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE
PUMA,6.661338147750939e-15,0.04010764232141467,-0.03133170549523981,-0.12609800152055056,-0.038691009766667186,-0.010239582695231448,0.012131713451058915,-0.03401490741926979,0.024767862544192484,0.10187844767574714
AGEP,0.04010764232141467,0.0,-0.011026755347532669,-0.08287459162003966,0.06324508005999713,0.024148048106728978,0.030543900669159962,0.3385103883941113,0.01310455863033036,-0.302494081251434
SEX,-0.03133170549523981,-0.011026755347532669,8.659739592076221e-15,-0.06821512122467514,0.010144725642529946,-0.008178797436302405,-0.0015617710480631992,-0.010050682328096907,-0.08748350423234225,-0.018754797414069414
MSP,-0.12609800152055056,-0.08287459162003966,-0.06821512122467514,1.1102230246251565e-16,0.03946437787761358,0.008932523641117174,0.027895977996060917,0.26837443433548513,0.10811498279142279,-0.2266885525819579
HISP,-0.038691009766667186,0.06324508005999713,0.010144725642529946,0.03946437787761358,0.0,-0.10674158886406691,-0.012100036690032989,-0.0038675047866273907,0.00322417429784759,0.07508559006186698
RAC1P,-0.010239582695231448,0.024148048106728978,-0.008178797436302405,0.008932523641117174,-0.10674158886406691,-2.2093438190040615e-14,0.037260664774385686,-0.07252781687152474,-0.045445219952791875,0.01612511269471384
NOC,0.012131713451058915,0.030543900669159962,-0.0015617710480631992,0.027895977996060917,-0.012100036690032989,0.037260664774385686,-8.881784197001252e-15,-0.5044848430724912,-0.16201420923829807,0.09512799244113603
NPF,-0.03401490741926979,0.3385103883941113,-0.010050682328096907,0.26837443433548513,-0.0038675047866273907,-0.07252781687152474,-0.5044848430724912,-4.440892098500626e-16,-0.1164858380904521,0.20977036007104052
OWN_RENT,0.024767862544192484,0.01310455863033036,-0.08748350423234225,0.10811498279142279,0.00322417429784759,-0.045445219952791875,-0.16201420923829807,-0.1164858380904521,1.2545520178264269e-14,0.0589993651362729
PINCP_DECILE,0.10187844767574714,-0.302494081251434,-0.018754797414069414,-0.2266885525819579,0.07508559006186698,0.01612511269471384,0.09512799244113603,0.20977036007104052,0.0589993651362729,-4.9960036108132044e-15
