SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,target
1,N,1,2,N,0,08-00803,2,4,3,49,25755
1,N,1,1,9,0,24-01004,32,1,2,480,24987
2,1,1,2,3,2,36-04010,28,0,4,499,20105
2,6,1,0,0,0,36-04010,28,N,3,88,6767
2,1,1,1,4,0,29-01901,36,0,2,5,20451
1,6,2,2,6,1,30-00600,22,1,3,295,14707
2,N,3,2,N,0,38-00100,3,2,4,10,24741
2,1,1,1,3,0,24-01004,69,0,2,498,6719
1,1,1,1,5,0,51-51255,50,0,2,49,20858
2,N,1,2,7,0,36-04010,22,2,2,108,19266
2,1,1,2,8,0,36-04010,46,1,3,55,20199
2,6,1,1,4,0,24-01004,26,2,4,378,18812
1,1,1,1,6,0,51-01301,30,1,3,489,19178
2,1,1,1,3,0,19-01700,78,0,2,48,5530
2,4,1,2,4,0,28-01100,45,0,N,12,5521
2,6,8,1,5,0,28-01100,28,0,3,397,20758
2,N,1,2,N,0,36-03710,4,3,3,491,26188
2,1,1,1,3,0,29-01901,69,0,2,498,13653
1,N,1,1,N,0,36-04010,27,2,4,490,25246
2,N,1,2,N,0,36-03710,5,3,4,0,25190
1,6,1,0,0,0,36-04010,42,5,5,62,19123
2,1,1,1,1,0,19-01700,68,2,4,60,6096
1,1,1,1,9,0,38-00100,67,2,3,487,19123
1,1,1,1,5,0,19-01700,36,2,3,499,11634
2,1,1,1,7,0,30-00600,76,0,2,499,20597
2,1,2,1,9,0,13-04600,73,0,12,165,4946
1,6,6,2,8,0,36-04010,18,2,5,52,21141
2,6,1,0,6,0,24-01004,27,N,9,81,1650
2,1,1,1,3,0,24-01004,67,0,2,165,14296
1,1,1,1,9,0,24-01004,50,0,2,497,8979
1,4,1,2,3,0,38-00100,27,0,2,489,18808
2,4,1,2,7,0,29-01901,30,0,3,261,18391
2,1,1,1,3,0,24-01004,75,0,2,499,12939
2,1,1,2,3,0,24-01004,63,0,3,500,6748
2,6,1,2,6,0,51-01301,69,0,N,500,21530
2,6,1,2,3,0,08-00803,29,0,N,146,13608
1,N,1,2,9,0,08-00803,18,N,N,70,21852
1,1,1,1,0,0,13-04600,53,2,3,493,1145
2,6,1,2,7,0,38-00100,44,0,N,422,18570
1,6,1,0,0,0,19-01700,27,N,2,81,13692
1,1,1,1,9,0,24-01004,25,1,3,489,25708
2,1,1,1,5,0,28-01100,71,1,12,51,11709
1,1,1,2,4,0,38-00100,48,0,4,180,4891
1,1,1,1,1,1,29-01901,67,1,12,494,13703
1,6,1,2,3,0,51-01301,31,0,N,50,23038
1,N,1,1,N,0,08-00803,15,1,5,500,25222
2,1,1,2,7,0,51-01301,70,0,2,59,20473
2,1,1,2,5,0,30-00600,68,0,12,384,12832
2,6,2,1,3,0,38-00100,30,1,4,260,17154
2,1,1,1,4,0,24-01004,29,3,3,256,14762
2,4,1,2,0,0,24-01004,72,0,N,371,5389
2,1,2,2,7,0,13-04600,27,1,4,64,5683
2,N,1,2,9,0,36-04010,5,3,3,49,21784
1,3,1,1,4,0,30-00600,70,0,N,491,6996
1,1,1,2,0,0,29-01901,29,2,3,0,18918
2,1,1,1,5,0,28-01100,70,1,2,294,14504
2,1,1,1,6,0,24-01004,69,0,12,492,11009
2,1,1,1,0,0,13-04600,41,0,N,60,13167
2,N,1,1,9,0,19-01700,67,0,3,497,19971
1,1,1,2,0,0,36-04010,64,3,5,56,18748
2,6,1,2,2,0,32-00405,38,0,N,146,8059
1,N,1,2,9,0,51-01301,28,2,3,476,20795
1,6,1,1,0,0,19-01700,33,0,3,495,6946
2,6,1,0,4,0,17-03531,25,N,9,254,5433
2,6,1,0,0,0,17-03529,26,N,9,76,4881
1,N,1,2,9,0,51-01301,9,0,12,490,21285
1,1,1,1,4,0,29-01901,24,3,5,100,25791
2,1,1,2,4,0,17-03531,66,0,2,157,6629
1,6,1,2,3,0,51-01301,24,0,N,500,18639
2,6,1,0,0,0,19-01700,20,N,N,66,6172
1,1,1,1,8,0,19-01700,51,1,3,498,20180
2,N,1,2,7,0,36-04010,22,1,4,495,21836
2,6,1,2,7,0,17-03529,27,0,N,51,6551
1,1,1,2,0,0,51-51255,24,0,2,52,17738
2,N,1,2,N,0,36-04010,3,3,3,490,26229
2,1,1,1,6,0,13-04600,48,0,3,499,3972
1,N,9,2,9,0,51-01301,1,2,2,501,26384
2,6,1,0,0,0,13-04600,16,N,4,9,4904
2,6,1,2,0,0,51-01301,28,1,2,64,21323
1,1,1,1,0,0,08-00803,65,1,2,408,4091
2,N,1,1,3,0,36-04010,28,2,4,0,25658
2,4,1,1,4,0,29-01901,72,0,N,397,13880
1,N,1,1,9,0,36-04010,24,1,2,285,19396
1,6,1,2,3,0,13-04600,33,0,N,493,1395
1,6,1,1,9,1,51-01301,24,0,3,54,21985
2,3,1,2,6,0,19-01700,86,0,2,49,6433
1,1,1,1,7,0,51-01301,69,0,12,55,19425
2,1,1,1,7,0,17-03529,29,0,12,53,4197
1,6,1,2,0,0,19-01700,37,N,N,63,8219
1,1,1,2,9,0,51-01301,31,0,12,494,20796
1,6,1,2,4,0,17-03531,90,0,N,490,3723
1,N,1,2,9,0,36-04010,23,1,3,50,26343
1,1,1,1,6,0,51-01301,70,0,2,499,21654
2,6,1,1,0,0,29-01901,23,N,2,73,14218
1,N,1,1,9,0,38-00100,22,3,5,490,19481
2,N,1,2,N,0,36-04010,21,2,3,58,21966
1,1,1,1,0,0,13-04600,65,1,4,487,5922
1,6,1,0,7,0,17-03529,25,N,N,61,7719
2,1,1,2,6,0,51-51255,68,0,12,48,22335
1,N,1,2,N,0,19-01700,6,3,4,493,22190
1,1,1,1,6,0,51-51255,52,0,2,492,19010
2,6,1,2,3,0,13-04600,29,0,N,55,4283
2,1,1,1,0,0,38-00100,68,1,2,414,18006
1,N,1,1,N,0,36-04010,19,1,3,49,21219
1,4,2,1,3,4,28-01100,31,0,3,391,15831
2,4,1,2,2,0,19-01700,30,0,6,343,6558
2,6,1,2,7,0,08-00803,33,0,4,484,18040
1,1,1,1,0,0,28-01100,35,1,5,385,12940
1,6,1,1,3,0,17-03529,31,0,4,267,7129
1,1,1,1,9,0,26-02702,79,0,2,480,5523
1,1,1,2,0,0,06-07502,49,2,3,493,18507
2,N,1,1,N,0,17-03531,29,1,3,501,25671
1,5,1,1,9,0,19-01700,83,0,12,483,26597
1,6,1,2,0,0,13-04600,24,N,N,68,5616
1,6,1,2,4,0,28-01100,34,0,9,392,14436
1,1,1,1,9,0,13-04600,28,2,2,480,1275
2,1,8,1,3,0,38-00100,30,0,2,123,19120
2,6,1,2,7,1,38-00100,33,N,9,67,19033
2,1,1,1,4,0,29-01901,28,1,3,249,13941
2,1,1,1,8,0,13-04600,68,0,2,474,1690
2,6,1,2,6,0,38-00100,66,0,9,61,21091
2,1,1,2,0,0,36-04010,62,0,12,299,19753
2,6,1,2,3,4,36-03710,38,0,3,48,13982
2,1,1,2,4,0,29-01901,16,1,4,499,11874
2,6,1,2,3,0,30-00600,30,0,12,409,19892
2,N,1,2,N,0,38-00100,2,2,5,249,25098
1,6,1,2,9,0,40-00200,18,1,4,56,18332
2,N,1,2,N,0,08-00803,21,3,5,486,25359
1,6,1,2,4,0,24-01004,27,0,9,82,6990
1,6,1,2,6,0,51-51255,38,0,N,487,21704
2,1,1,2,N,0,19-01700,25,2,3,495,21670
2,6,1,2,4,0,51-01301,30,0,2,273,21378
1,1,1,1,9,0,17-03529,51,2,12,491,5494
1,1,1,1,5,0,32-00405,77,0,N,482,15511
1,1,1,1,3,0,24-01004,83,0,2,51,20804
1,6,2,2,3,0,36-04010,63,0,3,186,17643
2,1,1,1,5,0,29-01901,71,0,12,55,19770
2,6,8,2,0,0,29-01901,24,2,2,6,6657
1,N,1,2,9,0,51-01301,26,1,4,500,19249
2,N,1,1,9,0,13-04600,25,3,3,145,20904
2,N,1,1,N,0,29-01901,26,2,3,484,26054
2,1,1,1,3,0,24-01004,51,0,12,64,12569
2,4,1,1,9,0,06-08507,46,1,3,382,22197
2,1,1,2,4,0,28-01100,29,1,9,76,13273
2,6,1,2,7,0,51-01301,31,0,N,63,22908
2,1,1,2,0,0,17-03531,74,1,2,493,4460
2,N,1,2,9,0,51-01301,25,2,3,487,21726
1,N,1,1,N,0,36-03710,3,3,3,494,26775
1,6,1,0,4,0,30-00600,43,N,N,N,14844
2,2,1,2,7,0,24-01004,24,0,9,63,5057
