SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE,target
2,1,1,1,1,8,44,1,N,2,10927
1,1,1,1,7,8,45,1,N,2,17313
2,1,9,1,2,6,52,1,N,2,6455
2,6,6,0,3,8,64,1,N,2,1486
1,N,1,1,9,8,14,1,N,2,14065
1,6,2,2,9,2,23,1,N,2,24863
1,6,1,2,9,8,24,1,N,2,18650
2,1,3,2,0,8,50,1,N,2,16666
1,N,9,2,7,2,25,1,N,2,11697
2,3,1,2,1,6,76,1,N,2,15961
1,N,8,2,9,2,16,1,N,2,25212
1,N,1,2,N,2,6,1,N,2,26363
2,N,6,2,9,8,49,1,N,2,26497
2,6,1,2,7,7,46,1,N,2,8080
2,1,6,1,1,6,49,1,N,2,9770
1,6,6,0,1,6,18,3,N,2,10506
1,1,1,1,1,1,67,1,N,2,20119
1,6,1,2,1,1,33,1,N,2,13613
1,1,1,1,9,8,62,1,N,2,24404
2,6,1,1,1,2,20,1,N,2,17785
2,1,6,0,1,6,49,1,N,2,12128
1,6,1,1,7,8,18,1,N,2,24316
2,1,2,1,1,6,80,1,N,2,11735
2,6,6,1,3,1,32,1,N,2,5424
1,1,2,1,1,6,49,1,N,2,3614
1,6,6,2,1,8,30,1,N,2,11298
1,1,6,1,6,8,47,1,N,2,16944
2,4,2,2,1,6,56,1,N,2,4720
2,4,1,2,1,1,52,1,N,2,11673
2,1,1,1,1,6,49,1,N,2,9797
1,1,1,1,7,1,47,1,N,2,16925
1,6,2,1,4,6,44,1,N,2,6063
1,N,1,1,N,2,21,1,N,2,24226
2,4,3,2,1,6,34,1,N,2,11436
1,N,1,2,9,2,2,1,N,2,23966
1,2,1,1,6,8,22,1,N,2,3270
2,6,1,1,1,8,28,1,N,2,11180
2,1,8,1,7,1,51,1,N,2,18364
2,6,1,0,1,6,21,3,N,2,7811
1,6,6,1,4,8,24,1,N,2,4555
2,4,9,1,1,3,83,1,N,2,13150
2,3,9,1,1,4,52,1,N,1,19528
1,6,2,2,1,6,48,1,N,2,19202
2,6,1,1,1,1,55,1,N,2,13752
1,4,2,1,7,8,22,1,N,2,9867
2,1,1,1,1,6,27,1,N,2,11524
