,HISP,PUMA,PINCP_DECILE,MSP,DENSITY,OWN_RENT,DREM,SEX,NPF,HOUSING_TYPE,RAC1P,INDP_CAT,DVET,NOC,EDU,DEYE,DEAR,DPHY,AGEP
HISP,6.572520305780927e-14,-0.20631623811860736,0.06684732103516676,-0.06179989916895376,-0.06680745703496434,0.018160968371459058,0.05929917158010302,0.09197236919857671,0.012940396505763542,-0.15012142960713257,-0.2504143896333635,-0.10567511430927581,-0.07261480523471353,-0.1281478698127816,0.1536259933949003,0.05125065126670187,0.02392872296016509,0.09842741832886637,0.030417909378081268
PUMA,-0.20631623811860736,-2.1760371282653068e-14,0.03959700551527889,0.1120714514407182,0.14758519215556135,-0.09029301510481766,0.0013503087727507572,-0.08783854040006238,-0.12299303722648536,0.171843656483157,0.11186877569433554,0.22557238954493322,0.07279381165658076,0.004699663659665315,0.04026302134352275,-0.05169691877646894,-0.013310060152015996,-0.03979885431688289,0.0972744416542941
PINCP_DECILE,0.06684732103516676,0.03959700551527889,0.0,-0.1444682441719559,-0.06677988827735976,-0.011942339614941302,-0.33275350543053267,0.057302824279351516,0.15430595064714098,0.15114741625518738,0.11962068799438659,-0.4990054988030707,-0.09376445409639131,0.27051403806548663,-0.7063379091115916,-0.03830416316122577,0.044888316694086355,-0.3141240916143755,-0.4366376748067652
MSP,-0.06179989916895376,0.1120714514407182,-0.1444682441719559,9.381384558082573e-14,-0.24784724979805173,-0.06166646827238481,-0.3114121759600552,-0.030185945617853184,0.485081712768263,-0.20806788309560711,0.04305477625480945,-0.23493280783503884,0.08325875228790273,0.49577059527935335,-0.3104470189001479,0.010123570996098383,-0.01117573696237558,-0.3300924638119367,-0.04506817391549074
DENSITY,-0.06680745703496434,0.14758519215556135,-0.06677988827735976,-0.24784724979805173,7.061018436615996e-14,-0.1135198648697867,0.01623384051558744,0.050172277036980274,0.1509001529330754,-0.13069326630234532,-0.2091728663899128,-0.17133009753811798,-0.03519737965053754,-0.031202790979363487,-0.04873606928036503,0.03872125132130682,-0.039736355139177414,0.026045322260870165,-0.021637472265314664
OWN_RENT,0.018160968371459058,-0.09029301510481766,-0.011942339614941302,-0.06166646827238481,-0.1135198648697867,-5.950795411990839e-14,0.05705642875760494,0.07515487940142665,0.002028918689255102,0.4245339538845486,-0.13516602362315905,-0.20046779106646584,-0.0585291470961275,-0.2758431215094609,0.10651259575928694,0.05837889912733557,-0.0024026905217093344,0.10602462411236913,0.07310069731071737
DREM,0.05929917158010302,0.0013503087727507572,-0.33275350543053267,-0.3114121759600552,0.01623384051558744,0.05705642875760494,-1.0880185641326534e-14,-0.005849852186444949,0.19695129848843063,-0.046090189038798926,0.031410807174681844,-0.299048528668927,-0.039322198758536535,0.14790483249297484,-0.47068422003055543,-0.015506266899643708,-0.019010208551385806,-0.8627753806994489,-0.33381646024330003
SEX,0.09197236919857671,-0.08783854040006238,0.057302824279351516,-0.030185945617853184,0.050172277036980274,0.07515487940142665,-0.005849852186444949,-1.6653345369377348e-15,0.0228594879968144,-0.048957665726046845,-0.048078782035543825,-0.1743483154572607,0.02898180081870594,-0.09223324009619399,0.008003564726385089,0.027291946197271662,-0.010132090878765668,0.044542292408187106,-0.08540320507150542
NPF,0.012940396505763542,-0.12299303722648536,0.15430595064714098,0.485081712768263,0.1509001529330754,0.002028918689255102,0.19695129848843063,0.0228594879968144,6.472600233564663e-14,0.27701857098531935,-0.11582719424565074,0.039924647535902955,-0.00020367572571755588,-0.7392846988910077,0.33954540759939317,-0.03458569051309422,-0.07570679779007246,0.1639886204642953,0.24956016376885165
HOUSING_TYPE,-0.15012142960713257,0.171843656483157,0.15114741625518738,-0.20806788309560711,-0.13069326630234532,0.4245339538845486,-0.046090189038798926,-0.048957665726046845,0.27701857098531935,1.6986412276764895e-13,0.044173077425320055,0.16805861582200804,0.08675659851620077,0.42554252116343283,-0.04033394817548468,-0.013602538817469537,-0.008356322187853985,-0.10156370848165187,0.1210281433395281
