,INDP,count_target,count_deidentified
14,4670,53,27.0
25,4680,14,43.0
3,4690,25,16.0
17,4770,28,16.0
20,4780,3,27.0
12,4795,21,62.0
2,4870,38,38.0
27,4880,11,47.0
7,4890,13,11.0
0,4971,76,51.0
16,4972,9,6.0
22,4980,5,10.0
21,4990,2,65.0
8,5070,33,37.0
10,5080,18,56.0
15,5090,22,30.0
5,5170,26,40.0
33,5180,2,26.0
19,5190,6,31.0
9,5275,19,25.0
1,5280,2,16.0
29,5370,3,26.0
18,5381,19,76.0
11,5391,101,81.0
24,5470,4,16.0
28,5480,3,16.0
4,5490,13,54.0
30,5570,7,5.0
6,5580,39,54.0
26,5593,20,38.0
32,5670,1,27.0
31,5680,4,5.0
23,5690,11,68.0
13,5790,12,0.0
