,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,68,2,6,2,2,N,5,8,4,1,7,1,1,3,1,255000.0,3,267,48-02510,1,1,38,2,7,2,2,2,N,1,1,3,59600.0,7,501,46.15384615384615
1,7,1,5,1,N,N,1,10,0,3,11,1,N,2,1,68190.0,9,354,48-02101,2,1,46,2,2,2,2,2,N,1,4,6,83000.0,8,495,0.0
2,37,2,6,2,1,2,4,4,1,2,11,2,1,4,1,21200.0,5,363,48-02102,1,1,62,2,2,2,2,2,N,1,0,4,20000.0,4,501,30.76923076923077
3,80,1,6,2,1,1,1,10,1,2,12,1,2,7,1,16800.0,8,94,48-02507,1,2,70,2,7,2,2,2,N,1,0,3,517700.0,9,501,7.6923076923076925
4,23,2,6,2,1,2,6,3,2,1,N,N,3,13,1,80200.0,1,444,48-02516,8,2,13,2,5,2,2,2,N,1,3,5,N,N,261,38.46153846153847
5,40,1,6,2,2,N,N,5,0,1,7,1,3,8,2,105000.0,3,397,48-02516,1,2,28,2,5,2,2,2,N,1,2,4,20000.0,4,194,30.76923076923077
6,32,2,6,2,1,N,5,9,0,3,9,1,1,N,1,30200.0,6,335,48-02515,6,1,38,2,6,2,2,2,N,1,0,2,583000.0,9,501,23.076923076923077
7,63,1,6,2,1,2,1,1,1,3,12,1,11,3,1,46200.0,8,242,48-02510,8,2,43,2,7,2,2,2,N,1,1,5,21000.0,4,292,15.384615384615385
8,49,1,6,2,1,N,2,9,0,1,N,3,N,11,1,34300.0,9,58,48-02515,1,2,92,1,6,1,1,2,N,1,0,3,20000.0,4,501,30.76923076923077
9,77,1,6,1,2,N,4,7,0,1,11,6,1,N,1,40590.0,9,52,48-02101,1,2,20,2,2,2,2,2,N,1,2,6,3000.0,1,474,15.384615384615385
10,38,2,6,1,N,N,N,10,0,2,5,1,0,5,1,57000.0,5,209,48-02507,1,1,32,2,7,2,2,2,N,1,0,2,70000.0,8,501,23.076923076923077
11,25,1,6,2,1,1,2,9,0,3,11,1,3,5,1,21300.0,N,406,48-02101,9,1,29,2,2,2,2,2,N,1,0,6,0.0,0,501,7.6923076923076925
12,67,2,6,2,N,N,2,4,2,2,N,6,6,5,2,125400.0,7,260,48-02507,1,1,15,2,7,2,2,2,N,1,3,6,0.0,0,449,15.384615384615385
13,73,1,5,1,1,2,6,9,0,1,15,4,1,8,2,42600.0,5,426,48-02101,1,2,46,2,2,2,2,2,N,1,1,4,70000.0,8,355,23.076923076923077
14,5,2,5,1,2,2,N,5,1,3,7,2,N,N,2,28000.0,7,223,48-02101,1,2,25,2,2,2,2,2,N,1,0,N,0.0,0,0,38.46153846153847
15,3,1,6,2,N,N,1,6,1,3,14,1,0,3,1,156100.0,3,409,48-02102,1,1,68,2,2,2,2,2,N,1,0,3,68400.0,8,501,23.076923076923077
16,87,2,6,1,2,N,6,5,0,3,10,4,11,2,1,81700.0,4,339,48-02101,1,2,67,2,2,2,1,2,N,1,0,2,52100.0,7,447,15.384615384615385
17,18,1,6,2,1,1,1,5,0,3,N,2,N,13,1,15500.0,1,357,48-02102,2,1,43,2,2,2,2,2,N,1,0,7,0.0,0,351,7.6923076923076925
