,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,50,2,6,1,2,2,N,9,0,1,4180,4,4,0,N,1,90200.0,9,501,25-00703,33.0,1,1,76.0,61,2,6,2,2,2,N,1,2370,0,N,206100.0,9,501,127,127,62.5
1,4,2,7,2,N,2,N,1,0,1,N,N,N,2,4,1,N,N,501,25-00503,184.0,6,2,179.0,5,2,7,2,2,2,N,1,N,2,5,N,N,501,110,166,68.75
2,64,2,5,2,2,2,N,5,0,1,3970,15,4,0,2,1,95000.0,3,306,25-01300,33.0,1,2,25.0,68,2,5,2,2,2,N,1,9160,0,N,20400.0,3,168,60,60,56.25
3,42,2,6,2,2,2,N,9,0,1,9290,12,1,0,N,1,0.0,0,501,25-00703,33.0,6,1,25.0,45,2,6,2,2,2,N,1,8191,2,7,100000.0,8,501,158,158,50.0
4,55,2,7,2,2,2,N,12,0,1,7460,10,1,0,3,1,144000.0,4,143,25-00503,234.0,1,2,230.0,44,2,7,2,2,2,N,1,7460,0,2,378100.0,9,501,116,111,56.25
5,21,2,5,2,2,2,N,8,0,1,8680,14,6,0,2,1,30000.0,4,65,25-01300,134.0,1,1,76.0,27,2,5,2,2,2,N,1,8680,0,3,25000.0,4,501,145,100,62.5
6,89,1,5,2,2,2,N,5,0,1,N,N,4,0,4,1,69010.0,3,501,25-01300,33.0,1,2,25.0,74,2,5,2,2,2,N,1,N,0,3,11100.0,2,54,173,173,50.0
7,66,2,7,2,2,1,N,9,0,1,9290,4,4,0,2,2,233130.0,4,366,25-00503,335.0,1,2,332.0,59,2,7,2,2,2,N,1,3380,0,N,88000.0,8,501,81,81,43.75
8,55,2,6,2,2,2,N,9,0,1,4990,12,4,0,N,2,199000.0,8,501,25-01000,134.0,1,2,128.0,68,2,6,2,2,2,N,1,7980,0,N,52600.0,6,432,120,120,56.25
9,6,2,5,2,2,2,N,4,0,1,7870,11,1,4,6,1,N,N,501,25-01300,83.0,1,2,76.0,56,2,5,2,2,2,N,1,7860,1,3,14400.0,3,459,105,105,43.75
10,60,2,6,2,2,2,N,5,0,1,8891,15,1,0,2,2,50000.0,6,138,25-00703,83.0,1,1,76.0,58,2,6,2,2,2,N,1,8770,1,3,70000.0,7,501,67,68,43.75
11,12,2,7,2,2,2,N,2,0,1,N,N,N,2,4,1,N,N,498,25-00503,33.0,6,1,25.0,7,2,7,2,2,2,N,1,N,1,6,N,N,501,65,43,62.5
12,28,2,6,2,2,2,N,10,0,1,7860,11,3,1,2,1,130100.0,4,147,25-01000,83.0,1,2,76.0,68,2,6,2,2,2,N,1,7860,0,N,55000.0,6,451,50,50,50.0
13,43,2,6,2,2,2,N,1,0,1,9290,6,6,1,3,1,70830.0,9,501,25-01000,83.0,1,2,76.0,27,2,6,2,2,1,N,1,5580,0,4,20000.0,3,501,144,90,43.75
14,70,2,6,2,2,N,N,8,0,1,8590,14,6,0,4,1,N,N,501,25-00703,33.0,1,1,25.0,26,2,6,2,2,2,N,1,8590,0,4,21000.0,3,501,148,133,62.5
15,71,2,7,2,1,2,N,6,0,1,N,N,1,0,2,1,86000.0,5,501,25-00503,83.0,1,2,76.0,56,2,7,2,2,2,N,1,N,0,6,0.0,0,365,89,114,50.0
16,16,2,6,2,1,2,N,4,0,1,770,3,6,1,3,2,2000.0,1,69,25-00703,134.0,1,1,128.0,37,2,6,2,2,2,N,1,770,0,N,65000.0,7,494,75,78,43.75
17,18,2,5,2,2,2,N,7,0,3,4971,6,6,0,3,2,52500.0,5,152,25-01300,184.0,1,1,25.0,26,2,5,2,2,1,N,1,5391,0,N,60000.0,6,454,65,65,37.5
18,30,2,7,2,2,2,N,9,0,1,7870,11,1,0,2,2,251200.0,2,189,25-00503,83.0,1,2,76.0,43,2,7,2,2,2,N,1,7860,0,2,26000.0,4,501,49,49,56.25
19,21,2,5,2,2,2,N,7,0,1,7680,4,6,0,N,2,19800.0,1,145,25-01300,33.0,1,1,25.0,27,2,5,2,2,2,N,1,3390,0,N,39000.0,5,294,122,121,56.25
20,56,2,5,2,2,2,N,5,0,1,1880,15,1,0,4,1,85400.0,8,501,25-01300,134.0,1,1,128.0,47,2,5,2,2,2,N,1,8770,2,4,35000.0,5,427,62,62,50.0
21,27,1,7,2,2,1,N,7,0,3,7480,7,6,0,2,2,42900.0,6,409,25-02800,83.0,1,1,76.0,26,2,7,2,2,2,N,1,6290,0,N,70000.0,7,501,212,212,31.25
22,20,2,7,2,2,2,N,7,0,1,5570,6,6,N,N,2,16000.0,2,206,25-00503,83.0,1,1,128.0,22,2,7,2,2,2,N,1,5170,0,4,16000.0,3,501,78,97,50.0
23,27,1,6,2,2,2,N,4,0,1,4770,14,6,0,4,1,60000.0,6,501,25-00703,83.0,1,1,76.0,17,2,6,2,2,2,N,1,8590,2,4,3700.0,1,501,54,70,50.0
24,44,2,5,2,2,2,N,11,0,1,7970,12,1,2,4,1,60000.0,6,501,25-01300,234.0,6,2,435.0,34,2,5,2,2,2,N,1,8270,2,4,0.0,0,501,160,92,62.5
25,32,2,5,2,2,2,N,9,0,1,9470,16,6,1,2,2,60000.0,6,271,25-01300,134.0,1,1,76.0,25,2,5,2,2,2,N,1,9590,0,N,36100.0,5,275,96,96,43.75
26,20,2,6,2,2,2,N,7,0,1,4380,12,6,0,2,1,113850.0,7,501,25-01000,33.0,1,2,25.0,26,2,6,2,2,2,N,1,8290,1,2,36000.0,5,274,46,51,50.0
27,63,2,6,2,2,2,N,9,0,1,N,N,3,0,2,2,147000.0,7,501,25-01000,33.0,1,2,76.0,71,2,6,2,1,1,N,1,N,0,N,18500.0,3,151,182,182,43.75
28,50,2,6,2,2,2,N,10,0,1,8680,14,6,2,4,1,39700.0,9,501,25-01000,335.0,1,2,332.0,56,2,6,2,2,2,N,1,8564,0,N,35000.0,5,263,63,63,43.75
29,23,2,6,2,2,2,N,6,0,1,7380,10,6,0,2,1,5900.0,3,311,25-00703,33.0,1,2,76.0,48,2,6,2,2,2,N,1,7790,2,3,80000.0,7,501,76,80,43.75
30,9,2,6,2,2,2,N,3,4,1,N,N,N,2,3,1,N,N,501,25-01000,134.0,1,2,76.0,14,2,6,2,2,2,N,1,N,1,6,N,N,501,64,116,68.75
31,47,2,6,2,2,2,N,10,0,1,770,3,1,0,4,1,24000.0,9,501,25-01000,83.0,1,1,76.0,36,2,6,2,2,2,N,1,770,0,2,122000.0,8,501,78,71,62.5
32,59,2,6,2,2,2,N,9,0,1,5680,5,1,0,3,1,N,N,501,25-00703,83.0,1,2,76.0,35,2,6,2,2,2,N,1,4170,0,2,100000.0,8,501,204,192,56.25
33,57,2,6,2,2,2,N,9,0,1,3095,4,3,0,N,1,70000.0,7,501,25-00703,386.0,1,2,332.0,57,2,6,2,2,2,N,1,1170,0,N,159000.0,9,501,90,90,68.75
