,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET,DEYE
AGEP,0.0,-0.010501124343016068,0.03166358128592198,0.0749593994122807,,0.011957450837116551,0.12243395450907946,0.09686498204079508,,
SEX,-0.010501124343016068,-1.6653345369377348e-15,0.007341063279458214,0.0021027862550818278,,-0.00859857917682611,-0.03228382414744646,0.12795871858005495,,
MSP,0.03166358128592198,0.007341063279458214,0.0,-0.052102753858454795,,-0.029583140618225135,0.08801767062247245,0.06637651828155175,,
RAC1P,0.0749593994122807,0.0021027862550818278,-0.052102753858454795,0.0,,-0.03399451659533094,0.04056040392679227,0.04366866451246342,,
HOUSING_TYPE,,,,,,,,,,
OWN_RENT,0.011957450837116551,-0.00859857917682611,-0.029583140618225135,-0.03399451659533094,,-1.6653345369377348e-15,0.001853663618279322,-0.028873835126195443,,
EDU,0.12243395450907946,-0.03228382414744646,0.08801767062247245,0.04056040392679227,,0.001853663618279322,3.3306690738754696e-15,-0.022990645028718726,,
PINCP_DECILE,0.09686498204079508,0.12795871858005495,0.06637651828155175,0.04366866451246342,,-0.028873835126195443,-0.022990645028718726,0.0,,
DVET,,,,,,,,,,
DEYE,,,,,,,,,,
