SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,target
2,N,1,1,9,0,25-01300,18,3,5,498,6899
2,N,1,1,9,0,25-00703,18,3,5,500,7036
2,6,1,1,4,0,25-01000,80,0,N,499,3321
2,6,1,2,5,0,25-01300,33,0,N,498,5282
2,N,1,1,9,0,25-00703,17,2,4,500,6828
2,4,1,2,6,0,25-01000,70,0,5,499,3778
2,N,1,1,9,0,25-00703,19,0,4,500,6931
2,1,1,1,6,0,25-01000,44,1,2,501,5725
2,6,1,2,5,0,25-01000,72,1,N,499,5595
2,6,1,1,5,0,25-00703,47,0,N,498,5154
2,6,1,2,5,0,25-01300,76,0,N,499,3969
2,N,1,2,6,0,25-01000,69,0,N,500,3255
2,6,1,1,0,0,25-01300,52,1,4,500,5425
2,6,1,2,4,0,25-01300,61,0,N,499,3679
2,N,1,1,9,0,25-00703,22,2,4,498,7069
2,3,1,1,4,0,25-01300,66,0,N,500,5553
2,6,1,1,6,0,25-01000,67,0,N,500,3291
2,6,1,2,5,0,25-01000,71,0,N,500,3262
2,6,1,2,5,0,25-01300,67,0,N,499,3455
2,6,1,2,2,0,25-01300,28,0,N,99,4753
2,6,1,2,5,0,25-01000,57,0,N,500,5604
2,5,1,2,5,0,25-01000,54,0,N,500,4093
2,3,1,1,6,0,25-01000,52,0,N,500,3361
2,6,1,0,0,0,25-01300,62,N,N,500,5008
2,6,1,2,5,0,25-02800,59,0,N,500,3376
2,6,1,1,6,0,25-01000,60,0,N,499,3557
1,6,1,2,5,0,25-01300,30,0,N,500,5567
2,N,1,1,9,0,25-00703,14,2,5,500,6863
2,6,1,2,0,0,25-00503,65,0,N,500,3010
2,6,1,2,6,0,25-01300,56,0,N,499,3459
2,N,1,1,9,0,25-00703,17,2,5,501,6727
2,6,1,2,6,0,25-01000,66,0,5,500,3693
2,1,1,2,4,0,25-01300,78,0,5,498,4061
2,N,1,1,9,0,25-00703,14,3,4,500,6722
2,6,1,2,0,0,25-00703,25,0,N,90,2654
2,6,1,2,5,0,25-01300,62,0,N,500,5064
1,6,1,1,6,0,25-01000,69,0,3,500,5728
2,6,1,2,6,0,25-01300,63,0,N,N,4657
1,1,1,1,8,0,25-00703,76,0,N,500,3670
2,6,1,2,4,0,25-00703,32,0,N,498,2575
1,1,1,1,5,0,25-01300,66,0,3,500,5679
1,6,1,2,6,0,25-01300,71,0,N,500,3688
2,6,1,2,3,0,25-01300,52,0,N,500,3384
2,6,1,2,5,0,25-01300,59,0,N,500,5217
2,6,1,2,5,0,25-01300,69,0,N,499,5050
2,6,1,2,7,0,25-00703,62,0,N,501,3160
2,6,1,1,9,0,25-00703,47,2,6,500,7064
2,3,1,1,6,0,25-00703,69,3,N,501,3330
2,6,1,2,5,0,25-01000,79,0,N,499,5400
2,N,1,1,9,0,25-02800,12,0,6,501,6827
2,6,1,2,8,0,25-01000,55,0,N,500,5105
2,6,1,2,6,0,25-01000,32,0,N,499,3791
2,6,1,2,4,0,25-01000,86,0,5,500,4970
2,3,1,2,5,0,25-01000,71,0,N,500,3642
2,6,1,2,0,0,25-01000,51,0,N,500,5107
1,3,1,1,9,0,25-01000,46,1,N,500,3967
2,6,1,2,6,0,25-01000,67,0,6,501,4963
2,6,1,2,3,0,25-01000,74,0,N,498,5207
2,N,1,1,9,0,25-00703,17,2,4,500,7015
2,1,1,1,5,0,25-01000,54,0,N,500,3476
2,6,1,2,5,0,25-01300,36,0,N,500,5630
2,N,1,1,9,0,25-00703,14,3,N,500,6930
2,3,1,2,5,0,25-01000,18,0,N,500,5737
2,N,1,1,8,0,25-01000,53,0,4,500,5563
2,N,1,2,9,0,25-00703,17,3,5,500,6927
2,N,1,1,9,0,25-01300,16,2,5,499,6902
2,6,1,2,5,0,25-01000,66,0,N,499,3075
2,N,7,1,9,0,25-01300,11,3,9,500,6907
2,3,1,1,8,0,25-01000,56,0,5,500,3874
2,6,1,2,5,0,25-01000,53,0,N,500,3511
2,6,1,1,4,0,25-01300,56,0,N,500,3703
2,6,1,1,5,0,25-01300,57,0,5,501,5297
2,6,6,1,6,0,25-01000,47,3,N,501,3871
2,6,1,2,6,0,25-01300,63,0,N,501,3398
1,6,1,2,4,0,25-01300,70,0,N,499,3578
1,6,1,2,6,0,25-00703,55,0,5,499,3393
2,6,1,0,0,0,25-00703,69,0,N,499,3316
2,6,1,2,5,0,25-01000,60,0,N,500,3437
1,3,1,2,6,0,25-01300,31,3,N,501,5713
2,6,1,2,5,0,25-01300,54,0,N,500,2811
2,N,1,2,9,0,25-01000,21,3,5,499,7133
2,6,1,2,6,0,25-01300,40,0,5,500,5404
2,6,1,2,6,0,25-01300,55,0,N,501,5323
2,6,1,2,4,0,25-01000,60,0,N,499,5705
2,N,1,1,9,0,25-00703,20,2,4,501,7021
2,6,1,2,6,0,25-01000,65,0,N,501,3169
2,N,1,1,7,0,25-01300,12,3,N,500,6997
2,6,1,1,6,0,25-01000,13,2,9,498,4042
2,6,1,2,2,3,25-01000,52,1,5,499,3621
2,N,1,1,9,0,25-01000,18,2,5,51,6843
2,3,1,1,5,0,25-01000,61,0,N,500,5766
2,N,1,1,9,0,25-00703,13,2,4,500,6687
2,6,1,2,5,0,25-01300,67,0,N,499,3595
2,N,1,1,6,0,25-00703,16,1,4,501,7057
2,6,1,2,3,0,25-00703,25,0,N,191,2893
2,1,1,1,9,0,25-01000,15,0,4,500,3898
2,6,1,2,6,0,25-01300,77,0,3,501,3905
2,6,1,1,4,0,25-01000,62,0,N,499,5793
2,1,1,1,4,0,25-01300,75,1,5,501,5630
1,6,1,2,2,0,25-01300,66,1,N,498,5723
2,N,1,1,9,0,25-00703,12,3,4,500,7094
1,1,1,1,5,0,25-01300,49,1,N,501,1824
2,6,1,1,9,0,25-00503,75,N,N,96,3011
2,1,1,2,6,0,25-01000,28,0,N,51,5530
2,N,1,2,9,0,25-00503,11,3,5,51,6713
2,N,1,1,9,0,25-00703,22,3,5,500,7001
2,1,1,2,3,0,25-01000,52,0,N,500,3668
2,N,1,1,3,0,25-00703,54,3,4,500,7042
2,2,1,2,5,0,25-01000,56,0,5,500,3670
1,1,1,2,3,0,25-00703,53,0,N,499,5493
2,6,1,1,8,0,25-01000,54,0,N,500,3541
2,6,1,2,3,0,25-01300,49,0,N,414,3872
2,6,1,2,4,0,25-01300,83,0,N,500,5482
2,6,1,1,5,0,25-01300,68,4,N,500,3960
2,6,1,2,3,0,25-00703,29,0,N,499,5103
2,6,1,2,4,0,25-01000,60,0,N,499,3398
2,6,1,2,3,0,25-01000,68,0,N,499,3883
2,6,1,2,9,0,25-00703,11,0,5,501,2835
1,6,1,1,4,2,25-00703,41,2,3,94,6943
2,6,1,1,5,0,25-01000,55,0,6,501,3279
2,3,1,1,6,0,25-01300,51,0,5,500,3811
2,6,1,2,4,0,25-01300,46,2,N,499,6800
2,6,1,2,3,0,25-00703,83,0,5,28,5298
2,6,1,2,4,0,25-01300,64,0,N,500,5016
2,6,1,2,5,0,25-01000,62,0,N,499,3486
2,6,1,1,4,0,25-02800,80,3,7,501,3774
2,N,1,2,8,0,25-00703,15,3,4,499,5476
2,3,1,1,0,0,25-01000,44,4,4,501,6747
2,6,1,2,3,0,25-01000,28,0,N,500,3906
1,4,1,2,3,0,25-02800,84,3,N,51,3948
2,3,1,1,6,0,25-01000,55,0,N,499,5238
1,6,1,2,0,4,25-00503,27,0,N,98,2898
2,N,1,1,9,0,25-00703,21,2,4,500,6838
2,6,1,2,4,0,25-00703,71,0,N,499,5516
2,6,1,2,5,0,25-00703,46,0,N,500,3192
2,6,1,1,4,0,25-01300,51,0,N,501,5620
2,6,1,2,0,0,25-01300,43,2,4,500,6035
2,N,1,1,5,0,25-01000,52,3,2,501,5060
2,6,1,2,4,0,25-00703,49,0,N,499,3558
2,N,1,2,9,0,25-01000,51,4,5,500,7079
2,6,1,2,6,4,25-00703,65,0,N,500,5349
2,1,1,1,3,0,25-01000,52,0,N,501,3414
2,6,1,1,3,0,25-00703,79,3,5,500,5341
1,N,1,1,9,0,25-00703,11,3,4,501,6898
2,N,1,1,6,0,25-01000,46,0,3,500,4037
2,6,1,2,5,0,25-01300,52,0,N,499,3143
2,6,1,2,5,0,25-01000,31,0,N,499,2936
2,N,1,1,N,0,25-00703,22,2,4,500,6732
2,6,1,1,8,0,25-02800,48,0,2,500,3784
2,N,1,1,9,0,25-00703,19,3,4,501,6781
2,3,1,1,6,0,25-00703,54,0,N,500,3578
2,6,1,2,3,4,25-00503,25,0,N,93,5027
2,6,1,1,5,0,25-00703,55,0,N,500,5250
2,N,1,1,9,0,25-01300,15,3,5,500,6792
2,6,1,1,5,0,25-01300,58,0,N,500,3469
2,N,1,1,9,0,25-01000,14,2,5,501,6568
1,N,1,1,9,0,25-00703,14,4,5,501,6676
1,3,1,1,6,0,25-01000,49,0,N,499,5469
2,N,1,1,9,0,25-00703,18,3,3,500,6901
2,6,1,1,5,0,25-01000,57,0,N,500,3486
2,6,1,2,2,0,25-00703,69,0,2,500,3490
2,3,1,2,9,0,25-00703,22,N,3,500,3560
2,N,9,1,9,0,25-00703,10,3,4,501,6880
2,N,1,1,9,0,25-00703,13,2,4,500,6896
2,N,1,1,9,0,25-00703,19,4,6,500,7006
2,N,1,1,9,0,25-01000,51,0,5,500,5935
2,3,1,1,9,0,25-00703,40,1,4,500,3592
2,6,1,1,3,0,25-01000,46,0,6,164,5253
2,6,1,2,6,0,25-01300,49,0,N,500,3220
1,6,1,2,6,0,25-00703,45,0,N,500,4911
2,1,1,2,5,0,25-01300,53,3,5,500,3696
1,6,1,1,4,0,25-01000,59,0,2,500,4136
2,6,1,2,0,0,25-00703,11,0,N,16,1821
2,6,1,1,6,0,25-00703,46,0,N,500,5704
2,6,1,2,4,0,25-01300,67,0,N,498,3897
2,6,1,2,6,0,25-00703,28,0,N,500,266
2,N,1,1,9,0,25-00703,17,2,4,501,6924
2,6,1,2,9,0,25-00703,13,2,N,500,3099
2,6,1,2,5,0,25-01000,65,0,N,499,3530
2,3,1,1,6,0,25-02800,68,0,N,500,3493
2,6,1,2,5,0,25-01300,61,0,N,500,3717
2,N,1,1,9,0,25-00703,21,3,5,501,6774
2,6,1,1,0,0,25-01000,26,0,N,499,5076
2,6,1,2,4,0,25-00703,64,0,N,500,2197
2,6,1,2,6,0,25-00503,26,0,N,451,2953
2,6,1,1,5,0,25-00703,47,N,N,499,5484
2,6,1,2,5,0,25-01300,76,0,N,500,5157
2,N,1,1,3,0,25-00703,69,3,2,501,1704
2,6,1,2,4,0,25-01300,57,0,5,500,3882
2,6,1,2,6,0,25-01000,70,0,2,500,5583
2,1,1,1,6,0,25-01300,68,3,5,501,3651
2,3,1,2,0,0,25-01300,85,0,2,500,1981
2,6,1,2,4,0,25-01300,32,0,N,499,2717
2,6,1,2,5,0,25-00503,57,1,4,500,3798
2,6,1,2,6,0,25-01000,67,2,N,501,3637
1,1,1,2,9,4,25-01000,51,0,5,500,1897
2,N,1,0,0,0,25-01000,17,0,2,500,3557
2,N,1,1,9,0,25-00703,16,4,4,499,6935
2,N,1,1,9,0,25-00703,27,0,5,500,6957
2,6,1,1,6,0,25-01000,12,0,N,500,1420
2,6,1,2,5,0,25-01300,55,0,N,500,5669
2,3,1,1,3,0,25-00503,67,0,N,51,5780
2,N,1,1,9,0,25-00703,13,2,4,51,6883
2,6,1,2,5,0,25-01000,30,0,N,500,3477
2,6,1,2,5,0,25-00703,56,0,N,500,3825
2,2,1,1,3,0,25-01300,13,0,N,499,7015
2,6,1,2,6,0,25-01000,49,4,5,500,5541
2,6,1,2,6,0,25-00703,68,3,2,500,5331
2,1,1,2,3,0,25-00703,62,0,N,500,3760
2,6,1,2,5,0,25-01000,76,0,N,499,3245
2,3,1,1,8,0,25-01000,64,0,5,500,3681
2,6,1,1,9,0,25-00703,12,0,4,501,6857
2,6,1,2,6,0,25-01000,73,0,5,499,3892
2,N,1,1,9,0,25-00503,12,3,4,501,7046
2,6,1,2,4,0,25-01300,77,0,N,499,3570
2,6,1,2,2,0,25-00703,47,0,N,499,5270
2,4,1,2,6,4,25-01300,65,0,N,500,5123
2,6,1,2,6,0,25-01300,46,0,N,441,3500
2,6,1,2,5,0,25-01000,59,0,N,499,3645
2,6,1,2,5,0,25-01300,72,4,N,499,3794
2,3,1,1,6,0,25-01300,68,0,N,501,3663
2,N,1,1,9,0,25-00703,13,4,5,51,6973
1,N,1,2,9,0,25-00703,44,1,N,501,6808
2,6,1,2,0,4,25-00703,72,N,N,143,3173
2,1,1,2,6,0,25-00703,48,0,N,500,3395
2,6,1,2,3,0,25-01300,32,0,N,500,5037
2,6,1,2,6,0,25-01000,48,0,N,499,3567
2,1,1,1,5,0,25-01000,59,0,N,501,3353
1,6,1,1,6,0,25-00703,61,0,N,500,3597
2,N,1,1,9,0,25-00703,15,2,4,501,6799
2,N,1,2,5,0,25-01300,54,4,6,500,5302
2,6,1,2,4,0,25-01000,67,0,N,500,3409
