,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,44,2,6,2,2,2,N,4,0,1,N,N,1,3,5,1,0.0,0,188,48-02515,53,1,2,40,58,2,6,1,2,2,N,1,N,0,2,0.0,0,194,46,46,56.25
1,29,2,6,2,2,2,N,10,0,1,7980,12,1,0,2,2,41000.0,7,501,48-02515,231,1,1,233,27,2,6,2,2,2,N,1,8180,0,2,22000.0,4,316,98,106,56.25
2,58,1,2,2,2,2,N,3,1,1,770,3,6,0,N,1,60900.0,7,474,48-02101,142,1,1,142,49,2,2,2,2,2,N,1,770,6,7,13000.0,3,35,167,167,43.75
3,66,2,7,2,2,2,N,6,0,1,6170,7,5,0,N,1,44520.0,6,342,48-02510,104,1,2,105,55,2,7,1,2,2,N,1,6080,0,N,72000.0,8,501,41,41,50.0
4,43,2,2,2,2,2,N,7,0,1,7690,10,1,1,4,2,50000.0,7,354,48-02102,152,1,1,159,27,2,2,2,2,2,N,1,7690,0,2,12000.0,3,305,179,179,50.0
5,20,2,7,2,2,1,N,5,0,1,9920,18,6,0,4,1,0.0,0,501,48-02510,90,1,1,57,53,2,7,1,2,2,N,1,9920,0,N,0.0,0,0,47,47,56.25
6,54,1,7,2,2,2,N,9,0,1,5570,6,4,0,3,1,70000.0,8,362,48-02507,79,1,1,61,72,2,7,2,2,2,N,1,5580,0,2,34400.0,5,501,48,47,43.75
7,61,2,5,2,2,2,N,8,0,1,6070,7,4,0,N,1,303500.0,9,501,48-02516,11,1,1,10,51,2,5,2,2,2,N,1,6290,0,N,61900.0,7,470,87,87,56.25
8,49,2,6,2,2,1,N,6,0,2,N,N,2,N,N,0,0.0,0,N,48-02515,71,1,2,0,47,1,6,2,2,1,N,2,N,N,N,0.0,0,N,97,0,81.25
9,5,2,2,2,2,2,N,2,0,1,N,N,N,4,6,1,N,N,249,48-02101,102,2,1,122,7,2,2,2,2,2,N,1,N,3,6,N,N,443,121,135,68.75
10,63,2,2,2,2,2,N,5,0,1,6992,9,4,0,N,1,157800.0,9,501,48-02101,17,1,2,14,66,2,2,2,2,2,N,1,6870,0,N,39200.0,6,324,55,55,56.25
11,59,2,2,2,2,2,N,8,0,1,8180,12,1,0,2,1,96800.0,8,501,48-02101,15,1,1,15,55,2,2,2,2,2,N,1,8192,0,2,25000.0,4,179,14,11,56.25
12,79,2,7,2,2,2,N,10,0,1,7860,11,3,0,2,1,24900.0,4,298,48-02507,60,1,2,60,61,2,7,2,2,2,N,1,7860,0,3,45000.0,6,400,85,84,56.25
13,41,2,2,2,2,2,N,7,0,1,9670,17,1,1,3,1,50000.0,7,501,48-02102,65,1,1,71,47,2,2,2,2,2,N,1,9670,1,3,51000.0,7,501,7,7,75.0
14,48,1,2,2,2,2,N,8,0,1,6991,9,1,0,2,1,31000.0,6,501,48-02102,64,1,2,65,58,2,2,2,2,2,N,1,7072,1,3,20000.0,4,295,41,41,37.5
15,39,2,6,2,2,2,N,9,1,1,6790,9,1,2,4,1,210600.0,9,501,48-02515,97,1,1,97,57,2,6,2,2,2,N,1,6970,0,2,205000.0,9,501,53,53,56.25
16,23,2,2,2,2,2,N,4,0,1,8170,12,6,0,3,1,8000.0,2,501,48-02102,22,1,1,30,16,2,2,2,2,2,N,1,7980,3,5,1800.0,1,252,11,18,43.75
17,51,2,5,2,2,2,N,8,0,1,770,3,1,1,5,1,110000.0,9,445,48-02516,156,1,1,176,67,2,5,2,2,2,N,1,770,0,2,59240.0,7,501,69,72,50.0
