,AGEP_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,0,N,7,1,2,1,6,8,1,20,N,1,3,50.0
1,42,N,6,1,1,2,2,9,1,36,N,1,4,50.0
2,68,N,9,1,6,2,8,9,2,27,N,1,7,50.0
3,65,N,4,1,1,2,6,9,2,31,N,1,5,50.0
4,33,N,6,1,6,1,7,2,2,23,N,1,2,50.0
5,32,N,1,1,6,2,6,1,2,38,N,1,0,50.0
6,39,N,7,1,6,2,0,8,1,31,N,1,4,50.0
7,83,3,9,1,5,2,3,1,2,38,N,1,5,25.0
8,32,N,9,1,4,1,4,5,2,46,N,1,7,50.0
9,42,N,7,1,3,1,0,9,1,69,5,1,7,25.0
10,31,N,5,1,4,2,0,8,1,30,N,1,4,50.0
11,67,N,11,1,6,1,2,6,1,30,N,1,0,50.0
12,65,N,12,1,2,1,3,1,1,81,N,1,6,50.0
13,43,N,7,1,1,2,6,8,1,29,N,1,6,75.0
14,30,N,6,1,1,2,4,8,1,35,N,1,6,50.0
15,29,N,5,1,3,2,7,2,1,78,N,1,4,50.0
16,41,N,7,1,2,2,6,2,2,38,N,1,6,75.0
17,78,N,1,1,1,1,N,9,2,87,N,1,2,50.0
18,18,N,1,1,1,1,7,9,1,88,N,1,3,50.0
19,32,N,7,1,4,1,6,3,2,79,N,1,7,50.0
20,80,N,1,1,3,1,8,6,2,92,N,1,2,50.0
21,88,N,5,1,4,1,4,3,2,69,N,1,3,50.0
22,43,N,5,1,2,2,5,2,1,49,N,1,5,75.0
23,34,N,8,1,4,1,9,6,1,31,N,1,1,50.0
24,73,N,3,1,6,1,7,2,2,15,N,1,0,50.0
25,57,N,7,1,2,1,7,2,2,22,N,1,1,50.0
26,55,N,5,1,2,1,7,6,2,35,N,1,0,50.0
27,29,N,7,1,6,2,0,6,1,33,N,1,6,50.0
28,25,N,5,1,5,2,1,1,1,56,N,1,6,50.0
29,55,N,11,1,4,2,8,1,1,55,N,1,6,75.0
30,2,N,10,1,4,2,3,6,2,63,N,1,9,50.0
31,57,N,3,1,2,2,6,1,1,40,N,1,5,50.0
32,67,N,5,1,4,2,3,9,1,30,N,1,5,50.0
33,67,4,4,1,4,2,4,8,2,39,N,1,3,25.0
34,19,N,12,1,2,1,4,1,2,57,N,1,9,50.0
35,56,N,7,1,1,2,5,3,2,47,N,1,2,50.0
36,20,N,8,1,5,1,6,9,2,52,N,1,5,50.0
37,61,N,8,1,2,1,7,2,2,83,N,1,2,50.0
38,54,N,10,1,4,2,2,2,1,42,N,1,7,50.0
39,59,N,7,1,2,1,6,6,2,53,N,1,7,50.0
40,38,N,11,1,3,1,6,1,1,76,N,1,5,50.0
41,18,N,4,1,1,1,4,4,2,31,N,1,0,50.0
42,41,N,1,3,5,2,8,1,2,55,N,1,6,25.0
43,21,N,10,1,1,2,3,9,1,48,N,1,6,50.0
44,24,N,7,1,2,0,3,8,1,67,N,2,2,25.0
45,25,N,1,1,5,2,4,1,1,35,N,1,5,50.0
46,38,N,1,1,3,2,9,1,2,55,N,1,9,75.0
47,38,N,5,1,6,2,5,9,1,23,N,1,2,50.0
48,10,N,8,1,4,1,2,8,2,30,N,1,6,50.0
49,43,N,3,1,6,1,3,6,2,41,N,1,0,50.0
50,57,N,1,2,2,1,8,1,2,26,N,1,2,25.0
51,54,N,5,1,3,1,8,8,2,86,N,1,4,50.0
52,65,N,3,1,N,2,5,3,1,14,N,1,N,50.0
