PUMA,SEX,MSP,HISP,RAC1P,HOUSING_TYPE,OWN_RENT,INDP_CAT,DREM,DPHY,DEYE,DEAR,AGEP,NOC,NPF,EDU,PINCP_DECILE,DVET,POVPIP,PINCP,DENSITY
25-02800,1,1,0,1,1,1,7,2,2,2,2,61,0,4,7,4,N,501,26924.370980800002,3683.8999999999996
25-00503,2,1,0,1,1,1,6,2,2,2,2,49,0,2,10,7,N,501,51141.197424000005,2872.7
25-00703,2,1,0,1,1,1,N,2,2,2,2,56,0,2,5,8,N,501,95470.818752,2195.3
25-00703,2,6,0,6,1,1,12,2,2,2,2,34,1,3,9,7,N,501,69932.64944,2195.3
25-02800,1,1,0,1,1,1,10,2,2,2,2,45,1,4,9,5,N,501,69102.68336,3683.8999999999996
25-00503,1,6,4,1,1,2,10,2,2,2,2,41,0,N,12,5,N,501,-0.0681492799994885,2872.7
25-01300,2,N,0,1,1,1,N,N,N,2,2,2,2,4,N,N,N,501,N,1457.2
25-00703,2,4,0,1,1,1,13,2,2,2,2,74,0,2,9,4,N,34,20324.676632,2195.3
25-00503,2,1,0,1,1,1,12,2,2,2,2,56,2,4,12,9,N,501,253520.58118399998,2872.7
25-01300,1,N,0,1,1,1,N,N,N,2,2,4,3,5,2,N,N,501,N,1457.2
25-00703,2,1,0,1,1,1,9,2,2,2,2,48,0,5,9,3,N,501,19731.9721264,2195.3
25-00703,2,1,0,1,1,1,4,2,2,2,2,38,1,4,9,8,N,501,114440.596408,2195.3
25-02800,2,6,0,1,2,0,N,1,1,1,1,82,N,N,6,2,N,136,19736.2470976,3683.8999999999996
25-01300,2,6,0,1,1,1,5,2,2,2,2,20,2,4,7,1,N,478,-0.42258031999972445,1457.2
25-00703,2,6,0,1,1,1,10,2,2,2,2,15,2,4,4,0,N,501,19894.73052,2195.3
25-00703,2,N,0,1,1,1,N,2,2,2,2,10,0,2,5,N,N,501,N,2195.3
25-00703,1,4,0,1,1,1,8,2,2,2,2,65,0,2,9,9,N,501,100055.6062784,2195.3
