PUMA,SEX,MSP,HISP,RAC1P,HOUSING_TYPE,OWN_RENT,INDP_CAT,DREM,DPHY,DEYE,DEAR,AGEP,NOC,NPF,EDU,PINCP_DECILE,DVET,POVPIP,DENSITY,PINCP
25-01300,1,6,0,1,1,1,10,2,2,2,2,20,0,2,5,4,N,501,1472.76161493082,10641.503552
25-00703,1,1,0,1,1,1,4,2,2,2,2,67,1,2,10,7,N,501,2180.745078151,74814.3207312
25-00503,2,1,0,2,1,1,3,2,2,2,2,18,0,6,5,2,N,118,2171.249316001,143.6029083200001
25-00703,1,1,0,1,1,1,N,2,2,2,2,58,0,2,9,3,N,501,2191.990647962,21169.6165488
25-01300,1,6,0,1,1,1,6,2,2,2,2,25,0,6,6,4,N,427,1466.4249787297501,2320.6979936
25-01300,2,1,0,1,1,1,7,2,2,2,2,79,0,2,8,8,N,501,1467.82808519269,100894.246096
25-00703,2,N,0,1,1,2,N,N,N,2,2,4,1,3,3,N,N,501,2186.86442829,N
25-00703,1,N,0,1,1,2,N,2,2,2,2,8,2,3,3,N,N,324,2175.722110558,N
25-00503,1,3,0,1,1,1,N,2,2,2,2,77,0,2,4,1,N,233,2903.58905754,13868.534928000001
25-00503,2,3,0,1,1,2,8,2,2,2,1,94,0,2,5,7,N,479,3482.4580217800003,71512.545312
25-02800,1,1,0,1,1,1,18,2,2,2,2,54,3,5,12,8,N,501,3683.8999999999996,160904.036576
25-02800,1,1,0,1,1,1,4,2,2,2,2,38,1,3,10,9,N,501,3683.8999999999996,280215.266784
25-01300,1,1,0,1,1,1,10,2,2,2,2,55,0,4,9,8,N,501,1490.0334619382,98684.636336
25-00503,2,4,0,1,1,1,10,2,2,2,2,51,0,3,9,5,N,194,2881.816006401,43791.893535999996
25-01300,2,1,0,6,1,1,0,2,2,2,2,56,1,3,4,5,N,501,1490.7950668193,47284.479072
25-00703,1,N,0,1,1,1,N,N,N,2,2,1,1,3,N,N,N,501,2181.04917857,N
25-00503,2,1,0,1,1,1,10,2,2,2,2,65,0,3,10,9,N,501,2891.0351456099997,251263.458288
25-02800,1,1,0,1,1,1,4,2,2,2,2,54,0,5,10,9,N,501,3683.8999999999996,226579.072176
25-00503,1,6,2,1,3,0,N,2,2,2,2,25,N,N,8,0,N,15,2881.7542600099996,8927.307380799999
25-00703,1,1,0,1,1,1,3,2,2,2,2,64,0,2,8,9,N,501,2194.311760042,734399.88688
25-02800,2,1,0,1,1,1,10,2,2,2,2,73,0,2,8,6,N,501,3683.8999999999996,64072.5977712
25-00703,1,1,0,1,1,1,4,2,2,2,2,62,1,3,7,9,N,501,2182.1234722520003,222663.510736
25-01300,1,1,0,2,1,2,5,2,2,2,2,31,2,3,11,9,N,501,1468.34782324775,-4.2299555199997485
25-00703,1,1,0,1,1,1,11,2,2,2,2,44,2,4,9,9,N,501,2190.314120998,296554.76648
25-00703,2,6,0,1,1,2,9,2,2,2,2,45,0,N,7,6,N,379,2199.287499328,45363.17756800001
25-01300,2,1,0,1,1,1,10,2,2,2,2,73,0,3,9,4,N,338,1481.286592439,30016.051143999997
25-01300,2,1,0,6,1,1,11,2,2,2,2,33,0,4,10,6,N,501,1462.15582679858,50740.511384000005
25-01300,2,5,0,1,1,2,12,2,2,2,2,80,1,4,9,9,N,467,1464.1084280447,88561.3188416
