PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR
19-01700,18,2,6,0,1,N,N,3,0,3572.3,14,7,5700.0,1,N,N,2,2,2,2
40-00200,74,2,1,0,1,0,2,1,1,90.7,0,10,32400.0,6,347,N,2,2,2,2
36-03710,7,1,N,2,8,2,3,1,2,52864.7,N,3,N,N,45,N,2,2,2,2
17-03529,60,2,3,0,2,0,3,1,2,15097.5,N,6,480.0,1,28,N,2,1,2,2
38-00100,42,2,6,0,1,1,2,1,1,73.0,6,8,41200.0,6,237,N,2,2,2,2
13-04600,18,1,6,0,1,N,N,3,0,3670.4,N,7,3600.0,1,N,N,2,2,2,2
51-51255,21,1,6,0,1,0,N,1,2,11224.3,14,7,14000.0,3,106,N,2,2,2,2
06-08507,47,2,1,0,1,0,3,1,1,3305.1,N,9,0.0,0,501,N,2,2,2,2
29-01901,56,2,2,0,2,0,N,1,2,5434.8,6,7,40100.0,6,304,N,2,1,2,2
38-00100,18,1,6,0,1,4,7,1,1,73.0,11,4,6000.0,1,362,N,2,2,2,2
38-00100,13,1,N,0,1,3,5,1,1,73.0,N,3,N,N,328,N,2,2,2,2
17-03529,19,2,6,0,9,0,N,1,2,15097.5,6,7,4000.0,1,30,N,2,2,2,2
38-00100,84,2,2,0,1,N,N,2,0,73.0,N,5,7210.0,1,N,N,1,1,2,2
17-03529,16,2,6,0,9,1,4,1,1,15097.5,14,4,1000.0,1,501,N,2,2,2,2
29-01901,55,1,6,0,1,0,N,1,1,5434.8,11,9,110000.0,9,501,N,2,2,2,2
17-03529,40,2,4,0,2,0,N,1,1,15097.5,11,9,56000.0,7,423,N,2,2,2,2
17-03529,57,2,4,0,2,0,N,1,1,15097.5,10,6,23000.0,4,174,N,2,2,2,2
36-03710,15,1,6,0,2,3,5,1,2,52864.7,N,4,0.0,0,129,N,2,2,2,2
32-00405,69,2,6,0,1,0,N,1,2,7990.5,N,5,9800.0,2,80,N,2,1,1,1
29-01901,57,1,1,0,2,0,3,1,1,5434.8,16,7,85000.0,9,501,N,2,2,2,2
19-01700,54,1,5,0,6,0,N,1,2,3572.3,12,11,260000.0,9,501,N,2,2,2,2
32-00405,41,1,5,0,8,N,N,2,0,7990.5,15,5,33300.0,5,N,N,2,2,2,2
32-00405,15,2,6,4,1,1,3,1,2,7990.5,N,4,0.0,0,31,N,2,2,2,2
08-00803,24,1,6,0,1,0,N,1,2,3393.2,14,7,15000.0,3,114,N,2,2,2,2
24-01004,35,2,1,0,1,0,2,1,1,4187.9,8,9,40700.0,5,501,N,2,2,2,2
38-00100,85,2,1,0,1,0,2,1,1,73.0,N,7,8500.0,2,212,N,2,2,2,2
51-51255,22,1,6,0,1,0,2,1,2,11224.3,3,7,25000.0,4,189,N,2,2,2,2
01-01301,6,1,N,0,2,3,5,1,1,2731.2,N,2,N,N,266,N,2,2,2,2
17-03531,62,2,6,0,2,0,N,1,1,11171.6,11,10,500.0,1,3,N,2,2,2,2
51-51255,85,2,1,0,1,0,2,1,2,11224.3,N,9,82800.0,8,501,N,2,2,2,2
06-08507,16,1,6,0,1,2,3,1,1,3305.1,14,4,330.0,1,501,N,2,2,2,2
29-01901,60,2,1,0,2,0,2,1,1,5434.8,10,4,5800.0,1,306,N,2,2,2,2
01-01301,68,2,6,0,2,0,3,1,1,2731.2,N,5,10000.0,2,81,N,1,1,2,2
36-03710,6,2,N,4,1,1,3,1,2,52864.7,N,2,N,N,298,N,2,2,2,2
40-00200,61,1,1,0,1,0,2,1,1,90.7,4,5,43700.0,7,501,N,2,2,2,2
28-01100,20,2,6,0,1,N,N,3,0,2674.3,N,7,0.0,0,N,N,2,2,2,2
26-02702,29,1,1,0,6,0,2,1,2,4817.2,12,11,79000.0,8,501,N,2,2,2,2
30-00600,1,2,N,0,3,3,4,1,2,16.3,N,N,N,N,77,N,N,N,2,2
30-00600,0,2,N,0,3,4,6,1,2,16.3,N,N,N,N,103,N,N,N,2,2
01-01301,61,2,6,0,2,0,N,1,1,2731.2,16,10,40020.0,7,304,N,2,2,2,2
38-00100,40,1,6,0,1,0,N,1,1,73.0,N,9,16000.0,3,120,N,1,1,2,1
