SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
1,1,1,1,5,0,30-00600,67,0,2,364
1,1,1,1,8,0,17-03529,75,0,2,501
1,1,1,1,9,0,51-01301,47,2,4,501
1,6,1,1,8,0,24-01004,29,0,N,501
1,N,1,2,N,1,08-00803,14,5,7,186
2,1,1,1,7,0,40-00200,63,0,5,219
2,6,2,2,3,0,29-01901,35,2,3,81
1,6,8,2,0,4,36-03710,17,1,4,157
1,N,1,2,N,1,32-00405,11,4,5,46
2,1,2,1,7,0,29-01901,59,0,2,501
1,6,1,1,9,0,38-00100,27,0,N,501
2,6,9,2,3,0,38-00100,23,0,N,113
1,6,1,1,8,0,30-00600,37,0,2,501
2,1,1,1,8,0,08-00803,74,0,2,501
2,1,1,1,2,0,19-01700,52,2,5,279
2,6,2,2,2,0,36-03710,95,0,2,217
2,1,1,1,2,0,06-08507,66,0,2,501
1,1,1,1,7,0,19-01700,58,0,2,501
2,4,1,1,3,0,38-00100,82,0,N,132
1,1,1,2,6,0,30-00600,34,0,4,501
1,6,2,0,6,0,13-04600,53,N,N,N
1,N,3,2,N,0,30-00600,1,1,3,8
2,6,2,2,0,0,36-04010,18,1,4,463
2,4,1,2,9,0,32-00405,76,0,N,501
2,3,1,1,1,0,38-00100,80,0,N,11
2,N,1,2,N,2,32-00405,7,3,4,136
1,6,1,2,7,0,29-01901,28,0,N,420
1,N,1,1,N,0,19-01700,6,2,3,501
2,6,8,2,0,4,36-04010,15,1,6,367
2,1,8,1,8,0,06-08507,48,2,4,501
2,1,1,1,7,0,17-03529,40,3,5,501
2,1,6,1,9,0,06-08507,46,1,3,501
1,1,1,1,8,0,30-00600,56,0,2,501
1,1,1,1,8,0,30-00600,65,0,7,501
2,3,1,1,9,0,38-00100,71,0,N,501
1,1,6,2,4,0,24-01004,31,1,3,161
1,6,1,1,1,0,38-00100,17,3,5,188
1,6,2,0,7,0,29-01901,20,N,N,N
2,1,1,2,6,0,26-02702,32,1,3,501
