SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT
1,1,1,1,9,11,0,06-07502,N
2,2,9,2,7,9,0,36-04010,11
2,1,1,1,8,10,0,06-08507,12
2,1,1,2,9,10,0,06-08507,6
1,6,2,0,1,7,0,36-03710,N
1,6,1,0,1,5,0,08-00803,14
2,1,6,1,7,10,0,24-01004,9
2,6,1,1,1,5,0,51-51255,N
1,3,1,1,9,9,0,24-01004,N
1,1,1,1,8,9,0,51-51255,17
2,1,1,1,7,5,0,38-00100,3
1,6,1,1,5,8,0,38-00100,0
2,6,2,2,6,5,0,29-01901,12
1,1,1,1,4,5,0,38-00100,3
2,1,2,1,2,4,0,17-03531,N
2,N,8,1,N,3,0,06-08507,N
2,6,2,1,5,10,0,01-01301,13
2,6,2,2,3,4,0,17-03529,12
1,N,2,1,N,3,0,36-04010,N
1,6,1,0,0,7,0,40-00200,11
1,4,1,1,9,7,0,30-00600,0
2,1,2,1,5,9,0,13-04600,N
1,4,1,2,7,9,0,24-01004,10
2,6,2,2,0,4,0,29-01901,N
1,N,1,1,N,2,0,17-03529,N
2,4,1,2,5,9,0,08-00803,15
2,1,2,1,5,4,0,28-01100,N
2,1,1,1,4,8,0,40-00200,N
2,6,1,2,4,12,0,36-04010,11
2,N,2,2,N,2,0,36-04010,N
2,6,8,2,0,5,2,36-03710,13
1,1,1,1,9,10,0,06-08507,10
2,1,1,1,4,10,0,51-01301,15
1,1,1,1,9,9,0,24-01004,10
1,4,2,2,7,7,0,36-03710,16
1,1,1,1,0,5,0,30-00600,N
2,N,1,2,N,N,0,24-01004,N
1,N,1,1,N,1,0,06-08507,N
2,3,2,2,1,3,0,51-51255,N
2,6,1,1,9,12,0,24-01004,11
2,2,1,2,5,5,0,19-01700,4
2,1,1,1,4,5,0,38-00100,6
2,6,1,2,7,12,0,17-03529,11
2,4,1,2,1,6,0,32-00405,N
2,N,2,2,N,2,0,29-01901,N
1,6,2,1,6,9,0,36-04010,11
1,6,3,1,0,3,0,40-00200,N
1,6,1,2,0,4,1,19-01700,N
1,1,1,1,1,7,0,38-00100,6
1,3,1,1,5,6,0,30-00600,15
1,3,1,2,4,9,0,40-00200,N
1,N,1,1,N,3,1,24-01004,N
2,3,2,1,3,7,0,36-04010,N
2,6,2,1,1,9,0,17-03531,12
2,3,2,1,0,1,0,29-01901,N
2,6,1,2,0,9,0,28-01100,N
2,2,8,2,3,7,4,36-03710,13
2,2,8,1,4,9,4,36-03710,12
2,4,2,1,3,5,0,13-04600,N
1,1,1,1,2,5,0,19-01700,N
1,N,1,1,N,3,0,51-51255,N
1,6,6,1,9,10,0,06-08507,4
1,6,1,0,1,7,0,19-01700,6
2,N,6,1,N,N,0,19-01700,N
2,6,1,2,4,10,3,17-03529,15
2,1,1,1,9,9,0,24-01004,10
1,6,1,1,1,4,4,51-01301,14
2,4,1,1,6,10,0,40-00200,N
2,6,2,1,2,5,0,01-01301,N
1,6,1,2,0,4,1,32-00405,N
1,6,9,2,2,8,0,17-03529,N
1,4,1,1,5,9,0,19-01700,4
2,6,2,2,1,5,0,13-04600,11
2,N,2,1,N,N,0,29-01901,N
1,N,8,1,N,3,1,17-03531,N
1,1,1,1,6,7,0,19-01700,7
2,N,1,1,N,2,4,51-51255,N
2,6,2,1,8,9,0,36-04010,12
1,6,1,1,6,5,0,13-04600,15
2,1,1,1,5,7,0,30-00600,9
2,N,2,2,N,3,0,36-04010,N
2,1,1,2,7,9,0,06-08507,11
2,6,1,2,7,9,0,51-51255,10
2,5,3,1,6,6,0,40-00200,4
1,1,1,1,9,9,0,06-07502,9
2,5,1,2,2,9,0,26-02702,13
1,6,1,2,5,9,0,19-01700,9
1,N,3,1,N,3,0,30-00600,N
1,6,1,0,1,7,0,08-00803,3
1,1,1,1,8,10,0,06-08507,9
2,1,2,2,0,4,0,17-03529,14
2,4,2,2,3,4,0,17-03529,N
1,6,8,2,3,4,1,32-00405,3
2,1,6,1,9,11,0,06-08507,12
2,6,2,2,7,5,0,36-04010,12
2,1,1,1,6,5,0,30-00600,12
1,2,1,1,4,7,1,40-00200,4
1,6,6,0,0,7,0,13-04600,N
1,4,1,1,3,4,0,38-00100,N
2,N,2,2,N,3,0,17-03531,N
2,1,6,1,8,10,0,17-03529,11
2,6,6,2,9,9,0,06-07502,4
2,6,1,2,9,10,0,06-07502,4
1,4,2,1,5,7,0,28-01100,16
2,5,1,2,2,3,1,32-00405,N
1,1,1,1,7,7,0,30-00600,0
1,6,1,1,9,9,0,51-01301,10
2,2,2,1,0,5,0,17-03531,N
1,1,1,1,9,10,0,24-01004,4
2,6,9,1,4,9,0,51-01301,12
1,6,1,2,1,7,0,08-00803,14
1,1,1,1,6,6,0,36-03710,12
1,1,1,1,9,5,0,38-00100,15
2,1,6,2,8,11,0,06-08507,12
1,4,1,2,2,9,0,06-07502,N
1,6,1,1,4,8,0,38-00100,N
2,1,6,1,5,9,0,32-00405,10
1,1,1,1,7,11,0,26-02702,N
2,1,1,1,9,12,0,24-01004,10
1,1,1,1,5,7,0,38-00100,8
2,3,6,2,2,3,0,06-07502,N
2,6,2,2,4,4,0,36-03710,10
1,N,1,1,N,3,0,51-51255,N
2,2,1,0,2,7,0,26-02702,N
