"","AGEP","SEX","MSP","RAC1P","EDU","PINCP_DECILE","DVET","DEYE","HOUSING_TYPE","OWN_RENT"
"1","2","1","N","2","N","N","N","2","1","1"
"2","47","2","1","1","8","7","N","2","1","1"
"3","68","2","1","1","5","7","N","2","1","2"
"4","44","1","1","1","9","8","N","2","1","1"
"5","31","2","1","1","10","7","N","2","1","2"
"6","19","1","6","2","7","0","N","2","3","0"
"7","30","1","1","6","10","3","N","2","1","2"
"8","18","2","6","1","7","0","N","2","3","0"
"9","45","1","1","1","11","9","N","2","1","1"
"10","9","1","N","9","3","N","N","2","1","2"
"11","50","1","1","1","9","9","N","2","1","1"
"12","27","2","6","2","9","0","N","2","1","2"
"13","48","1","1","1","7","3","N","2","1","1"
"14","21","2","3","1","5","4","N","2","1","2"
"15","15","1","6","6","3","0","N","2","1","2"
"16","9","2","N","8","3","N","N","2","1","2"
"17","59","1","6","1","9","2","N","2","1","2"
"18","22","2","6","1","7","6","N","2","1","2"
"19","73","1","1","1","10","5","N","2","1","1"
"20","29","1","6","1","9","8","N","2","3","0"
"21","48","2","1","1","5","3","N","2","1","2"
"22","18","2","6","1","4","3","N","2","1","1"
"23","62","2","4","1","9","4","N","2","1","2"
"24","20","1","6","1","6","1","N","2","3","0"
"25","46","1","1","1","9","9","N","2","1","1"
"26","12","1","N","1","3","N","N","2","1","1"
"27","17","1","6","2","4","0","N","2","1","2"
"28","69","1","4","2","7","4","N","2","1","1"
"29","48","1","1","1","10","9","N","2","1","2"
"30","69","1","1","1","9","9","N","2","1","1"
"31","8","2","N","3","3","N","N","2","1","1"
"32","25","1","6","1","9","7","N","2","1","1"
"33","9","2","N","8","3","N","N","2","1","2"
"34","59","2","1","1","9","7","N","2","1","1"
"35","4","1","N","1","2","N","N","2","1","1"
"36","38","2","4","2","6","0","N","2","1","2"
"37","72","1","1","1","9","9","N","2","1","1"
"38","47","1","1","2","8","9","N","2","1","1"
"39","12","2","N","1","3","N","N","2","1","1"
"40","38","1","6","2","6","4","N","2","1","2"
"41","54","2","1","1","9","5","N","2","1","1"
"42","22","2","6","1","9","6","N","2","1","1"
"43","60","1","6","9","9","4","N","2","1","1"
"44","8","2","N","3","3","N","N","2","1","1"
"45","17","2","6","1","4","0","N","2","1","1"
"46","25","2","6","1","8","7","N","2","1","2"
"47","29","1","4","2","5","3","N","2","1","2"
"48","72","1","1","1","9","2","N","2","1","1"
"49","22","1","6","1","7","2","N","2","1","2"
"50","31","2","1","2","8","2","N","2","1","1"
"51","49","2","6","2","7","4","N","1","1","2"
"52","5","1","N","1","2","N","N","2","1","1"
"53","49","2","1","1","11","4","N","2","1","1"
"54","9","2","N","8","3","N","N","2","1","2"
"55","65","1","3","2","5","4","N","2","1","2"
"56","2","2","N","2","N","N","N","2","1","1"
"57","4","2","N","1","1","N","N","2","1","2"
"58","19","2","6","2","7","3","N","2","3","0"
"59","30","2","1","1","10","9","N","2","1","1"
"60","47","2","1","1","7","7","N","2","1","1"
"61","15","1","6","1","3","0","N","2","1","1"
"62","15","1","6","1","3","0","N","2","1","1"
"63","5","1","N","1","2","N","N","2","1","2"
"64","60","1","6","9","4","2","N","2","1","2"
"65","37","1","1","1","9","8","N","2","1","2"
"66","28","1","6","9","9","4","N","2","1","2"
"67","33","2","6","2","4","0","N","1","2","0"
"68","16","2","6","3","4","0","N","2","1","1"
"69","27","1","6","1","9","0","N","2","2","0"
"70","21","2","6","6","5","4","N","2","1","2"
"71","67","1","1","1","9","3","N","2","1","2"
"72","34","2","1","1","3","0","N","2","1","1"
"73","67","2","1","1","9","6","N","2","1","1"
"74","48","1","1","1","9","9","N","2","1","1"
"75","60","1","1","8","5","6","N","2","1","1"
"76","21","2","3","6","5","4","N","2","1","1"
"77","76","1","2","1","10","6","N","2","1","1"
"78","45","1","6","2","11","9","N","2","1","1"
"79","60","1","1","1","4","4","N","2","1","2"
"80","31","1","1","1","8","8","N","2","1","1"
"81","56","1","4","1","9","8","N","2","1","1"
"82","38","2","4","2","6","4","N","2","1","1"
"83","76","2","2","1","10","6","N","2","1","1"
"84","50","1","6","1","7","1","N","2","1","2"
"85","9","2","N","8","3","N","N","2","1","2"
"86","5","2","N","1","N","N","N","2","1","1"
"87","38","1","4","1","7","3","N","2","1","1"
"88","20","1","6","1","6","2","N","2","3","0"
"89","9","1","N","8","3","N","N","2","1","2"
"90","4","1","N","1","2","N","N","2","1","2"
"91","28","2","6","9","9","4","N","2","1","2"
"92","57","2","6","2","7","1","N","2","1","2"
"93","36","2","1","1","12","8","N","2","1","1"
"94","30","2","6","1","9","1","N","2","1","1"
"95","52","2","1","1","7","7","N","2","1","1"
"96","4","2","N","1","1","N","N","2","1","2"
"97","4","1","N","1","2","N","N","2","1","2"
"98","31","1","1","1","8","2","N","2","1","1"
"99","43","1","6","1","8","6","N","2","1","1"
"100","0","2","N","1","N","N","N","2","1","1"
"101","16","2","6","3","4","0","N","2","1","1"
"102","59","1","6","1","9","7","N","2","1","2"
"103","72","2","3","1","9","9","N","2","1","1"
"104","54","2","1","1","9","7","N","2","1","1"
"105","20","1","6","1","6","2","N","2","3","0"
"106","26","1","6","2","5","5","N","2","1","2"
"107","57","2","1","1","4","1","N","2","1","1"
"108","20","2","6","1","7","2","N","2","3","0"
"109","51","2","1","6","5","0","N","2","1","1"
"110","67","2","1","2","9","6","N","2","1","2"
"111","59","1","1","6","9","7","N","2","1","2"
"112","18","1","6","1","4","1","N","2","1","1"
"113","24","2","6","1","4","4","N","2","1","2"
"114","59","1","6","6","9","7","N","2","1","1"
"115","19","1","6","2","7","1","N","2","1","2"
"116","34","2","6","6","7","3","N","2","1","2"
"117","51","2","1","6","10","4","N","2","1","1"
"118","56","2","1","1","9","9","N","2","1","2"
"119","3","1","N","1","1","N","N","2","1","1"
"120","9","1","N","8","3","N","N","2","1","2"
"121","67","2","1","1","9","7","N","2","1","1"
"122","4","1","N","1","1","N","N","2","1","2"
"123","43","2","6","1","9","6","N","2","1","1"
"124","65","1","6","6","1","2","N","2","1","1"
"125","12","2","N","2","3","N","N","2","1","2"
"126","49","2","6","2","7","4","N","1","1","2"
"127","65","1","6","1","3","9","N","2","1","1"
"128","44","1","1","1","9","8","N","2","1","1"
"129","31","2","1","1","8","3","N","2","1","1"
"130","66","2","4","1","5","3","N","2","1","1"
"131","57","1","1","1","5","4","N","2","1","1"
"132","29","2","6","2","9","7","N","2","3","0"
"133","21","1","1","6","5","0","N","2","1","1"
"134","44","1","1","1","9","8","N","2","1","1"
"135","0","1","N","1","2","N","N","2","1","1"
"136","15","1","6","6","3","0","N","2","1","1"
"137","30","2","1","6","9","9","N","2","1","1"
"138","45","1","6","1","11","9","N","2","1","1"
"139","45","1","1","1","11","9","N","2","1","1"
"140","30","1","6","6","10","3","N","2","1","2"
"141","33","2","6","1","4","0","N","2","2","0"
"142","7","2","N","9","3","N","N","2","1","1"
"143","38","2","4","2","6","4","N","2","1","2"
"144","33","1","6","2","9","8","N","2","1","2"
"145","60","1","1","9","7","3","N","2","1","1"
