"","AGEP","SEX","MSP","RAC1P","EDU","PINCP_DECILE","DVET","DEYE","HOUSING_TYPE","OWN_RENT"
"1","12","2","N","2","3","N","N","2","1","1"
"2","28","1","1","9","7","6","N","2","1","2"
"3","64","1","1","1","10","6","N","2","1","1"
"4","10","1","N","1","3","N","N","2","1","1"
"5","81","2","1","1","10","9","N","2","1","2"
"6","60","1","1","1","4","4","N","2","1","1"
"7","27","1","6","1","9","9","N","2","1","2"
"8","27","2","6","2","9","7","N","2","1","2"
"9","29","1","4","6","10","4","N","2","1","2"
"10","69","2","6","1","4","4","N","2","1","1"
"11","12","2","N","1","3","N","N","2","1","1"
"12","36","1","1","3","7","5","N","2","1","1"
"13","26","1","6","8","5","5","N","2","1","2"
"14","73","2","1","6","12","9","N","2","1","1"
"15","37","2","4","2","9","5","N","2","1","2"
"16","68","2","1","3","7","9","N","2","1","1"
"17","24","2","6","2","7","1","N","2","1","2"
"18","38","2","1","1","9","9","N","2","1","1"
"19","17","2","6","2","4","2","N","2","1","2"
"20","44","1","1","1","10","9","N","2","1","1"
"21","68","2","4","1","9","7","N","2","1","2"
"22","25","1","1","1","9","7","N","2","1","2"
"23","27","2","6","1","9","2","N","2","1","2"
"24","50","2","6","2","7","7","N","2","1","1"
"25","65","2","4","2","3","3","N","2","1","2"
"26","64","2","3","1","7","6","N","2","1","1"
"27","74","1","1","1","9","8","N","2","1","1"
"28","21","2","6","2","7","0","N","2","1","2"
"29","71","2","4","1","7","0","N","2","2","0"
"30","54","2","1","6","9","3","N","2","1","1"
"31","57","2","6","1","4","2","N","2","1","1"
"32","19","1","6","2","7","1","N","2","1","2"
"33","67","2","3","2","10","4","N","2","1","1"
"34","43","2","1","1","8","7","N","2","1","1"
"35","60","2","6","2","4","3","N","2","1","2"
"36","26","1","1","1","12","0","N","2","1","1"
"37","29","2","6","8","7","6","N","1","3","0"
"38","38","1","4","2","6","4","N","2","1","1"
"39","69","1","4","1","7","2","N","2","1","1"
"40","46","1","6","6","10","7","N","2","1","2"
"41","28","1","6","9","7","8","N","2","1","2"
"42","20","2","6","2","6","5","N","2","1","2"
"43","1","1","N","1","1","N","N","2","1","2"
"44","87","2","3","1","7","6","N","2","1","1"
"45","70","1","1","2","5","6","N","2","1","2"
"46","67","1","1","1","9","7","N","2","1","1"
"47","18","2","6","1","7","3","N","2","1","1"
"48","37","1","1","1","10","9","N","2","1","1"
"49","71","2","3","1","9","5","N","2","1","1"
"50","45","1","1","1","11","9","N","2","1","2"
"51","72","2","3","2","1","2","N","2","1","1"
"52","26","2","6","8","7","4","N","2","1","2"
"53","41","2","6","1","12","6","N","2","1","1"
"54","37","1","1","1","10","9","N","2","1","2"
"55","71","1","4","2","5","3","N","2","2","0"
"56","46","1","6","2","7","1","N","2","2","0"
"57","20","1","6","2","7","1","N","2","3","0"
"58","52","2","1","1","7","5","N","2","1","2"
"59","5","1","N","1","2","N","N","2","1","1"
"60","18","1","6","2","5","1","N","2","3","0"
"61","0","1","N","2","N","N","N","2","1","1"
"62","13","2","N","2","3","N","N","2","1","2"
"63","41","1","6","8","4","0","N","2","1","1"
"64","20","1","6","1","5","1","N","2","3","0"
"65","74","2","6","2","1","3","N","1","1","1"
"66","62","2","3","1","9","1","N","2","1","1"
"67","22","1","6","9","7","1","N","2","1","2"
"68","2","2","N","1","N","N","N","2","1","1"
"69","64","1","1","1","9","9","N","2","1","1"
"70","28","1","6","2","5","6","N","2","1","2"
"71","7","2","N","1","3","N","N","2","1","2"
"72","41","1","1","1","8","6","N","2","1","2"
"73","30","2","1","6","9","4","N","2","1","2"
"74","54","1","6","2","5","7","N","2","1","1"
"75","63","2","1","1","7","4","N","2","1","1"
"76","22","2","6","1","9","4","N","2","1","2"
"77","35","2","1","1","9","7","N","2","1","1"
"78","79","1","1","6","5","3","N","2","1","1"
"79","79","2","1","2","7","3","N","2","1","1"
"80","71","2","3","2","5","3","N","2","2","0"
"81","29","1","6","1","9","9","N","2","1","1"
"82","44","1","1","1","10","9","N","2","1","1"
"83","23","2","6","6","9","9","N","2","1","2"
"84","16","2","6","2","4","0","N","2","1","1"
"85","13","2","N","6","3","N","N","2","1","1"
"86","13","2","N","1","3","N","N","2","1","2"
"87","52","2","6","2","9","8","N","2","1","2"
"88","70","1","1","1","7","6","N","2","1","1"
"89","24","1","1","1","10","1","N","2","1","1"
"90","45","1","1","1","11","8","N","2","1","1"
"91","11","2","N","2","3","N","N","2","1","2"
"92","48","1","1","1","10","9","N","2","1","1"
"93","5","2","N","2","1","N","N","2","1","1"
"94","22","2","6","9","7","2","N","2","1","1"
"95","23","2","6","2","9","1","N","2","1","2"
"96","50","2","4","2","8","2","N","2","1","2"
"97","71","1","4","2","4","0","N","2","2","0"
"98","64","1","1","1","7","5","N","2","1","1"
"99","71","2","4","2","5","3","N","2","2","0"
"100","51","2","1","6","10","8","N","2","1","1"
"101","60","1","1","1","9","9","N","2","1","1"
"102","48","1","1","1","12","9","N","2","1","1"
"103","27","1","6","1","9","2","N","2","2","0"
"104","65","2","4","2","4","2","N","2","1","1"
"105","38","2","1","1","9","9","N","2","1","1"
"106","8","1","N","1","3","N","N","2","1","2"
"107","53","2","1","6","9","9","N","2","1","1"
"108","51","1","1","1","9","8","N","2","1","1"
"109","41","1","1","1","10","9","N","2","1","1"
"110","15","2","6","1","3","3","N","2","1","2"
"111","23","2","1","1","9","6","N","2","1","1"
"112","39","1","2","6","4","0","N","2","1","1"
"113","33","2","1","1","10","9","N","2","1","1"
"114","36","1","1","6","12","9","N","2","1","2"
"115","52","1","1","2","7","6","N","2","1","1"
"116","72","1","1","1","10","7","N","2","1","1"
"117","70","2","3","1","5","1","N","2","1","2"
"118","16","2","6","1","4","0","N","2","1","1"
"119","63","2","6","2","7","6","N","2","1","2"
"120","49","2","4","1","7","4","N","2","1","2"
"121","13","2","N","8","3","N","N","2","1","2"
"122","18","2","6","2","7","0","N","2","3","0"
"123","70","2","3","1","10","9","N","2","1","2"
"124","14","2","N","1","3","N","N","2","1","2"
"125","53","2","6","1","7","4","N","2","1","1"
"126","60","1","6","9","4","4","N","2","1","2"
"127","12","2","N","2","3","N","N","2","1","1"
"128","63","2","1","8","8","5","N","2","1","1"
"129","25","2","6","2","8","1","N","2","1","2"
"130","29","2","6","8","5","0","N","1","3","0"
"131","17","2","6","2","4","1","N","2","1","1"
"132","63","1","6","2","9","8","N","2","1","2"
"133","42","2","6","1","10","7","N","2","1","2"
"134","42","1","1","1","11","9","N","2","1","1"
"135","19","2","6","2","5","3","N","2","1","1"
"136","13","2","N","2","3","N","N","2","1","1"
"137","14","1","N","2","3","N","N","2","1","1"
"138","9","1","N","8","3","N","N","2","1","1"
"139","31","1","6","9","9","8","N","2","1","2"
"140","57","1","1","1","9","9","N","2","1","1"
"141","36","2","1","1","12","8","N","2","1","1"
"142","16","1","6","3","4","0","N","2","1","2"
"143","74","2","6","2","5","3","N","2","1","1"
"144","80","1","6","1","6","8","N","2","1","1"
"145","33","1","6","1","9","8","N","2","1","1"
"146","22","1","6","2","5","2","N","2","1","2"
"147","20","1","6","2","7","2","N","2","3","0"
"148","47","1","1","1","9","9","N","2","1","1"
"149","14","1","N","1","3","N","N","2","1","1"
"150","15","2","6","1","4","6","N","2","1","2"
"151","36","2","1","6","10","8","N","2","1","2"
"152","49","2","4","1","9","7","N","1","1","1"
"153","71","1","3","2","5","2","N","2","2","0"
"154","67","2","1","1","5","8","N","2","1","1"
"155","36","1","1","6","12","8","N","2","1","1"
"156","60","2","4","9","7","6","N","2","1","2"
"157","33","2","6","1","4","0","N","2","2","0"
"158","37","2","6","1","9","8","N","2","1","1"
"159","20","2","6","2","7","1","N","2","3","0"
"160","30","1","1","6","10","2","N","2","1","2"
"161","75","2","4","2","10","2","N","1","1","2"
"162","34","2","6","1","9","3","N","2","1","1"
"163","43","1","6","1","5","9","N","2","2","0"
"164","44","1","1","6","7","8","N","2","1","1"
"165","11","1","N","1","3","N","N","2","1","2"
"166","17","2","6","2","4","0","N","2","1","2"
"167","36","2","6","1","9","5","N","1","1","2"
"168","65","1","1","1","12","9","N","2","1","1"
"169","76","1","4","3","9","1","N","2","1","2"
"170","33","1","6","1","9","9","N","2","1","2"
"171","48","2","6","1","10","7","N","2","1","1"
"172","70","2","3","1","7","8","N","2","1","1"
"173","5","1","N","1","2","N","N","2","1","1"
"174","32","1","1","1","6","7","N","2","1","1"
"175","29","2","6","2","5","6","N","1","1","2"
"176","27","1","6","1","5","0","N","2","2","0"
"177","54","2","4","1","5","4","N","2","1","2"
"178","51","1","1","1","5","8","N","2","1","2"
"179","33","2","1","1","9","4","N","1","1","1"
"180","27","2","6","1","9","4","N","2","1","2"
"181","62","2","6","1","10","7","N","2","1","1"
"182","50","1","1","2","8","2","N","2","1","1"
"183","94","2","3","1","3","1","N","1","1","1"
"184","30","1","1","2","7","0","N","2","1","1"
"185","44","2","1","1","9","9","N","2","1","1"
"186","29","2","6","2","5","3","N","2","1","2"
"187","41","2","4","1","10","6","N","2","1","2"
"188","36","2","1","3","8","4","N","2","1","1"
"189","7","2","N","1","3","N","N","1","1","1"
"190","63","2","1","1","5","5","N","2","1","1"
"191","52","1","1","1","9","0","N","2","1","1"
"192","62","2","3","2","5","2","N","2","1","2"
"193","4","1","N","2","2","N","N","2","1","1"
"194","56","2","2","1","7","7","N","2","1","2"
"195","71","2","3","2","5","5","N","2","1","1"
"196","27","1","6","2","9","5","N","2","1","2"
"197","38","2","4","2","9","4","N","2","1","2"
"198","1","1","N","6","N","N","N","2","1","1"
"199","31","2","6","2","8","3","N","2","1","2"
"200","70","1","1","1","7","8","N","2","1","1"
"201","19","1","6","1","7","3","N","2","3","0"
"202","61","1","6","1","10","4","N","2","1","1"
"203","71","1","4","1","4","2","N","2","2","0"
"204","19","1","6","1","7","0","N","2","3","0"
"205","69","1","1","1","11","9","N","2","1","1"
"206","76","2","2","1","4","1","N","2","1","1"
"207","23","2","3","1","9","3","N","2","1","2"
"208","61","1","1","1","7","6","N","2","1","2"
"209","27","1","6","1","7","0","N","2","2","0"
"210","46","2","1","1","9","9","N","2","1","1"
"211","31","2","6","1","9","5","N","2","1","2"
"212","22","2","6","9","9","1","N","2","1","2"
"213","8","1","N","1","3","N","N","2","1","1"
"214","30","2","1","1","9","2","N","2","1","2"
"215","29","1","6","1","7","8","N","2","1","1"
"216","10","2","N","1","3","N","N","2","1","2"
"217","24","1","6","1","9","6","N","2","1","1"
"218","63","2","1","2","8","6","N","2","1","1"
"219","48","1","1","1","9","9","N","2","1","2"
"220","15","2","6","2","3","0","N","2","1","1"
