,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE,DEYE
PUMA,0.0,0.0924301228761189,-0.01098035580386549,-0.12220640983807887,-0.5433910729726326,-0.06823143292464061,0.051530662055743255,0.010249943455846346,-0.0579263843161314,0.2524852062048241,0.07549115461841874
AGEP,0.0924301228761189,4.440892098500626e-16,-0.08385031355263499,-0.09778643408802343,0.04770290149403849,0.12830391469657593,0.4068020508869527,0.2773781046342869,0.11866804860012051,-0.44348831025150415,0.13481973947548787
SEX,-0.01098035580386549,-0.08385031355263499,-7.993605777301127e-15,-0.02529447591746777,-0.04116727541592944,-0.015565050074227715,-0.016234090482484784,-0.004557315447515993,-0.053784007610035656,0.03669736527801598,-0.0006699083800947398
MSP,-0.12220640983807887,-0.09778643408802343,-0.02529447591746777,1.1102230246251565e-15,-0.019097174681133013,0.08817078627881966,0.4222410400989352,0.49989938050864813,-0.00933530253337032,-0.15408534663969195,0.04101597248588425
HISP,-0.5433910729726326,0.04770290149403849,-0.04116727541592944,-0.019097174681133013,-3.219646771412954e-15,-0.2214778682069407,0.03299385527523936,-0.012938383194722798,-0.11568616740357116,0.10759894937221726,0.0143773541406743
RAC1P,-0.06823143292464061,0.12830391469657593,-0.015565050074227715,0.08817078627881966,-0.2214778682069407,1.199040866595169e-14,-0.093703102524367,-0.13364470108906307,-0.06429164295699599,0.09758529824433626,-0.042746754436727194
NOC,0.051530662055743255,0.4068020508869527,-0.016234090482484784,0.4222410400989352,0.03299385527523936,-0.093703102524367,0.0,-0.6379559255855479,-0.22276600598063379,0.20388093419318043,-0.08448593495192211
NPF,0.010249943455846346,0.2773781046342869,-0.004557315447515993,0.49989938050864813,-0.012938383194722798,-0.13364470108906307,-0.6379559255855479,-5.995204332975845e-15,-0.0645513770829337,0.20007751805572005,-0.06247355415718152
OWN_RENT,-0.0579263843161314,0.11866804860012051,-0.053784007610035656,-0.00933530253337032,-0.11568616740357116,-0.06429164295699599,-0.22276600598063379,-0.0645513770829337,3.3306690738754696e-16,-0.014900100420370092,0.030858197738478768
PINCP_DECILE,0.2524852062048241,-0.44348831025150415,0.03669736527801598,-0.15408534663969195,0.10759894937221726,0.09758529824433626,0.20388093419318043,0.20007751805572005,-0.014900100420370092,2.55351295663786e-15,-0.04703901892604037
DEYE,0.07549115461841874,0.13481973947548787,-0.0006699083800947398,0.04101597248588425,0.0143773541406743,-0.042746754436727194,-0.08448593495192211,-0.06247355415718152,0.030858197738478768,-0.04703901892604037,-1.6986412276764895e-14
