,DENSITY,count_target,count_deidentified
0,7,4841.0,0.0
1,12,1051.0,0.0
2,15714,0.0,1.0
3,15924,0.0,1.0
4,16001,0.0,1.0
5,16217,0.0,1.0
6,16342,0.0,1.0
7,16628,0.0,1.0
8,16783,0.0,1.0
9,29795,0.0,2.0
10,30039,0.0,1.0
11,31342,0.0,1.0
12,31608,0.0,1.0
13,32586,0.0,1.0
14,33638,0.0,1.0
15,34036,0.0,1.0
16,34536,0.0,1.0
17,34732,0.0,1.0
18,45122,0.0,1.0
19,46359,0.0,1.0
20,52386,0.0,1.0
21,15662,0.0,1.0
22,15643,0.0,1.0
23,15607,0.0,1.0
24,14716,0.0,1.0
25,13402,0.0,2.0
26,13865,0.0,1.0
27,14174,0.0,1.0
28,14199,0.0,1.0
29,14291,0.0,1.0
30,14410,0.0,1.0
31,14449,0.0,1.0
32,14485,0.0,1.0
33,14846,0.0,1.0
34,15601,0.0,1.0
35,14947,0.0,1.0
36,15063,0.0,1.0
37,15180,0.0,1.0
38,15258,0.0,1.0
39,15311,0.0,1.0
40,15355,0.0,1.0
41,15420,0.0,1.0
42,15572,0.0,1.0
43,52864,0.0,1.0
