,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,56,0,6,2,4,2,2,68,25-02800,8,1,29,0,2,5,266,0.0
1,50,0,2,3,9,1,4,55,25-02800,6,2,37,0,2,0,0,0.0
2,32,0,6,1,5,0,0,N,25-01000,6,1,66,N,N,0,N,40.0
3,81,4,4,0,7,2,1,432,25-00703,2,1,57,0,N,5,267,20.0
4,47,0,2,4,4,1,8,275,25-00703,6,1,49,0,N,0,0,0.0
5,76,4,6,N,4,1,0,431,25-02800,2,2,28,0,N,2,78,0.0
6,51,0,6,1,N,1,9,N,25-01000,9,2,38,0,4,5,501,0.0
7,85,4,N,1,2,2,0,91,25-00703,1,1,0,3,4,N,15,0.0
8,65,2,1,1,6,2,0,498,25-00503,2,1,21,1,3,4,178,20.0
9,36,2,6,N,4,1,3,231,25-01300,1,2,22,0,2,0,429,0.0
10,73,4,2,1,3,2,4,52,25-00503,2,1,32,1,6,3,156,20.0
11,37,0,6,4,6,0,0,N,25-02800,6,2,45,N,N,2,95,0.0
12,69,4,1,1,3,1,8,N,25-00703,9,1,47,2,7,7,366,0.0
13,92,0,4,0,2,1,4,N,25-02800,2,1,79,0,N,2,88,20.0
14,94,0,1,0,3,1,0,8,25-01000,9,1,39,2,4,8,430,0.0
15,94,0,2,1,N,2,0,52,25-00503,2,1,55,0,N,4,211,20.0
16,65,3,1,1,2,1,7,27,25-01300,1,2,48,0,3,6,501,0.0
17,33,0,6,0,3,1,4,N,25-01000,9,1,36,0,4,5,501,20.0
18,54,2,6,1,2,1,0,381,25-00703,2,1,26,0,2,0,378,40.0
19,39,4,6,2,2,2,0,76,25-00503,9,1,16,2,4,0,93,40.0
20,31,0,6,0,3,1,5,359,25-01300,8,2,59,0,N,8,501,20.0
21,74,4,4,1,3,2,0,96,25-01000,1,1,68,0,N,4,212,0.0
22,52,4,6,2,9,0,0,457,25-00703,1,1,21,N,N,2,N,0.0
23,81,4,N,N,2,2,4,470,25-00503,8,1,1,1,6,N,137,0.0
24,49,4,1,1,9,2,0,52,25-01300,1,2,36,2,5,2,369,0.0
25,46,4,6,1,2,2,0,65,25-00503,8,2,30,0,N,3,159,0.0
26,94,0,3,5,9,0,0,405,25-00503,6,2,94,N,N,0,N,40.0
27,94,4,4,2,3,1,0,250,25-01300,1,2,62,0,2,7,501,0.0
28,94,4,N,0,4,2,0,480,25-01000,1,2,8,5,7,N,155,0.0
29,53,0,5,0,5,1,0,325,25-01300,1,1,43,0,6,6,376,20.0
30,25,4,6,1,2,1,1,399,25-02800,1,1,29,0,3,7,501,0.0
31,52,0,6,3,N,2,8,469,25-01300,8,1,22,0,2,3,260,0.0
32,62,0,6,0,6,0,0,228,25-02800,2,1,31,N,N,3,137,0.0
33,42,2,1,2,N,1,0,47,25-02800,1,2,49,1,3,3,431,0.0
34,55,0,3,0,N,2,1,92,25-01000,6,2,84,0,N,1,28,60.0
35,57,1,N,5,4,2,0,95,25-00503,1,1,14,2,4,N,501,20.0
36,94,1,6,1,2,1,0,56,25-01000,8,2,18,4,6,2,61,0.0
37,82,4,N,1,N,1,6,N,25-00503,1,1,14,2,4,N,501,0.0
38,56,2,6,5,6,0,8,N,25-00703,1,1,24,N,N,0,0,0.0
39,94,4,6,0,N,2,0,54,25-00703,2,2,29,2,3,3,103,0.0
40,42,0,1,0,3,1,0,N,25-01300,9,2,53,0,3,7,501,40.0
41,65,0,2,2,3,1,0,490,25-00503,2,2,35,0,2,3,165,0.0
42,75,0,6,0,4,0,3,399,25-01000,8,1,29,N,N,3,141,20.0
43,34,2,1,0,3,1,7,54,25-01000,6,2,59,0,2,4,501,20.0
44,65,4,1,2,4,2,0,N,25-00503,8,1,76,0,3,2,361,0.0
45,35,4,6,0,3,1,4,470,25-01300,1,2,23,0,2,2,501,20.0
46,72,2,N,4,3,2,0,51,25-00503,1,1,5,2,3,N,28,20.0
47,90,0,6,2,3,0,0,55,25-00703,9,1,18,N,N,9,N,0.0
48,37,1,6,2,4,0,8,54,25-00703,1,2,19,N,N,1,N,0.0
49,42,0,5,2,3,2,1,489,25-01300,9,1,50,1,2,9,501,0.0
50,39,1,N,1,6,1,9,229,25-01300,1,1,4,2,4,N,501,0.0
51,69,4,1,5,2,2,0,N,25-02800,1,1,44,0,2,8,501,20.0
