,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,69,0,2,N,N,0,0,N,25-02800,2,1,69,N,N,0,N,100.0
1,20,2,6,N,N,0,0,N,25-00503,1,2,20,N,N,0,N,100.0
2,21,4,6,0,N,0,2,N,25-00703,1,1,21,N,N,2,N,80.0
3,31,4,6,2,N,0,1,15,25-02800,8,1,31,N,N,1,15,80.0
4,30,4,6,0,N,0,0,N,25-00503,8,1,21,N,N,1,N,40.0
5,52,0,6,N,N,0,2,81,25-00703,9,1,18,N,N,9,N,40.0
6,24,2,6,N,N,0,0,0,25-00703,1,1,24,N,N,0,0,100.0
7,94,0,3,N,N,0,0,N,25-00503,6,2,94,N,N,0,N,100.0
8,66,0,6,N,N,0,0,N,25-01000,6,1,66,N,N,0,N,100.0
9,19,1,6,N,N,0,1,N,25-00703,1,2,19,N,N,1,N,100.0
10,19,0,6,N,N,0,0,N,25-02800,6,2,45,N,N,2,95,40.0
11,20,4,6,N,4,0,0,N,25-01300,1,1,20,N,N,0,N,80.0
12,84,0,3,2,N,2,0,N,25-02800,2,2,64,3,6,0,240,20.0
13,63,0,6,N,N,0,2,55,25-02800,2,2,63,N,N,2,55,100.0
14,44,0,2,N,N,0,4,190,25-01300,6,1,44,N,N,4,190,100.0
15,50,4,6,0,N,0,0,N,25-02800,1,1,50,N,N,0,N,80.0
16,18,2,6,N,N,0,3,N,25-01300,1,2,18,N,N,3,N,100.0
17,41,0,6,1,2,2,6,N,25-01000,9,2,41,1,2,6,344,80.0
18,17,0,6,1,2,2,1,344,25-01000,9,1,17,1,2,1,344,100.0
19,29,0,6,1,4,2,8,501,25-01300,2,1,29,1,4,6,501,80.0
20,73,4,4,0,N,2,1,28,25-01000,8,2,73,0,N,1,28,100.0
21,34,0,6,0,N,2,8,501,25-01000,6,2,34,0,N,8,501,100.0
22,70,0,1,0,3,1,4,501,25-01300,7,2,70,0,3,4,501,100.0
23,66,2,4,0,N,2,2,73,25-01000,1,1,66,0,N,2,73,100.0
24,46,0,5,2,3,2,9,501,25-00503,1,1,46,2,3,9,501,100.0
25,22,2,6,0,N,2,1,27,25-01000,8,1,22,0,N,1,27,100.0
26,58,2,1,0,5,2,8,271,25-01000,1,1,58,0,2,0,62,40.0
27,59,0,5,0,N,2,7,501,25-01000,1,2,59,0,N,7,501,100.0
28,68,4,4,0,N,1,8,501,25-02800,1,1,36,0,N,6,463,40.0
29,47,0,3,0,2,2,1,101,25-01000,3,1,47,0,2,1,101,100.0
30,75,0,3,0,2,2,3,101,25-01000,3,2,75,0,2,3,101,100.0
31,45,0,2,1,4,2,5,193,25-00503,2,2,45,1,3,5,193,80.0
32,38,4,1,2,4,2,8,501,25-00503,1,1,38,2,4,8,501,100.0
33,37,1,1,N,5,2,4,176,25-00703,1,2,37,3,5,4,176,80.0
