,Target samples,Deid. samples
0,21,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,7,1
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,3,1
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,28,15
36,49,28
37,0,0
38,0,0
39,92,59
40,0,0
41,43,30
42,171,126
43,37,28
44,0,0
45,93,75
46,0,0
47,0,0
48,2030,1858
49,38,36
50,4395,4437
51,712,736
52,845,912
53,281,316
54,0,0
55,212,259
56,136,179
57,0,0
58,0,0
59,0,0
60,14,21
61,49,77
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,4,8
68,0,0
69,0,0
70,0,0
71,8,20
72,0,0
73,0,0
74,0,0
75,6,18
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,2,12
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,24
