,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
0,1.0,1,1.0,1.0,0,0.0,25-01300,60.0,0,2,501
1,1.0,1,1.0,1.0,0,0.0,25-01300,60.0,0,2,501
2,1.0,1,1.0,1.0,0,0.0,25-01300,60.0,0,2,501
3,1.0,1,1.0,1.0,0,0.0,25-01300,60.0,0,2,501
4,1.0,1,1.0,1.0,2,0.0,25-00503,76.0,0,2,501
5,1.0,1,1.0,1.0,2,0.0,25-00503,76.0,0,2,501
6,1.0,1,1.0,1.0,2,0.0,25-00503,76.0,0,2,501
7,1.0,1,1.0,1.0,2,0.0,25-00503,76.0,0,2,501
8,1.0,1,1.0,1.0,2,0.0,25-00503,76.0,0,2,501
9,1.0,1,1.0,1.0,2,0.0,25-00503,76.0,0,2,501
10,1.0,1,1.0,1.0,2,0.0,25-01000,76.0,0,2,501
11,1.0,1,1.0,1.0,2,0.0,25-01000,76.0,0,2,501
12,1.0,1,1.0,1.0,2,0.0,25-01000,76.0,0,2,501
13,1.0,1,1.0,1.0,2,0.0,25-01000,76.0,0,2,501
14,1.0,1,1.0,1.0,2,0.0,25-01000,76.0,0,2,501
15,1.0,1,1.0,1.0,3,0.0,25-00503,52.0,0,2,501
16,1.0,1,1.0,1.0,3,0.0,25-00503,52.0,0,2,501
17,1.0,1,1.0,1.0,3,0.0,25-00503,52.0,0,2,501
18,1.0,1,1.0,1.0,3,0.0,25-00703,52.0,0,2,501
19,1.0,1,1.0,1.0,3,0.0,25-00703,52.0,0,2,501
20,1.0,1,1.0,1.0,3,0.0,25-00703,52.0,0,2,501
21,1.0,1,1.0,1.0,3,0.0,25-00703,52.0,0,2,501
22,1.0,1,1.0,1.0,3,0.0,25-00703,52.0,0,2,501
23,1.0,1,1.0,1.0,3,0.0,25-00703,63.0,0,2,501
24,1.0,1,1.0,1.0,3,0.0,25-00703,63.0,0,2,501
25,1.0,1,1.0,1.0,3,0.0,25-00703,63.0,0,2,501
26,1.0,1,1.0,1.0,3,0.0,25-00703,63.0,0,2,501
27,1.0,1,1.0,1.0,3,0.0,25-00703,63.0,0,2,501
28,1.0,1,1.0,1.0,4,0.0,25-00703,63.0,0,2,501
29,1.0,1,1.0,1.0,4,0.0,25-00703,63.0,0,2,501
30,1.0,1,1.0,1.0,4,0.0,25-00703,63.0,0,2,501
31,1.0,1,1.0,1.0,4,0.0,25-00703,65.0,0,2,501
32,1.0,1,1.0,1.0,4,0.0,25-00703,65.0,0,2,501
33,1.0,1,1.0,1.0,4,0.0,25-00703,65.0,0,2,501
34,1.0,1,1.0,1.0,4,0.0,25-00703,65.0,0,2,501
35,1.0,1,1.0,1.0,4,0.0,25-00703,65.0,0,2,501
36,1.0,1,1.0,1.0,4,0.0,25-00703,67.0,0,2,501
37,1.0,1,1.0,1.0,4,0.0,25-00703,67.0,0,2,501
38,1.0,1,1.0,1.0,4,0.0,25-00703,67.0,0,2,501
39,1.0,1,1.0,1.0,4,0.0,25-00703,67.0,0,2,501
40,1.0,1,1.0,1.0,4,0.0,25-00703,67.0,0,2,501
41,1.0,1,1.0,1.0,4,0.0,25-00703,67.0,0,2,501
42,1.0,1,1.0,1.0,4,0.0,25-00703,67.0,0,2,501
43,1.0,1,1.0,1.0,4,0.0,25-01000,65.0,0,2,501
44,1.0,1,1.0,1.0,4,0.0,25-01000,65.0,0,2,501
45,1.0,1,1.0,1.0,4,0.0,25-01000,65.0,0,2,501
46,1.0,1,1.0,1.0,4,0.0,25-01000,65.0,0,2,501
47,1.0,1,1.0,1.0,4,0.0,25-01000,65.0,0,2,501
48,1.0,1,1.0,1.0,4,0.0,25-01000,65.0,0,2,501
