,Target samples,Deid. samples
0,1,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,53,16
24,0,0
25,1823,619
26,0,0
27,144,53
28,2026,844
29,0,0
30,473,200
31,0,0
32,23,11
33,8,4
34,0,0
35,0,0
36,0,0
37,0,0
38,1349,817
39,0,0
40,0,0
41,0,0
42,25,18
43,56,42
44,0,0
45,0,0
46,0,0
47,0,0
48,623,570
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,166,198
55,82,100
56,0,0
57,27,38
58,0,0
59,9,13
60,4,6
61,0,0
62,0,0
63,0,0
64,98,177
65,14,26
66,204,391
67,4,8
68,0,0
69,103,227
70,0,0
71,0,0
72,0,0
73,58,159
74,10,28
75,0,0
76,162,504
77,0,0
78,0,0
79,0,0
80,1,4
81,0,0
82,0,0
83,0,0
84,0,0
85,57,311
86,0,0
87,0,0
88,13,100
89,9,76
90,2,18
91,0,0
92,1,12
93,2,26
94,0,0
95,0,0
96,1,22
97,1,33
98,1,63
99,1,1900
