SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE,target
1,4,9,2,5,7,67,1,N,2,24332
1,3,1,2,3,5,55,1,N,2,5171
2,4,1,1,2,12,29,1,N,2,19754
1,6,6,2,0,N,0,1,N,2,16843
1,4,1,2,4,9,10,1,N,1,23661
1,1,1,2,2,N,0,1,N,1,27252
2,6,2,1,6,11,78,1,N,2,19660
2,6,2,2,4,4,21,1,N,2,21351
2,6,6,0,0,5,38,2,N,1,21522
2,6,1,0,9,7,0,3,N,2,4639
1,1,1,2,3,5,41,1,N,2,12255
1,1,3,1,0,7,0,1,N,2,27252
2,1,1,1,9,12,31,1,N,2,5380
2,6,1,1,0,5,29,1,N,2,7696
1,4,8,2,7,5,54,1,N,2,26217
1,2,3,2,0,7,0,1,N,1,6611
1,1,1,2,5,N,0,3,N,2,14069
1,1,1,2,8,12,71,1,N,2,9633
1,2,1,2,9,3,10,1,N,2,16843
1,6,1,2,9,2,78,1,N,2,6611
2,6,1,1,8,N,35,1,5,2,27252
1,1,1,1,8,6,19,1,N,1,27252
1,6,8,2,4,2,70,1,N,2,24939
2,1,1,1,7,12,40,1,N,2,19206
1,4,1,1,1,7,84,1,N,2,14497
2,6,1,1,8,6,32,1,N,2,16843
1,6,1,1,2,7,55,1,N,2,22331
1,3,1,1,3,N,34,1,N,2,16843
1,1,1,1,6,8,39,1,N,2,19490
1,6,1,2,3,3,10,1,N,2,16843
2,6,6,2,0,7,13,1,N,2,21662
1,2,1,1,4,6,30,1,5,2,15754
1,1,2,1,9,11,49,1,N,2,14365
1,3,2,1,3,5,48,1,4,2,19752
1,1,1,1,5,2,21,1,N,2,27252
1,4,1,1,1,5,50,1,N,2,26720
2,4,1,1,3,9,56,1,N,2,24959
1,1,1,1,N,7,10,1,N,2,16843
1,3,1,1,9,7,44,1,N,1,27252
2,3,1,1,3,7,53,1,N,2,9715
2,6,1,1,3,6,21,1,N,2,14639
1,6,2,2,9,7,65,1,N,2,12744
1,1,1,1,5,N,14,1,N,2,27252
1,1,1,1,2,6,75,2,N,2,22114
2,5,2,2,2,N,31,1,N,2,4576
1,1,1,1,9,12,32,1,N,2,11855
1,3,1,2,5,6,10,1,N,2,18779
2,6,1,1,7,11,59,1,N,2,9709
2,4,1,2,1,6,75,1,N,2,4773
2,1,1,1,8,6,60,1,N,2,9739
2,6,1,2,0,5,2,1,N,2,27252
1,1,1,1,5,7,61,1,N,1,13418
1,6,2,2,0,7,23,1,N,1,27252
2,6,8,0,5,7,11,2,N,2,24939
1,6,3,0,0,6,0,1,N,2,27252
1,3,1,1,0,5,26,1,N,1,25158
1,1,1,1,3,4,32,1,N,1,27252
2,6,6,2,2,3,93,1,N,2,20824
1,1,1,2,5,10,32,1,N,2,8684
1,2,1,2,N,2,10,1,N,2,16843
2,6,2,2,5,9,24,1,N,2,27252
1,6,1,2,5,3,39,1,N,2,16843
1,1,3,2,5,7,23,1,N,2,2097
1,6,1,2,5,N,27,1,N,2,27252
2,1,1,1,8,7,58,1,N,2,7984
1,1,1,1,5,12,41,1,N,2,16377
1,1,8,2,4,2,33,1,N,2,27252
2,6,1,1,5,9,35,1,N,2,3895
2,1,1,1,6,N,30,1,N,2,24939
1,4,1,1,8,3,10,1,N,2,27252
1,6,1,1,4,7,49,1,N,2,27252
2,1,1,1,1,12,54,1,N,2,6611
2,6,2,0,0,7,92,1,N,2,17402
1,1,6,1,9,2,43,1,N,2,24939
2,3,1,2,3,4,44,1,N,2,27252
1,6,1,2,6,8,26,1,N,2,24289
1,6,1,1,5,9,26,1,N,2,12299
2,4,1,1,8,N,74,1,N,2,27252
2,6,2,2,0,7,94,1,N,2,18069
1,6,8,1,0,7,26,1,N,1,27252
1,2,1,1,6,7,48,1,N,2,27252
1,6,1,1,5,9,68,1,N,2,5385
2,1,1,1,N,N,65,1,N,2,5465
2,6,3,1,5,N,7,1,N,2,12582
1,6,1,2,7,3,10,1,N,2,27252
1,1,2,1,6,7,47,1,N,2,23564
1,2,3,2,0,4,10,2,N,1,26214
1,6,1,0,0,4,22,1,N,2,16843
1,6,8,1,6,7,32,1,N,2,6611
1,2,9,1,N,9,10,1,N,1,27252
2,3,2,2,1,7,60,3,1,1,15110
1,2,1,2,6,7,58,1,N,2,27252
1,2,8,2,3,7,37,1,N,2,27252
2,2,1,2,4,N,17,1,N,2,6611
2,1,1,2,1,2,40,1,4,2,27252
2,2,1,2,3,3,10,1,N,2,16843
1,6,1,2,1,11,38,1,N,2,22771
