PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,target
32-00405,58,1,1,0,2,1,4,1,1,841.204980296853,9790,N,5,274500.0,6,351,N,2,2,2,2,4,36,9848
24-01004,57,2,4,0,1,7,2,1,2,9035.153593744884,N,12,1,39620.0,2,93,N,2,N,2,2,414,171,15670
38-00100,22,2,3,0,2,2,9,3,0,33478.13145257909,9920,N,6,66300.0,4,153,N,2,2,2,2,1,0,22147
51-01301,39,1,1,0,1,0,12,1,1,357.5137433598722,7580,1,9,451400.0,5,50,6,2,2,2,2,141,67,24972
17-03531,67,1,4,3,2,N,4,1,2,4557.957777776232,4080,8,4,18130.0,8,217,N,2,1,2,2,47,872,19573
19-01700,46,1,4,0,5,2,9,1,0,4851.58367968682,6480,5,9,-100.0,8,176,N,2,1,2,2,1,5,10804
29-01901,62,2,1,4,1,0,3,1,2,533.0540395960595,N,10,3,68800.0,0,63,N,2,2,2,2,51,209,11135
17-03531,30,2,1,1,2,0,2,1,2,5120.0548941892575,9080,13,5,49800.0,0,0,N,2,2,2,2,265,6,14832
36-04010,40,1,1,0,1,0,N,1,2,16.3,9390,12,10,15100.0,9,114,N,2,2,2,2,38,42,4010
40-00200,52,1,1,4,1,2,12,1,0,3908.911307910241,9920,5,5,12040.0,5,73,N,2,2,2,2,228,103,4635
32-00405,7,2,N,2,3,3,3,1,1,16.3,8780,N,1,8840.0,1,128,N,2,2,2,2,64,93,9528
51-51255,4,1,6,4,9,0,9,2,2,9580.402042274924,9920,9,4,13980.0,3,226,2,2,2,2,2,36,80,9606
29-01901,36,2,6,4,1,3,N,1,1,444.4810694516581,9770,6,9,140100.0,N,70,N,2,2,2,2,545,169,24436
19-01700,40,2,3,2,7,2,6,1,1,52864.7,9920,16,2,N,4,5,N,2,2,2,2,92,95,12681
17-03531,54,1,3,0,1,3,2,1,1,230.58676423583267,6780,12,6,163200.0,6,483,N,1,2,1,1,1,29,12368
36-04010,28,2,6,0,1,0,7,1,2,137.61988833784852,8380,N,7,75300.0,7,470,N,N,2,2,2,41,0,11865
19-01700,84,1,4,0,1,0,2,1,1,16.3,4270,1,7,155150.0,3,456,N,2,1,2,2,64,81,15932
36-04010,44,1,6,0,5,1,9,2,2,248.60106143755937,8680,N,6,-2200.0,9,131,N,2,2,2,1,133,52,16378
40-00200,64,2,1,0,1,3,2,1,1,52864.7,6590,17,8,144400.0,2,495,N,2,2,2,2,109,46,18462
30-00600,48,1,4,0,1,0,3,1,2,52864.7,7270,N,10,148200.0,0,481,6,2,2,2,2,43,39,24782
51-01301,11,2,6,0,4,0,2,1,2,16.3,8780,11,2,65120.0,1,2,2,2,2,1,2,179,101,8258
26-02702,55,2,N,0,1,2,4,1,1,9315.079108098069,7890,N,4,176900.0,0,193,N,2,2,2,2,15,3,2304
40-00200,6,1,1,0,1,1,12,1,1,8995.766011225629,6780,13,7,-100.0,9,76,N,2,2,2,2,91,48,9282
30-00600,69,1,5,4,2,1,4,1,1,3858.364524116157,9920,N,10,103200.0,3,47,N,N,1,2,2,36,63,5322
19-01700,59,1,6,0,2,0,12,1,1,4999.100816164181,4770,13,7,24900.0,6,137,N,2,2,2,2,49,31,16274
29-01901,5,2,6,4,3,0,N,1,1,13981.47643260462,9920,9,7,123300.0,3,32,N,2,N,2,2,95,323,2228
30-00600,93,2,1,2,2,2,9,1,1,2668.078600567467,N,9,3,27060.0,6,48,N,2,N,2,2,92,28,12714
40-00200,36,1,1,0,1,0,N,1,1,19341.512102305045,7460,12,7,35000.0,N,188,N,2,2,2,2,26,20,11630
38-00100,63,1,1,0,1,7,2,1,1,4368.174568513812,7470,5,9,20500.0,8,478,N,2,2,2,2,39,152,22934
32-00405,38,2,6,0,1,2,6,1,1,2243.9038969022404,9470,9,3,57000.0,3,18,N,2,2,2,2,242,236,15053
01-01301,11,2,1,0,5,9,9,1,1,4313.997661084957,N,9,5,76740.0,0,501,N,2,2,2,1,24,59,13449
28-01100,45,1,4,4,1,0,N,1,2,3376.1313785543025,6470,1,7,1610.0,9,55,N,2,2,2,2,21,118,17420
51-51255,46,1,1,0,1,0,N,1,1,52864.7,6991,12,9,9810.0,7,211,N,N,2,2,2,1,0,17418
36-03710,88,1,1,1,2,2,4,3,2,4603.658726424142,9790,13,7,1890.0,0,335,N,2,N,2,2,183,355,5646
26-02702,12,2,1,1,1,N,12,2,0,619.461208052321,7690,N,6,-7250.0,9,88,N,2,2,2,2,145,129,15693
38-00100,60,1,6,4,6,0,3,1,1,4728.452667689592,9920,17,5,10950.0,3,137,N,2,2,2,1,294,199,13843
36-03710,59,1,1,0,6,0,N,1,2,52864.7,2780,0,7,72450.0,6,0,N,2,2,2,2,42,32,18079
38-00100,80,2,1,0,1,0,4,1,1,237.2860229526041,7460,17,1,24400.0,2,454,1,2,2,2,2,1,0,3743
24-01004,28,2,4,2,1,N,3,1,1,3967.739010233641,7770,6,2,150200.0,5,459,5,2,2,2,2,325,45,17519
29-01901,67,2,6,0,1,0,N,1,1,51099.202096932444,7970,1,6,80030.0,4,55,N,2,2,2,2,157,88,27056
17-03531,62,2,4,0,1,0,3,1,2,5189.373035464323,690,N,3,-100.0,2,300,N,2,2,2,2,39,166,18177
19-01700,76,1,4,0,1,N,3,1,1,13382.194313210337,8690,12,11,-2000.0,7,116,N,2,1,2,2,43,63,17594
32-00405,82,2,1,0,3,0,N,1,1,17103.05549870815,8564,9,4,9400.0,9,53,N,2,2,2,2,55,47,16617
28-01100,50,2,1,2,1,3,9,1,1,334.2777754269358,9790,N,5,88600.0,7,418,N,2,1,2,2,137,86,21011
40-00200,53,2,3,0,6,2,2,1,2,5271.651233976379,9790,3,3,18250.0,2,430,N,2,2,2,2,42,144,4942
06-08507,76,2,4,0,8,0,4,1,1,52862.20690051538,8370,1,4,15350.0,7,498,N,2,2,2,2,75,25,4134
36-04010,65,1,6,0,2,0,3,1,1,101.00960340925342,8380,0,4,100010.0,6,59,N,2,2,2,2,33,67,9521
51-01301,63,1,1,0,1,0,2,1,1,12081.550771010066,7590,7,8,N,6,486,N,2,2,2,2,53,34,17423
32-00405,71,2,6,2,2,5,N,3,1,19509.80834576081,9920,N,4,148000.0,4,442,N,2,2,2,1,14,0,15145
17-03531,61,1,1,0,4,N,9,1,2,16.3,7860,1,3,N,7,6,N,2,2,2,2,82,100,17800
38-00100,78,2,6,1,3,0,3,2,2,5877.391712290514,N,14,10,-2000.0,6,59,N,2,2,2,2,67,37,14407
40-00200,59,2,1,0,1,0,3,1,1,567.7120917008419,1370,N,7,100300.0,7,185,N,2,2,2,2,122,0,24143
51-01301,35,1,1,0,1,0,N,1,1,52864.7,1070,14,5,-100.0,2,80,N,2,2,2,2,1,0,21724
13-04600,0,1,6,0,6,0,9,3,2,48565.863647642145,9920,12,7,32900.0,1,82,N,2,2,2,2,45,172,17504
36-04010,50,1,1,0,1,0,2,1,1,32907.86423522492,8191,4,1,92350.0,7,500,N,2,2,2,2,59,55,18806
17-03531,41,2,1,0,6,1,9,1,0,194.30458774405045,9160,16,10,140110.0,6,59,N,2,2,1,2,55,60,17704
26-02702,54,1,4,4,1,9,12,2,1,9253.514747305,N,5,6,N,6,464,N,2,1,2,1,18,109,5209
13-04600,65,2,1,0,1,0,12,1,1,3915.115738052885,7870,9,8,100.0,8,63,N,1,2,2,2,130,113,7003
17-03529,17,2,1,0,1,1,N,1,2,4196.8934995054815,7980,8,1,14970.0,6,479,N,2,2,2,2,15,74,11010
