SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,target
2,1,1,1,6,0,48-02515,32,0,2,371,6864
1,1,1,1,2,0,48-02507,92,0,2,66,1509
2,1,1,1,0,0,48-02510,92,0,2,N,3914
1,1,1,1,0,0,48-02510,77,0,2,64,2153
2,1,1,1,0,0,48-02102,92,0,2,66,2642
1,1,1,1,0,0,48-02102,92,0,2,N,415
2,1,1,1,0,0,48-02101,65,0,2,5,4453
2,1,1,1,2,0,48-02507,92,0,4,6,1185
2,1,1,1,6,0,48-02515,92,0,2,66,3660
2,1,1,1,6,0,48-02507,77,3,2,66,1810
1,1,1,1,6,0,48-02515,92,0,2,66,0
1,6,1,1,0,0,48-02515,92,0,N,66,0
2,4,1,1,8,0,48-02515,77,0,N,66,3828
2,1,1,1,0,0,48-02102,77,0,2,N,2254
1,1,1,1,0,0,48-02510,92,0,N,66,370
1,1,1,1,6,0,48-02516,92,0,2,420,7167
2,1,1,1,6,0,48-02510,77,0,4,66,281
1,1,1,0,0,0,48-02516,92,0,N,434,830
1,1,1,1,6,0,48-02516,88,0,2,N,2880
2,1,1,1,0,0,48-02515,77,0,5,66,2916
1,1,1,1,0,0,48-02101,77,0,2,66,0
1,1,1,1,0,0,48-02102,92,2,2,66,0
2,1,1,1,6,0,48-02102,92,0,5,N,7873
1,1,1,1,7,0,48-02102,87,1,4,N,6865
2,1,1,1,6,0,48-02102,65,0,2,66,6369
1,1,7,2,6,0,48-02510,92,1,6,408,6678
1,1,1,1,1,0,48-02101,92,0,2,N,4230
2,1,1,1,0,4,48-02507,92,0,N,N,3688
2,1,1,1,0,0,48-02101,77,0,2,420,5229
1,1,1,1,6,0,48-02102,92,0,2,58,0
2,1,1,1,6,0,48-02101,77,0,N,N,493
1,1,1,1,2,0,48-02515,92,0,2,307,2404
2,1,1,1,6,0,48-02516,92,0,2,N,3892
2,1,1,1,8,2,48-02515,92,2,2,79,4531
2,1,1,1,6,0,48-02515,92,0,5,66,4488
1,1,1,1,6,0,48-02515,92,0,2,N,3478
1,1,1,1,0,0,48-02102,92,0,2,66,493
1,1,1,1,6,0,48-02102,92,0,2,66,0
2,1,1,1,2,0,48-02515,92,0,2,66,1511
1,1,1,1,0,0,48-02515,77,0,N,66,997
2,1,1,1,8,0,48-02515,92,0,5,N,8113
2,1,1,2,3,0,48-02516,77,0,3,251,2069
2,1,1,1,0,0,48-02102,92,0,2,420,0
