,AGEP_x,DEAR_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,10,1,2,1,2,N,7,0,1,3580,10,6,2,6,2,189480.0,7,292,48-02515,19,1,1,37,27,2,2,2,2,N,1,7280,0,N,26740.0,5,202,88,88,26.666666666666668
1,34,2,2,1,2,N,5,1,1,770,11,1,0,4,1,127898.0,5,498,48-02101,67,1,2,70,54,2,2,2,2,N,1,7860,1,3,18000.0,4,501,36,50,33.33333333333333
2,31,2,2,2,2,N,7,0,2,N,N,6,11,2,2,N,9,422,48-02510,68,1,1,82,21,2,2,2,2,N,1,N,0,3,0.0,0,501,100,76,40.0
3,62,2,2,1,2,N,5,1,2,3580,10,6,2,N,2,50877.0,8,346,48-02507,278,1,1,33,36,2,2,2,2,N,1,7580,0,5,16600.0,3,338,70,46,26.666666666666668
4,19,2,2,2,2,N,7,1,1,N,11,1,2,3,1,59491.0,7,302,48-02516,405,1,1,149,43,2,2,2,2,N,1,7860,3,5,5800.0,2,118,158,159,40.0
5,29,2,2,2,2,N,10,0,1,6390,15,1,2,6,2,105540.0,3,293,48-02102,12,1,2,0,30,2,2,2,2,N,1,9160,0,2,58000.0,7,501,70,70,40.0
6,10,2,2,2,2,N,6,0,1,7860,4,1,1,4,1,135024.0,0,501,48-02101,52,1,2,51,55,2,2,2,2,N,1,1170,0,2,105000.0,9,501,14,14,46.666666666666664
7,67,2,2,2,N,N,5,1,1,8270,7,1,0,2,1,51090.0,3,501,48-02515,50,1,1,184,54,2,2,2,2,N,1,6380,4,6,30000.0,5,89,105,105,33.33333333333333
8,40,2,2,2,2,N,5,0,1,7860,4,1,2,4,2,-6300.0,7,475,48-02515,111,1,1,61,37,2,2,2,2,N,1,3380,0,2,33000.0,5,194,163,163,40.0
9,11,2,2,2,2,N,10,0,1,9170,9,1,3,3,1,85298.0,6,477,48-02102,39,1,1,18,70,2,2,2,2,N,1,6991,0,2,150000.0,9,501,292,270,40.0
10,47,2,2,2,2,N,7,0,1,9090,3,4,0,3,1,104343.0,8,501,48-02102,65,1,1,86,66,2,2,2,2,N,1,770,0,N,45600.0,6,372,100,99,46.666666666666664
11,69,2,2,2,2,N,7,0,1,5275,N,6,0,4,2,-6300.0,5,262,48-02507,35,1,2,23,19,2,2,2,2,N,1,N,0,5,0.0,0,95,163,179,46.666666666666664
12,52,2,2,2,2,N,6,0,1,N,6,4,1,N,1,N,4,193,48-02515,94,1,1,82,56,2,2,2,2,N,1,4780,0,N,40000.0,6,305,25,25,46.666666666666664
13,61,2,2,2,1,N,9,0,1,6290,12,1,2,8,1,64754.0,6,435,48-02516,19,2,1,17,41,2,2,2,2,N,1,8191,2,6,100000.0,9,372,105,104,40.0
14,12,2,2,2,2,N,9,1,1,6390,12,1,0,2,1,8289.0,7,291,48-02101,62,1,2,106,28,2,2,2,2,N,1,7980,0,4,10100.0,3,213,203,210,46.666666666666664
15,17,2,2,2,2,N,5,0,1,6890,3,6,0,2,1,107754.0,4,501,48-02515,74,1,2,74,51,2,2,2,2,N,1,770,0,N,30000.0,5,229,43,43,46.666666666666664
16,67,2,2,2,2,N,9,0,1,2490,12,1,0,2,1,-6300.0,4,112,48-02510,19,1,1,95,55,2,2,2,2,N,1,8191,0,6,91000.0,8,436,71,73,46.666666666666664
17,33,2,2,2,2,N,7,0,1,N,0,1,0,3,1,82434.0,0,398,48-02510,70,1,1,46,53,2,2,2,1,5,1,180,0,2,4900.0,2,351,109,109,33.33333333333333
18,46,2,2,2,2,N,9,0,1,7970,12,4,0,4,1,12885.0,3,501,48-02507,127,1,1,78,43,2,2,2,2,N,1,8191,0,N,133000.0,9,501,46,45,53.333333333333336
19,11,1,2,2,N,N,5,1,1,6170,14,6,1,N,1,26346.0,7,367,48-02510,74,2,1,83,18,2,2,2,2,N,1,8680,1,3,20300.0,4,105,390,278,33.33333333333333
20,0,2,2,2,2,N,5,0,1,9160,14,6,0,N,1,105444.0,7,425,48-02516,149,2,2,28,24,2,2,2,2,N,1,8680,0,2,15000.0,3,385,161,130,46.666666666666664
21,24,2,2,2,2,N,10,0,1,7860,N,6,0,2,2,43665.0,3,193,48-02101,53,1,1,51,73,2,2,1,2,5,1,N,0,N,192500.0,9,501,112,112,33.33333333333333
22,33,2,2,2,2,N,7,0,1,8680,4,4,2,4,1,105906.0,9,198,48-02510,9,1,2,102,35,2,2,2,2,N,1,2370,0,4,27000.0,5,501,19,12,46.666666666666664
23,80,2,2,2,2,N,7,1,1,180,3,6,0,4,1,98597.0,3,467,48-02101,150,1,1,629,27,2,2,2,2,N,1,770,0,5,24000.0,4,251,416,349,46.666666666666664
24,5,2,2,2,2,N,4,0,1,8191,4,1,2,3,1,116124.0,9,243,48-02102,60,1,2,27,60,2,2,2,2,N,1,2780,0,2,50000.0,7,501,28,32,40.0
25,36,2,1,2,2,N,6,0,1,3580,6,1,0,4,1,146525.0,N,213,48-02507,88,1,1,23,41,2,2,2,2,N,1,4680,3,5,55000.0,7,183,46,49,33.33333333333333
26,8,2,2,2,2,N,9,1,1,4670,10,6,2,3,2,36673.0,8,223,48-02507,31,1,2,141,23,2,2,2,2,N,1,7270,0,2,27000.0,5,430,72,71,40.0
27,67,2,2,2,2,N,7,0,1,N,N,4,2,N,1,N,1,285,48-02507,167,1,2,195,72,2,2,2,2,N,1,N,0,N,43000.0,6,353,77,78,53.333333333333336
28,15,2,2,2,2,N,5,0,1,4972,7,4,0,7,1,132494.0,4,501,48-02101,95,1,1,79,34,2,2,2,2,N,1,6170,0,3,37000.0,6,501,79,54,53.333333333333336
29,28,2,2,2,2,N,9,0,1,4270,9,1,0,2,2,153623.0,6,501,48-02101,88,1,1,40,42,2,2,2,2,N,1,6890,0,3,51000.0,7,501,82,82,53.333333333333336
30,75,2,2,2,2,N,10,0,2,6870,9,1,1,2,1,-6300.0,6,213,48-02516,67,2,1,48,31,2,2,2,2,N,1,6970,0,4,115000.0,9,501,361,360,33.33333333333333
31,12,1,2,1,2,N,5,0,1,7860,11,1,0,4,1,-6300.0,5,129,48-02102,30,2,1,106,54,1,2,2,2,N,1,7860,0,2,31000.0,5,259,73,73,53.333333333333336
32,59,2,2,2,2,5,4,0,1,N,N,4,2,5,1,N,4,151,48-02101,73,1,1,82,68,2,2,2,2,N,1,N,0,N,15400.0,3,126,16,16,40.0
33,13,2,2,2,2,N,10,0,1,7970,12,6,2,4,2,50938.0,5,409,48-02510,101,1,2,36,31,2,2,2,2,N,1,8191,0,N,45300.0,6,346,53,52,40.0
34,42,2,2,N,2,N,9,0,1,4971,4,6,0,N,1,66949.0,5,282,48-02516,60,1,2,60,42,2,2,2,2,N,1,3580,0,N,136060.0,9,501,35,34,53.333333333333336
35,65,2,2,2,2,N,9,0,1,770,14,1,2,5,1,45085.0,6,85,48-02516,102,1,1,37,28,2,2,2,2,N,1,8680,1,3,49000.0,7,290,72,71,40.0
36,69,2,2,2,2,N,4,0,1,N,4,6,2,3,2,-6300.0,5,168,48-02510,49,1,2,55,29,2,2,2,2,N,1,2980,0,2,31500.0,5,240,102,71,46.666666666666664
37,50,2,2,1,2,N,4,1,1,N,6,6,2,N,1,N,7,310,48-02516,54,1,1,88,18,2,2,2,2,N,1,4971,2,5,0.0,0,218,23,16,40.0
38,6,2,2,2,2,5,7,0,1,7860,6,6,0,N,2,-6300.0,3,31,48-02101,79,2,2,19,27,2,2,2,2,N,1,5391,3,5,6000.0,2,76,115,116,33.33333333333333
39,60,2,2,2,2,N,9,1,2,6370,11,1,2,N,1,90276.0,0,76,48-02101,151,1,2,167,56,2,2,2,2,N,1,7860,0,2,60000.0,7,501,124,102,33.33333333333333
40,63,2,2,2,N,N,5,0,1,7071,14,1,2,3,1,105724.0,9,318,48-02510,78,1,1,38,55,2,2,2,2,N,1,8660,0,2,55000.0,7,501,45,45,33.33333333333333
41,69,2,2,2,2,N,4,1,1,N,N,6,2,6,2,N,0,225,48-02507,119,1,2,12,66,2,2,2,2,N,1,N,0,N,9300.0,2,76,236,235,46.666666666666664
42,38,2,2,2,2,N,9,0,1,8770,4,4,0,N,1,-6300.0,8,359,48-02102,309,1,1,108,70,2,2,2,2,N,1,2290,0,N,21600.0,4,179,79,76,53.333333333333336
43,58,2,2,2,2,N,7,0,1,N,11,3,2,3,1,89865.0,7,457,48-02510,95,1,2,199,72,2,2,2,2,N,1,7870,0,2,120.0,1,228,94,94,40.0
44,7,2,2,2,2,5,8,0,1,8680,6,4,1,4,1,N,8,249,48-02101,82,1,1,63,54,2,2,2,2,N,1,4870,0,N,5000.0,2,37,57,47,33.33333333333333
45,41,2,2,2,2,N,4,0,1,7860,N,1,0,3,2,89248.0,N,501,48-02101,141,1,2,260,43,2,2,2,2,N,1,N,2,4,0.0,0,491,91,84,40.0
46,42,2,2,2,2,N,9,0,1,7860,8,1,0,3,1,62906.0,9,501,48-02516,54,1,1,60,28,2,2,2,2,N,1,6680,0,2,129900.0,9,501,77,77,60.0
