,AGEP_x,DEYE_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DEYE_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,6,2,5,4,2,1,2,7,2,1,45,2,N,1,6,20.0
1,47,2,1,5,1,4,1,3,2,1,79,2,N,1,2,40.0
2,83,2,3,10,1,6,2,6,6,2,28,2,N,1,9,40.0
3,75,2,1,6,2,6,0,N,2,1,52,2,N,2,0,40.0
4,8,1,N,5,1,4,2,4,2,2,65,2,N,1,2,40.0
5,29,2,N,1,2,1,1,7,8,1,40,2,N,1,7,60.0
6,15,2,6,12,1,4,1,7,2,2,73,2,N,1,9,40.0
7,37,1,5,6,1,1,2,7,2,1,70,2,N,1,0,20.0
8,29,1,3,5,3,6,2,5,9,2,40,2,N,1,4,0.0
9,47,2,4,7,1,6,2,1,9,1,66,2,N,1,3,40.0
10,29,2,3,10,3,4,1,0,9,2,44,2,N,1,9,20.0
11,34,2,5,5,2,1,2,0,8,1,62,2,N,1,7,20.0
12,23,1,4,9,2,6,1,0,8,1,29,2,N,1,8,0.0
13,83,1,2,2,1,N,2,0,9,2,6,2,N,1,N,20.0
14,20,1,4,6,3,1,2,4,8,1,45,2,N,1,5,0.0
15,24,2,2,7,3,6,2,3,6,1,30,2,N,1,6,20.0
16,38,1,3,7,2,1,2,4,6,2,41,2,N,1,0,0.0
17,29,1,N,7,1,6,0,1,7,2,20,2,N,3,1,40.0
18,47,2,1,6,3,4,2,1,1,1,69,2,N,1,0,20.0
19,20,2,N,9,2,1,2,0,2,2,30,2,N,1,3,40.0
20,60,1,3,4,3,3,1,0,1,1,87,2,N,1,3,0.0
21,23,1,2,12,3,1,1,4,9,1,64,2,N,1,1,0.0
22,15,2,3,3,1,4,2,0,1,1,56,2,N,1,2,40.0
23,26,2,4,5,2,4,0,7,2,2,51,2,N,2,1,40.0
24,68,2,N,8,2,1,2,7,2,2,29,2,N,1,4,40.0
25,91,2,6,12,1,4,1,8,6,1,56,2,N,1,8,60.0
26,6,2,1,12,1,5,1,7,9,1,60,2,N,1,9,40.0
27,6,1,3,3,2,1,2,5,8,2,35,2,N,1,4,0.0
28,79,2,1,1,2,N,2,N,2,1,3,2,N,1,N,40.0
29,41,1,N,4,3,6,2,9,8,2,20,2,N,1,6,20.0
30,37,2,2,10,2,4,1,8,2,1,31,2,N,1,7,20.0
31,53,2,5,5,3,1,1,N,9,1,47,2,N,1,7,20.0
32,17,2,5,11,2,2,1,0,1,1,39,2,N,1,7,20.0
33,49,2,5,12,1,1,1,1,2,1,73,2,N,1,9,40.0
34,10,2,6,9,3,1,2,9,2,1,32,2,N,1,7,20.0
35,86,1,6,10,1,1,1,4,8,2,38,2,N,1,8,20.0
36,34,2,N,5,2,6,2,0,2,1,19,2,N,1,3,40.0
37,46,2,1,10,2,1,2,3,2,1,44,2,N,1,0,20.0
38,62,2,5,4,2,6,2,9,2,1,16,2,N,1,0,20.0
39,89,2,5,9,1,3,1,7,6,2,81,2,N,1,2,40.0
40,36,2,2,4,2,2,0,9,1,1,67,2,N,2,4,40.0
41,19,1,3,4,1,N,2,N,1,1,14,2,N,1,N,40.0
42,49,2,3,8,2,6,2,4,2,1,25,2,N,1,6,20.0
43,61,1,3,6,2,3,2,9,1,2,90,2,N,1,1,0.0
44,10,2,2,4,3,2,2,N,1,1,30,2,N,1,2,20.0
45,30,1,N,5,1,1,2,6,9,2,54,2,N,1,5,40.0
46,83,1,2,4,1,5,2,1,3,1,76,2,N,1,4,20.0
47,64,1,5,N,1,N,2,5,9,2,1,2,N,1,N,20.0
48,79,2,5,2,2,1,2,5,6,2,65,2,N,1,2,20.0
49,94,1,4,7,1,4,2,5,2,1,57,2,N,1,5,40.0
50,88,1,1,4,3,N,1,7,2,2,14,2,N,1,N,0.0
51,62,2,4,1,3,2,2,9,2,1,32,2,N,1,3,20.0
52,34,2,4,3,3,6,1,6,9,1,15,2,N,1,1,20.0
53,67,1,3,4,3,2,0,9,8,1,76,2,N,2,0,0.0
54,89,2,2,1,1,4,1,1,6,2,40,2,N,1,3,40.0
55,90,1,4,8,3,6,1,5,9,2,31,2,N,1,7,0.0
