,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,17,2,2,2,2,2,N,4,0,1,18,6,1,3,1,0,4,48-02102,29,1,2,39,19,2,2,2,2,2,N,1,0,3,0,501,14,14,64.28571428571429
1,44,2,6,2,2,2,N,7,1,1,12,1,0,4,2,7,501,48-02515,10,1,2,19,34,2,6,2,2,2,N,1,2,4,6,390,125,124,57.14285714285714
2,39,2,7,2,2,2,N,10,0,1,11,6,0,N,1,6,282,48-02507,57,1,2,57,47,2,7,2,2,1,N,1,0,2,6,501,75,38,57.14285714285714
3,54,2,7,2,2,2,N,7,0,1,12,1,2,5,1,7,501,48-02507,56,6,2,54,39,2,7,2,2,2,N,1,1,4,5,470,82,83,50.0
4,36,2,6,2,2,2,N,5,4,1,6,1,3,6,2,2,293,48-02515,274,1,1,272,26,2,6,2,2,2,N,1,2,4,7,321,44,44,50.0
5,32,2,2,2,2,2,N,9,0,1,8,1,0,2,1,7,501,48-02102,41,1,1,40,27,2,2,2,2,2,N,1,1,3,8,501,98,98,57.14285714285714
6,21,2,6,2,2,2,N,9,1,1,11,6,2,5,1,4,413,48-02515,89,1,2,85,39,2,6,2,2,2,N,1,0,2,6,501,54,53,50.0
7,54,2,2,2,2,2,N,7,1,1,8,1,1,4,1,8,403,48-02101,170,1,1,87,50,2,2,2,2,2,N,1,1,3,6,280,86,86,57.14285714285714
8,16,2,6,2,2,2,N,7,0,1,N,6,3,4,1,0,501,48-02515,75,2,2,33,19,2,6,2,2,2,N,1,0,3,0,501,391,292,64.28571428571429
9,82,2,2,2,2,2,N,3,1,1,N,3,0,N,1,6,208,48-02101,55,1,2,55,92,2,2,2,2,1,N,1,0,3,3,454,185,184,50.0
10,73,2,6,2,2,2,N,5,0,1,14,4,0,N,1,7,395,48-02515,330,1,1,321,64,2,6,2,2,2,N,1,0,N,7,395,75,61,78.57142857142857
11,53,2,2,2,2,2,N,11,0,1,10,1,3,5,1,9,501,48-02102,13,1,2,13,32,2,2,2,2,2,N,1,1,3,9,501,37,37,64.28571428571429
12,29,2,6,2,2,2,N,5,1,1,4,1,0,2,2,6,333,48-02515,59,1,1,54,23,2,6,2,2,2,N,1,1,3,4,102,169,221,50.0
13,44,2,7,2,2,2,N,9,0,1,16,6,1,2,1,9,501,48-02507,55,1,1,51,34,2,7,2,2,2,N,1,0,N,7,482,48,48,50.0
14,5,2,6,2,2,2,N,1,0,1,N,N,1,2,2,N,501,48-02515,52,1,1,50,4,2,6,2,N,N,N,1,1,3,N,487,75,55,50.0
15,29,2,7,2,2,2,N,7,1,1,15,6,1,5,1,3,501,48-02510,109,1,2,106,24,2,7,2,2,2,N,1,0,3,4,501,90,71,57.14285714285714
16,63,2,6,2,2,2,N,4,0,1,11,1,0,2,1,4,189,48-02515,82,1,1,85,38,2,6,2,2,2,N,1,2,6,6,253,61,55,50.0
17,66,2,6,2,2,2,N,10,0,1,11,6,0,N,2,5,488,48-02515,125,1,2,126,28,2,6,2,2,2,N,1,0,N,7,371,101,101,64.28571428571429
18,42,2,2,2,2,2,N,4,1,1,3,1,2,5,1,5,129,48-02102,175,1,1,187,38,2,2,2,2,2,N,1,3,5,5,182,216,198,64.28571428571429
19,64,2,5,2,2,2,N,6,0,1,4,1,0,2,1,2,253,48-02516,51,1,1,51,45,2,5,2,2,2,N,1,1,5,9,501,24,24,50.0
20,35,2,7,2,2,2,N,6,0,1,11,1,3,5,1,1,501,48-02510,58,1,2,58,78,2,7,2,2,2,N,1,0,2,3,501,75,64,57.14285714285714
21,59,2,2,2,2,2,N,5,0,1,8,1,0,2,1,0,76,48-02102,386,1,2,305,59,2,2,2,2,2,N,1,0,2,8,501,47,39,71.42857142857143
22,38,2,7,2,2,2,N,5,0,1,4,1,2,4,1,8,501,48-02510,65,1,2,55,66,2,7,2,2,2,N,1,0,2,7,501,19,19,57.14285714285714
23,2,2,6,2,N,N,N,N,1,1,N,N,0,5,2,N,170,48-02515,124,8,1,75,1,2,6,2,N,N,N,1,3,6,N,187,467,308,57.14285714285714
24,73,2,7,2,2,2,N,12,0,1,11,1,0,2,1,8,501,48-02510,113,1,1,113,57,2,7,2,2,2,N,1,0,2,9,501,60,61,71.42857142857143
25,68,2,7,2,1,2,N,9,0,1,16,6,0,N,1,5,287,48-02507,214,1,2,214,33,2,7,2,2,2,N,1,0,N,5,265,33,28,64.28571428571429
26,23,2,7,2,2,2,N,9,1,1,14,6,2,3,1,4,279,48-02510,54,1,2,74,31,2,7,2,2,2,N,1,0,2,9,501,137,137,50.0
27,28,2,7,2,2,2,N,9,1,1,11,6,0,5,1,2,501,48-02510,59,1,2,46,29,2,7,2,2,2,N,1,0,5,2,501,76,56,78.57142857142857
28,39,2,7,2,2,2,N,9,1,1,9,1,1,4,1,1,501,48-02510,120,1,1,80,49,2,7,2,2,2,N,1,0,2,9,501,63,64,57.14285714285714
29,45,2,6,2,2,2,N,3,4,1,3,1,0,3,1,9,501,48-02515,160,1,1,71,42,2,6,2,1,1,N,1,3,6,3,161,33,33,35.714285714285715
30,35,2,5,2,2,2,N,9,1,1,11,1,0,2,1,8,501,48-02516,50,1,2,59,28,2,5,2,2,2,N,1,1,3,0,501,12,13,57.14285714285714
31,54,2,6,2,2,2,N,5,0,1,3,6,0,2,1,4,458,48-02515,70,1,1,70,45,2,6,2,2,2,N,1,0,N,2,64,126,126,57.14285714285714
32,23,2,2,2,2,2,N,7,1,1,14,6,0,4,1,2,227,48-02101,43,1,1,28,44,2,2,2,2,2,N,1,0,6,8,292,123,124,57.14285714285714
33,24,2,2,2,2,2,N,9,0,1,12,6,1,2,2,5,501,48-02101,62,1,2,51,24,2,2,2,2,2,N,1,0,5,3,501,39,21,64.28571428571429
34,64,2,5,1,2,2,N,6,0,1,9,1,0,2,1,6,302,48-02516,58,1,2,60,37,2,5,2,2,2,N,1,2,4,0,501,92,90,42.857142857142854
