,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,70,4,1,0,2,2,7,396,25-00503,1,1,38,2,4,8,501,0.0
1,94,0,3,0,N,2,9,501,25-00503,6,1,81,0,N,0,0,40.0
2,56,0,6,N,N,0,2,339,25-02800,2,1,31,N,N,3,137,40.0
3,8,3,6,1,5,1,7,55,25-00703,1,2,27,0,N,8,501,0.0
4,43,0,1,2,4,2,7,233,25-01300,2,1,32,1,4,7,501,40.0
5,63,2,6,1,7,0,1,178,25-00703,1,1,24,N,N,0,0,0.0
6,51,0,1,2,4,2,9,236,25-00503,9,1,43,0,2,9,501,20.0
7,65,4,N,1,3,1,0,3,25-00503,9,1,7,2,4,N,195,0.0
8,16,4,6,5,3,2,5,12,25-02800,8,2,20,0,2,6,474,0.0
9,87,2,4,0,7,2,0,184,25-00503,1,1,55,0,N,5,305,20.0
10,5,4,N,2,4,1,N,261,25-00503,1,1,14,2,4,N,501,60.0
11,30,0,6,1,2,1,4,375,25-00503,9,2,16,2,4,0,501,0.0
12,87,4,6,N,N,0,0,115,25-00703,1,1,21,N,N,2,N,40.0
13,94,1,N,1,N,1,3,83,25-01300,1,2,2,2,4,N,501,0.0
14,58,4,6,1,3,1,9,209,25-01000,1,1,17,2,4,1,326,0.0
15,82,0,4,0,N,2,1,252,25-00703,9,2,50,3,4,4,105,0.0
16,27,0,6,0,2,1,1,9,25-02800,9,1,15,2,6,1,327,20.0
17,37,4,1,1,3,2,8,91,25-01300,1,1,39,2,5,8,369,20.0
18,42,0,2,1,2,2,9,501,25-01300,6,1,54,0,N,9,501,40.0
19,34,0,6,0,2,2,4,292,25-02800,2,1,51,0,N,8,501,20.0
20,70,4,N,1,3,1,1,283,25-00703,9,1,11,2,7,N,366,0.0
21,15,3,1,0,5,1,2,501,25-01000,1,2,37,2,4,9,501,20.0
22,61,0,6,0,2,2,2,165,25-02800,6,1,25,0,4,4,212,20.0
23,29,4,6,0,4,1,2,234,25-01000,2,2,15,1,3,0,501,0.0
24,30,0,5,0,N,2,2,28,25-01300,1,2,50,1,2,6,353,0.0
25,79,0,1,0,2,1,8,44,25-01300,9,2,53,0,3,7,501,20.0
26,86,1,6,2,4,2,0,474,25-00703,1,1,17,3,5,0,176,20.0
27,65,2,1,4,5,1,5,128,25-00703,1,2,42,2,4,5,501,20.0
28,39,1,N,0,9,1,9,170,25-00703,1,1,10,1,3,N,501,0.0
29,30,0,4,1,2,2,9,140,25-00703,6,2,46,4,5,1,8,0.0
30,19,0,6,0,2,2,3,370,25-01300,8,1,22,0,2,3,260,60.0
31,21,1,6,0,4,1,4,328,25-01000,1,2,31,0,N,7,501,20.0
32,54,0,5,0,6,1,4,501,25-01300,1,1,43,0,6,6,376,40.0
33,5,4,1,0,4,2,9,245,25-01000,1,1,30,5,7,5,155,0.0
34,22,4,2,2,7,1,6,44,25-02800,1,2,24,0,4,2,501,0.0
35,33,4,6,0,N,2,6,316,25-01300,1,1,24,0,N,8,501,40.0
36,19,4,6,N,N,0,3,238,25-02800,8,1,31,N,N,1,15,40.0
37,57,4,6,0,N,2,9,128,25-01000,1,1,16,5,7,0,155,0.0
38,48,0,1,0,3,1,8,316,25-01000,9,1,39,2,4,8,430,20.0
39,80,0,5,N,4,2,9,64,25-01300,9,1,50,1,2,9,501,20.0
40,36,4,1,0,3,2,6,114,25-00703,1,2,31,0,2,4,412,20.0
41,18,4,1,1,3,1,4,413,25-01300,8,2,38,1,3,8,501,40.0
42,3,4,6,N,N,0,N,476,25-00703,8,2,16,N,N,0,N,40.0
43,73,2,6,N,N,0,0,166,25-00503,1,1,55,N,N,4,178,40.0
44,72,4,1,N,4,1,4,368,25-01300,8,1,31,1,3,8,501,0.0
45,57,0,1,0,2,1,7,345,25-01000,8,1,47,2,4,7,276,20.0
46,53,4,6,N,N,0,4,222,25-00503,8,1,21,N,N,1,N,40.0
47,71,0,6,0,N,2,7,210,25-01000,9,1,17,1,2,1,344,0.0
48,77,0,1,1,3,1,9,269,25-02800,9,1,72,0,2,2,501,0.0
49,2,4,1,2,4,2,3,249,25-01000,1,2,32,5,7,2,155,0.0
50,57,2,1,0,2,2,8,376,25-00503,1,1,44,2,4,9,501,0.0
51,57,4,4,0,N,1,4,169,25-02800,1,1,36,0,N,6,463,40.0
52,62,0,4,0,N,2,6,N,25-00503,2,2,70,0,N,4,237,40.0
53,57,0,1,0,N,2,7,413,25-00503,2,1,44,0,2,0,207,20.0
54,34,0,5,0,N,2,7,98,25-01000,1,2,59,0,N,7,501,60.0
55,85,0,1,1,3,2,1,501,25-00703,9,2,54,0,2,5,501,20.0
56,49,0,N,5,6,2,7,226,25-01000,2,1,0,1,3,N,226,20.0
57,46,0,2,0,7,1,3,164,25-02800,6,2,37,0,2,0,0,20.0
58,10,2,6,N,N,0,6,225,25-00503,1,2,20,N,N,0,N,40.0
59,64,4,6,1,6,2,1,419,25-01300,1,2,32,1,2,5,219,20.0
60,37,4,N,3,5,1,1,336,25-00503,1,2,11,2,4,N,501,0.0
61,66,2,4,2,7,2,1,279,25-00703,1,2,63,0,N,4,227,0.0
62,27,4,6,0,3,2,1,34,25-01000,8,2,79,0,N,1,29,40.0
63,94,4,6,0,2,2,1,388,25-00503,9,1,16,2,4,0,93,0.0
64,71,0,2,0,4,1,N,470,25-01300,6,1,46,0,N,9,501,20.0
