,DENSITY,DPHY,DREM,PINCP_DECILE,HISP,HOUSING_TYPE,DVET,EDU,MSP,PUMA,NPF,DEAR,RAC1P,SEX,INDP_CAT,DEYE,OWN_RENT,AGEP,NOC
DENSITY,5.984102102729594e-14,0.023850032183975894,0.015178745720061317,-0.07312414713335252,-0.0710929900859597,-0.1343081320245364,-0.05339911506445745,-0.03952645667192755,-0.2447746753306428,0.14045952367616077,0.16081276605116304,-0.027260635151018564,-0.21503468214034308,0.04965482400182906,-0.19151975314121933,0.03696568743281708,-0.11334093732867882,-0.03439518548256313,-0.03440604218847047
DPHY,0.023850032183975894,-1.8984813721090177e-14,-0.8627753806994489,-0.3141240916143755,0.09842741832886637,-0.10156370848165187,-0.04252947757339601,-0.4284930148624454,-0.3300924638119367,-0.03979885431688289,0.1639886204642953,-0.049981467595656956,-0.0159840699311041,0.044542292408187106,-0.3621252103516363,0.02959316410014519,0.10602462411236913,-0.2650211781962568,0.11361322932332144
DREM,0.015178745720061317,-0.8627753806994489,-1.0880185641326534e-14,-0.33275350543053267,0.05929917158010302,-0.046090189038798926,-0.039322198758536535,-0.47068422003055543,-0.3114121759600552,0.0013503087727507572,0.19695129848843063,-0.019010208551385806,0.031410807174681844,-0.005849852186444949,-0.299048528668927,-0.015506266899643708,0.05705642875760494,-0.33381646024330003,0.14790483249297484
PINCP_DECILE,-0.07312414713335252,-0.3141240916143755,-0.33275350543053267,0.0,0.06684732103516676,0.15114741625518738,-0.09376445409639131,-0.7063379091115916,-0.1444682441719559,0.03959700551527889,0.15430595064714098,0.044888316694086355,0.11962068799438659,0.057302824279351516,-0.4990054988030707,-0.03830416316122577,-0.011942339614941302,-0.4366376748067652,0.27051403806548663
HISP,-0.0710929900859597,0.09842741832886637,0.05929917158010302,0.06684732103516676,6.572520305780927e-14,-0.15012142960713257,-0.07261480523471353,0.1536259933949003,-0.06179989916895376,-0.20631623811860736,0.012940396505763542,0.02392872296016509,-0.2504143896333635,0.09197236919857671,-0.10567511430927581,0.05125065126670187,0.018160968371459058,0.030417909378081268,-0.1281478698127816
HOUSING_TYPE,-0.1343081320245364,-0.10156370848165187,-0.046090189038798926,0.15114741625518738,-0.15012142960713257,1.6986412276764895e-13,0.08675659851620077,-0.04033394817548468,-0.20806788309560711,0.171843656483157,0.27701857098531935,-0.008356322187853985,0.044173077425320055,-0.048957665726046845,0.16805861582200804,-0.013602538817469537,0.4245339538845486,0.1210281433395281,0.42554252116343283
DVET,-0.05339911506445745,-0.04252947757339601,-0.039322198758536535,-0.09376445409639131,-0.07261480523471353,0.08675659851620077,0.0,-0.0892242676620519,0.08325875228790273,0.07279381165658076,-0.00020367572571755588,0.053242201719507505,0.06661614401131227,0.02898180081870594,0.08162119102275273,-0.004852531489581209,-0.0585291470961275,-0.0500573818808687,0.12618962870752387
EDU,-0.03952645667192755,-0.4284930148624454,-0.47068422003055543,-0.7063379091115916,0.1536259933949003,-0.04033394817548468,-0.0892242676620519,0.0,-0.3104470189001479,0.04026302134352275,0.33954540759939317,0.033657540805787395,0.07610724592693742,0.008003564726385089,-0.5180077093291522,-0.026738696165568652,0.10651259575928694,-0.5280043032706744,0.2769503251220484
MSP,-0.2447746753306428,-0.3300924638119367,-0.3114121759600552,-0.1444682441719559,-0.06179989916895376,-0.20806788309560711,0.08325875228790273,-0.3104470189001479,9.381384558082573e-14,0.1120714514407182,0.485081712768263,-0.01117573696237558,0.04305477625480945,-0.030185945617853184,-0.23493280783503884,0.010123570996098383,-0.06166646827238481,-0.04506817391549074,0.49577059527935335
PUMA,0.14045952367616077,-0.03979885431688289,0.0013503087727507572,0.03959700551527889,-0.20631623811860736,0.171843656483157,0.07279381165658076,0.04026302134352275,0.1120714514407182,-2.1760371282653068e-14,-0.12299303722648536,-0.013310060152015996,0.11186877569433554,-0.08783854040006238,0.22557238954493322,-0.05169691877646894,-0.09029301510481766,0.0972744416542941,0.004699663659665315
