,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE
PUMA,0.0,-0.005450634831315214,-0.027667138882488174,0.02128042432170999,0.009653212043802845,0.12086499526240051,0.04060414349744194,0.09831816650680841,-0.04662869354938406,-0.04408107586403953
AGEP,-0.0054506348313152105,0.0,0.01621872007662646,0.07969229670921996,-0.06898280545896311,-0.03348645620592548,-0.014928722782584447,-0.05547888315892907,-0.06051376063430078,0.01758797190138439
SEX,-0.027667138882488174,0.01621872007662646,0.0,0.008836694482551758,-0.04530825192996468,-0.017970683377454694,-0.0019266184819239154,-0.06770492256610025,-0.006691879514329219,0.016887523186898172
MSP,0.02128042432170999,0.07969229670921996,0.008836694482551758,0.0,-0.125292207607233,-0.09568778028121712,-0.08767045862333361,-0.036040927796385624,-0.03814370586627915,0.0039191280972111775
HISP,0.009653212043802858,-0.06898280545896311,-0.04530825192996468,-0.125292207607233,2.220446049250313e-16,0.05949432795011925,0.04626354641564441,0.0329522734338944,0.028364038020434565,-0.046960653982621225
RAC1P,0.12086499526240051,-0.03348645620592547,-0.017970683377454694,-0.09568778028121712,0.05949432795011922,-2.220446049250313e-16,0.004902059656355314,0.038624304217554375,-0.05386252534503071,-0.06524550494760212
NOC,0.04060414349744192,-0.014928722782584503,-0.0019266184819239085,-0.08767045862333361,0.046263546415644424,0.004902059656355318,0.0,0.0037865516896092855,0.0474667527476513,-0.006409971797767394
NPF,0.09831816650680841,-0.05547888315892907,-0.06770492256610025,-0.036040927796385624,0.032952273433894425,0.03862430421755436,0.0037865516896095075,2.220446049250313e-16,0.04190767846976087,-0.008345444764581211
OWN_RENT,-0.04662869354938406,-0.060513760634300764,-0.006691879514329219,-0.03814370586627915,0.028364038020434523,-0.05386252534503069,0.04746675274765125,0.041907678469760866,1.1102230246251565e-16,-0.09077370487112316
PINCP_DECILE,-0.04408107586403953,0.01758797190138439,0.016887523186898172,0.0039191280972111775,-0.046960653982621225,-0.06524550494760215,-0.006409971797767422,-0.008345444764581239,-0.09077370487112314,0.0
