,AGEP_x,DEYE_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DEYE_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,56,2,N,9,3,6,0,1,9,1,56,2,N,3,1,100.0
1,22,2,N,11,1,2,2,0,2,2,22,2,N,1,0,100.0
2,61,2,N,2,1,1,1,2,1,1,61,2,N,1,2,100.0
3,63,2,N,9,2,5,0,0,1,1,63,2,N,2,0,100.0
4,79,2,N,5,1,4,2,3,6,1,79,2,N,1,3,100.0
5,80,2,N,3,1,3,2,4,3,1,80,2,N,1,4,100.0
6,44,2,N,3,3,2,0,0,2,2,44,2,N,3,0,100.0
7,51,2,N,6,2,5,0,0,1,1,51,2,N,2,0,100.0
8,76,2,N,5,1,3,1,2,8,2,76,2,N,1,2,100.0
9,47,2,N,7,1,1,1,4,5,1,47,2,N,1,4,100.0
10,79,2,N,5,2,3,0,5,2,1,79,2,N,2,5,100.0
11,69,2,N,11,1,6,1,7,9,1,69,2,N,1,7,100.0
12,24,2,N,7,3,2,0,1,9,2,24,2,N,3,1,100.0
13,79,2,N,6,1,6,2,5,6,2,79,2,N,1,5,100.0
14,14,2,N,4,1,N,2,N,9,1,14,2,N,1,N,100.0
15,48,2,N,5,1,4,2,0,7,1,48,2,N,1,0,100.0
16,62,2,N,8,1,4,2,2,9,1,62,2,N,1,2,100.0
17,48,2,N,12,1,1,1,9,9,2,48,2,N,1,9,100.0
18,6,2,N,3,1,N,2,N,5,2,6,2,N,1,N,100.0
19,65,2,N,3,1,5,1,0,6,2,65,2,N,1,0,100.0
20,25,2,N,11,3,6,0,0,2,2,25,2,N,3,0,100.0
21,13,2,N,4,1,N,2,N,8,1,13,2,N,1,N,100.0
22,37,2,N,10,1,2,2,3,8,2,37,2,N,1,3,100.0
23,72,2,N,7,1,1,1,6,5,2,72,2,N,1,6,100.0
24,31,2,N,5,1,5,2,2,9,1,31,2,N,1,2,100.0
25,25,2,N,1,1,6,2,9,7,1,25,2,N,1,9,100.0
26,72,2,N,12,3,6,0,5,1,1,72,2,N,3,5,100.0
27,33,2,N,11,1,1,2,8,8,2,33,2,N,1,8,100.0
28,42,2,N,4,1,2,2,4,6,1,42,2,N,1,4,100.0
29,54,2,N,3,3,5,0,1,1,2,54,2,N,3,1,100.0
30,35,2,N,1,1,2,1,7,5,2,35,2,N,1,7,100.0
31,25,2,2,7,3,6,0,5,8,1,25,2,2,3,5,100.0
32,57,2,N,6,1,1,1,9,8,2,57,2,N,1,9,100.0
33,61,1,N,6,1,3,1,1,3,1,61,1,N,1,1,100.0
34,26,2,N,7,2,2,0,5,8,2,26,2,N,2,5,100.0
35,41,2,N,9,1,5,2,9,9,1,41,2,N,1,9,100.0
36,21,2,N,5,3,6,0,1,7,2,21,2,N,3,1,100.0
37,2,2,N,N,1,N,1,N,5,1,2,2,N,1,N,100.0
38,34,2,N,10,1,2,2,2,3,2,34,2,N,1,2,100.0
39,26,1,N,5,1,5,2,0,8,1,26,1,N,1,0,100.0
40,44,2,N,9,1,2,2,7,9,2,44,2,N,1,7,100.0
41,55,2,N,7,1,3,1,6,9,2,55,2,N,1,6,100.0
42,46,2,N,4,1,4,1,7,9,1,46,2,N,1,7,100.0
43,30,2,N,10,1,6,1,1,3,1,30,2,N,1,1,100.0
44,30,2,N,5,2,2,0,0,6,1,30,2,N,2,0,100.0
45,8,2,N,3,2,N,0,N,2,2,8,2,N,2,N,100.0
46,15,2,N,4,1,6,1,0,7,1,15,2,N,1,0,100.0
47,19,2,N,5,3,6,0,0,3,1,19,2,N,3,0,100.0
48,34,2,N,10,3,2,0,9,2,1,34,2,N,3,9,100.0
49,51,2,N,5,2,2,0,0,8,1,51,2,N,2,0,100.0
50,37,2,N,10,3,6,0,8,6,1,37,2,N,3,8,100.0
51,23,2,N,6,1,6,1,4,7,2,23,2,N,1,4,100.0
52,82,1,N,1,1,6,2,2,9,2,82,1,N,1,2,100.0
53,18,2,N,7,3,6,0,1,3,2,18,2,N,3,1,100.0
54,33,2,N,12,1,6,2,8,2,1,33,2,N,1,8,100.0
55,70,2,N,3,1,4,2,5,9,1,70,2,N,1,5,100.0
56,33,2,N,9,1,1,2,8,3,2,33,2,N,1,8,100.0
57,12,2,N,3,2,N,0,N,6,1,12,2,N,2,N,100.0
58,58,2,N,1,1,2,2,0,1,2,58,2,N,1,0,100.0
59,30,2,N,10,1,1,2,0,8,2,30,2,N,1,0,100.0
60,47,2,N,5,1,3,2,1,3,1,47,2,N,1,1,100.0
61,35,2,N,10,1,4,2,7,3,2,35,2,N,1,7,100.0
62,43,2,N,8,1,5,1,9,1,1,43,2,N,1,9,100.0
63,65,2,N,8,1,6,1,4,6,1,65,2,N,1,4,100.0
64,54,2,N,4,1,2,1,3,8,1,54,2,N,1,3,100.0
65,22,2,N,4,2,6,0,1,5,1,22,2,N,2,1,100.0
66,47,2,N,9,1,4,2,6,3,2,47,2,N,1,6,100.0
67,81,2,N,12,1,3,1,2,9,1,81,2,N,1,2,100.0
68,52,2,N,7,1,2,1,4,9,1,52,2,N,1,4,100.0
69,38,2,N,3,1,5,1,4,1,1,38,2,N,1,4,100.0
70,54,2,N,8,1,6,2,5,7,1,54,2,N,1,5,100.0
71,69,2,N,6,2,4,0,2,1,2,69,2,N,2,2,100.0
72,28,2,N,10,1,6,1,7,9,1,28,2,N,1,7,100.0
73,38,2,N,10,1,2,2,6,8,1,38,2,N,1,6,100.0
74,77,1,N,10,2,4,0,2,1,1,77,1,N,2,2,100.0
75,75,2,N,9,2,5,0,5,1,2,75,2,N,2,5,100.0
76,25,2,N,6,1,4,1,2,9,1,25,2,N,1,2,100.0
77,39,2,N,7,3,6,0,1,8,2,39,2,N,3,1,100.0
78,38,2,N,1,1,4,2,1,2,2,38,2,N,1,1,100.0
79,30,2,N,12,3,2,0,8,1,1,30,2,N,3,8,100.0
80,57,2,N,3,2,4,0,3,5,2,57,2,N,2,3,100.0
81,41,2,N,11,1,1,1,9,8,1,41,2,N,1,9,100.0
82,72,2,N,9,2,2,0,4,2,1,72,2,N,2,4,100.0
83,45,2,N,5,1,1,2,7,7,1,45,2,N,1,7,100.0
84,10,2,N,3,1,N,1,N,4,1,10,2,N,1,N,100.0
85,49,2,N,12,1,4,2,8,6,1,49,2,N,1,8,100.0
86,19,2,N,5,3,6,0,1,9,2,19,2,N,3,1,100.0
87,15,2,N,3,1,6,1,0,8,2,15,2,N,1,0,100.0
88,47,2,N,4,1,2,2,2,8,2,47,2,N,1,2,100.0
89,13,2,N,3,1,N,1,N,7,2,13,2,N,1,N,100.0
90,49,1,N,9,1,5,2,7,8,1,49,1,N,1,7,100.0
91,55,2,N,7,3,4,0,2,6,1,55,2,N,3,2,100.0
92,28,2,N,7,1,2,2,0,5,2,28,2,N,1,0,100.0
93,57,2,N,5,1,4,1,7,9,1,57,2,N,1,7,100.0
