,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,26,2,2,2,2,1,N,7,1,1,14,6,0,N,1,30000.0,5,448,48-02101,1,1,44,2,2,2,2,2,N,1,0,6,85000.0,8,292,53.84615384615385
1,40,2,2,2,2,2,N,9,0,1,11,3,4,6,1,0.0,0,244,48-02101,1,2,62,2,2,2,2,2,N,1,0,4,60650.0,7,501,53.84615384615385
2,12,2,2,2,2,2,N,3,0,1,N,4,4,6,2,N,N,73,48-02101,1,2,66,2,2,2,1,2,N,1,0,N,13000.0,3,107,46.15384615384615
3,64,1,7,2,2,2,N,9,1,1,N,1,0,2,1,126000.0,9,501,48-02510,1,1,73,2,7,2,2,2,N,1,0,2,133700.0,9,501,76.92307692307693
4,46,2,2,2,1,2,N,7,0,1,14,4,1,3,1,50000.0,7,327,48-02102,1,2,49,2,2,2,2,2,N,1,0,N,29000.0,5,221,46.15384615384615
5,18,2,2,2,2,2,N,4,0,1,6,6,0,4,2,70800.0,6,7,48-02101,1,1,18,2,2,2,2,2,N,1,1,3,1000.0,1,306,61.53846153846154
6,60,2,2,2,1,2,N,8,0,1,5,1,0,N,1,0.0,0,501,48-02102,1,2,22,2,2,2,2,2,N,1,0,2,34000.0,5,496,53.84615384615385
7,32,2,7,2,2,2,N,10,0,1,5,1,0,6,1,60000.0,7,6,48-02507,1,1,32,2,7,2,2,2,N,1,0,2,70000.0,8,501,69.23076923076923
8,32,2,2,2,2,2,N,8,0,1,3,1,3,5,1,115000.0,9,501,48-02101,1,1,49,1,2,2,2,2,N,1,0,4,30000.0,5,501,53.84615384615385
9,46,2,5,2,2,2,N,5,1,1,N,1,1,2,2,483000.0,3,196,48-02516,1,2,69,2,5,2,2,2,N,1,0,2,6000.0,2,124,61.53846153846154
10,15,2,2,2,N,N,N,4,0,1,N,6,2,5,1,0.0,0,227,48-02102,2,2,16,2,2,2,2,2,N,1,1,3,0.0,0,501,53.84615384615385
11,18,2,5,2,2,2,N,5,1,3,N,6,0,N,2,0.0,0,245,48-02516,1,2,18,2,5,2,2,2,N,1,2,4,0.0,0,271,69.23076923076923
12,24,2,5,2,2,2,N,4,0,1,14,6,3,5,2,14000.0,3,89,48-02516,1,2,17,2,5,2,2,2,N,1,0,5,300.0,1,240,61.53846153846154
13,80,2,7,2,2,2,N,5,0,1,N,4,0,6,2,5100.0,4,287,48-02507,2,2,36,2,7,2,2,2,N,1,0,N,0.0,0,0,61.53846153846154
